Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13348460	0.12168480	0.08928514	0.00352429	-0.00029598	0.00321136	0.11172689	0.10862903	0.08728903	-0.00136354	0.00128519	0.00208941	0.09882420	0.09253195	0.07795868	-0.00665936	0.00278090	0.00208643	0.10175883	0.13331284	0.14126974	-0.00518842	-0.00156321	0.00002377	0.07753849	0.09940869	0.11734646	-0.00411408	-0.00018388	0.00021733	0.07766119	0.08504944	0.07729742	-0.00448739	-0.00615566	0.00005402	0.14253029	0.19056171	0.11211397	-0.00423821	0.00291148	0.00228708
0.016667	0.13354872	0.12167938	0.08934300	0.00384809	-0.00115648	0.00317083	0.11170648	0.10865509	0.08732586	-0.00113279	0.00097387	0.00210174	0.09870861	0.09259266	0.07799239	-0.00593285	0.00134670	0.00212812	0.10167093	0.13329081	0.14126760	-0.00444332	-0.00224815	0.00057042	0.07746626	0.09941247	0.11734882	-0.00410961	-0.00016965	0.00026174	0.07758003	0.08495627	0.07729695	-0.00366235	-0.00655490	0.00040904	0.14245377	0.19061606	0.11215977	-0.00392766	0.00302510	0.00231230
0.033333	0.13360485	0.12166613	0.08938961	0.00417189	-0.00201699	0.00313030	0.11168440	0.10866586	0.08735680	-0.00090205	0.00066255	0.00211407	0.09861484	0.09260289	0.07802729	-0.00520634	-0.00008751	0.00216980	0.10159636	0.13325205	0.14127667	-0.00369822	-0.00293308	0.00111707	0.07740207	0.09940062	0.11735347	-0.00410514	-0.00015542	0.00030615	0.07752264	0.08483944	0.07730492	-0.00283730	-0.00695414	0.00076406	0.14239457	0.19065823	0.11218807	-0.00361712	0.00313872	0.00233752
0.050000	0.13367090	0.12163133	0.08944084	0.00430720	-0.00208822	0.00299205	0.11166858	0.10867807	0.08739591	-0.00063267	0.00041515	0.00199881	0.09852408	0.09259532	0.07806468	-0.00445926	-0.00104279	0.00208163	0.10153633	0.13319913	0.14130089	-0.00319717	-0.00317478	0.00127167	0.07733012	0.09940023	0.11735896	-0.00406092	-0.00017423	0.00025116	0.07747926	0.08471441	0.07731738	-0.00251637	-0.00686782	0.00113089	0.14233713	0.19071329	0.11222536	-0.00355193	0.00321695	0.00253470
0.066666	0.13375531	0.12156966	0.08949555	0.00429498	-0.00206218	0.00270547	0.11165933	0.10867944	0.08742783	-0.00024948	-0.00014141	0.00187755	0.09846047	0.09256140	0.07810507	-0.00312341	-0.00305434	0.00201450	0.10149115	0.13313466	0.14132893	-0.00222114	-0.00381255	0.00169107	0.07727058	0.09939315	0.11736819	-0.00380611	-0.00045113	0.00024337	0.07745241	0.08459518	0.07733856	-0.00192773	-0.00698852	0.00161064	0.14228106	0.19076344	0.11226804	-0.00330755	0.00311190	0.00282482
0.083333	0.13384137	0.12151834	0.08954649	0.00421347	-0.00162606	0.00249264	0.11166152	0.10868245	0.08746272	0.00009514	-0.00073422	0.00173767	0.09840576	0.09251986	0.07813345	-0.00172150	-0.00455337	0.00192438	0.10146187	0.13306896	0.14136119	-0.00114810	-0.00453653	0.00191503	0.07719303	0.09940248	0.11736755	-0.00323178	-0.00095159	0.00028491	0.07742245	0.08448749	0.07736877	-0.00165154	-0.00668674	0.00177902	0.14222358	0.19083072	0.11232200	-0.00316375	0.00273341	0.00331615
0.100000	0.13390581	0.12150331	0.08957706	0.00392103	-0.00074555	0.00219275	0.11166876	0.10866435	0.08748478	0.00032000	-0.00122447	0.00154410	0.09839674	0.09241118	0.07816459	-0.00038352	-0.00538202	0.00181855	0.10144486	0.13299792	0.14139214	-0.00004906	-0.00540728	0.00198119	0.07714047	0.09938332	0.11737047	-0.00244212	-0.00162107	0.00028871	0.07740286	0.08437170	0.07741558	-0.00152603	-0.00611162	0.00166078	0.14217141	0.19087824	0.11237716	-0.00295946	0.00198089	0.00373380
0.116666	0.13396095	0.12150912	0.08960739	0.00346841	0.00031144	0.00182600	0.11167966	0.10863184	0.08751022	0.00048783	-0.00150592	0.00136152	0.09840892	0.09228566	0.07819035	0.00069995	-0.00559291	0.00175123	0.10145555	0.13290635	0.14142978	0.00092626	-0.00626365	0.00194431	0.07710164	0.09934857	0.11737344	-0.00145343	-0.00238688	0.00026751	0.07737198	0.08426865	0.07744753	-0.00130173	-0.00556702	0.00151184	0.14212410	0.19090711	0.11244585	-0.00269407	0.00087560	0.00403555
