Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13490418	0.11787165	0.08728586	0.00281253	-0.00648382	-0.00153207	0.11270300	0.10444970	0.08862790	0.00201718	-0.00861555	0.00060871	0.09614863	0.08854933	0.08334607	0.00250083	-0.00099935	-0.00086278	0.10215704	0.14017873	0.13494919	0.00563359	-0.00712345	0.00084997	0.07403114	0.10401127	0.11674314	0.00114359	-0.00764324	0.00034999	0.07357401	0.08606088	0.07819489	0.00080530	-0.00382049	-0.00127409	0.14577630	0.18749827	0.09930812	0.00022739	-0.00076153	-0.00178107
0.016667	0.13494247	0.11777183	0.08725744	0.00262589	-0.00657524	-0.00140794	0.11273989	0.10430489	0.08863554	0.00145801	-0.00814836	0.00040077	0.09618781	0.08852992	0.08333217	0.00224144	-0.00092492	-0.00094302	0.10224798	0.14006485	0.13496542	0.00594603	-0.00757101	0.00105590	0.07405175	0.10388141	0.11674413	0.00064753	-0.00714387	0.00054986	0.07359821	0.08599116	0.07817155	0.00037864	-0.00351013	-0.00098192	0.14577813	0.18748686	0.09927012	0.00062227	-0.00095666	-0.00127160
0.033333	0.13499631	0.11765491	0.08723643	0.00243926	-0.00666666	-0.00128381	0.11276340	0.10416698	0.08864666	0.00089884	-0.00768117	0.00019282	0.09622853	0.08851817	0.08331790	0.00198205	-0.00085049	-0.00102327	0.10234571	0.13993704	0.13498037	0.00625848	-0.00801857	0.00126184	0.07406475	0.10376314	0.11675981	0.00015147	-0.00664449	0.00074972	0.07359566	0.08593734	0.07815587	-0.00004802	-0.00319978	-0.00068974	0.14578772	0.18747193	0.09925512	0.00101716	-0.00115179	-0.00076212
0.050000	0.13504392	0.11753685	0.08721808	0.00206158	-0.00626194	-0.00134811	0.11277411	0.10404219	0.08865366	0.00066694	-0.00757824	0.00009101	0.09626394	0.08850336	0.08329685	0.00172772	-0.00080627	-0.00092261	0.10245705	0.13979699	0.13499811	0.00586605	-0.00781964	0.00143998	0.07406157	0.10365232	0.11677129	0.00011470	-0.00642917	0.00093840	0.07358448	0.08588858	0.07814947	-0.00004262	-0.00329500	-0.00070542	0.14580797	0.18745059	0.09925168	0.00105620	-0.00116878	-0.00084307
0.066666	0.13507164	0.11742713	0.08719686	0.00171789	-0.00573902	-0.00136339	0.11277759	0.10392667	0.08864256	0.00021666	-0.00727116	0.00011005	0.09628776	0.08849170	0.08328017	0.00148275	-0.00084553	-0.00087731	0.10256842	0.13965420	0.13502882	0.00523230	-0.00750619	0.00150391	0.07405438	0.10355757	0.11678899	-0.00010151	-0.00605980	0.00113897	0.07358079	0.08584143	0.07813902	-0.00053644	-0.00337569	-0.00062399	0.14583501	0.18742421	0.09924360	0.00121274	-0.00131667	-0.00077345
0.083333	0.13508646	0.11733977	0.08717291	0.00126087	-0.00483634	-0.00146375	0.11277831	0.10380789	0.08863977	-0.00009112	-0.00684983	0.00006042	0.09630413	0.08847655	0.08326627	0.00132397	-0.00098378	-0.00081014	0.10265943	0.13952579	0.13506161	0.00420166	-0.00671524	0.00144750	0.07404807	0.10345897	0.11680564	-0.00037860	-0.00558520	0.00105769	0.07358716	0.08578184	0.07813337	-0.00089240	-0.00377180	-0.00068557	0.14585695	0.18740621	0.09922917	0.00126578	-0.00154384	-0.00110925
0.100000	0.13510370	0.11726499	0.08714601	0.00092164	-0.00387182	-0.00157174	0.11277233	0.10368739	0.08864152	-0.00027519	-0.00636461	-0.00004184	0.09632077	0.08846620	0.08325759	0.00128158	-0.00103202	-0.00072364	0.10271506	0.13942006	0.13509007	0.00295439	-0.00563333	0.00124015	0.07405110	0.10336509	0.11683749	-0.00078656	-0.00497284	0.00089970	0.07356874	0.08571935	0.07811637	-0.00119776	-0.00432314	-0.00070200	0.14587472	0.18738158	0.09920911	0.00131831	-0.00180729	-0.00144542
0.116666	0.13511932	0.11721407	0.08711883	0.00063919	-0.00301005	-0.00173342	0.11277000	0.10357566	0.08865769	-0.00043515	-0.00604125	-0.00021257	0.09634491	0.08843886	0.08324669	0.00136056	-0.00109882	-0.00079312	0.10274068	0.13934231	0.13510303	0.00181493	-0.00465812	0.00090406	0.07404648	0.10327253	0.11685005	-0.00123192	-0.00430664	0.00074435	0.07353768	0.08563922	0.07810433	-0.00141230	-0.00489818	-0.00055596	0.14589117	0.18735570	0.09917873	0.00144512	-0.00215770	-0.00159808
