Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.12875588	0.11993483	0.08167355	-0.00050619	0.00002339	-0.00055388	0.10739241	0.10859570	0.08447000	0.00073683	0.00136391	0.00343741	0.09492481	0.09029732	0.08180280	0.00342825	-0.00357998	0.00536887	0.10301893	0.14327769	0.13134196	0.00784896	-0.00356646	0.00444764	0.07449912	0.10683213	0.11964476	-0.00126198	-0.00176423	0.00415655	0.07283254	0.08809684	0.07982511	0.00143834	-0.00528274	0.00546957	0.14617634	0.18697889	0.09385987	0.00164919	0.00098035	0.00040680
0.033333	0.12873960	0.11994488	0.08166117	-0.00005722	-0.00017859	-0.00045419	0.10739961	0.10862245	0.08452689	0.00111223	0.00162453	0.00288361	0.09498512	0.09024582	0.08190130	0.00336127	-0.00382842	0.00503676	0.10315197	0.14322339	0.13142462	0.00753905	-0.00344710	0.00378506	0.07447895	0.10680749	0.11972341	-0.00024699	-0.00281544	0.00417130	0.07285918	0.08801711	0.07991986	0.00181989	-0.00579561	0.00541697	0.14620522	0.18699044	0.09386811	0.00185744	0.00069291	0.00041127
0.050000	0.12874408	0.11993173	0.08165655	0.00039175	-0.00038058	-0.00035450	0.10742205	0.10864276	0.08458073	0.00148763	0.00188515	0.00232981	0.09503432	0.09017663	0.08197238	0.00329429	-0.00407686	0.00470465	0.10327371	0.14316083	0.13148038	0.00722914	-0.00332774	0.00312248	0.07446621	0.10676124	0.11978316	0.00076801	-0.00386664	0.00418605	0.07288283	0.08791697	0.08000565	0.00220143	-0.00630847	0.00536436	0.14623143	0.18701081	0.09387321	0.00206568	0.00040546	0.00041574
0.066666	0.12875926	0.11992084	0.08165534	0.00014395	-0.00017323	-0.00044666	0.10745265	0.10867236	0.08461741	0.00146531	0.00221741	0.00221771	0.09509104	0.09010289	0.08205472	0.00312032	-0.00360885	0.00468777	0.10340053	0.14309774	0.13152866	0.00684059	-0.00291408	0.00305393	0.07449191	0.10668572	0.11985245	0.00094869	-0.00419991	0.00441907	0.07292022	0.08780119	0.08009464	0.00220780	-0.00601972	0.00541086	0.14626870	0.18701491	0.09388282	0.00200116	0.00027463	0.00046674
0.083333	0.12877107	0.11991212	0.08164542	-0.00007764	-0.00001218	-0.00048831	0.10748070	0.10871600	0.08463556	0.00142687	0.00284855	0.00196644	0.09514899	0.09002586	0.08212227	0.00297332	-0.00308135	0.00467828	0.10350604	0.14305425	0.13156505	0.00633253	-0.00228883	0.00278191	0.07451827	0.10660478	0.11991525	0.00139516	-0.00497883	0.00458317	0.07297122	0.08768617	0.08018311	0.00216004	-0.00589455	0.00535285	0.14630963	0.18701497	0.09388390	0.00185997	0.00010997	0.00046935
0.100000	0.12876907	0.11992131	0.08163726	-0.00059538	0.00030402	-0.00063148	0.10750780	0.10876453	0.08466612	0.00104338	0.00351043	0.00178036	0.09519450	0.08998428	0.08220091	0.00291405	-0.00252177	0.00459785	0.10361163	0.14301930	0.13161211	0.00581084	-0.00129507	0.00268006	0.07456267	0.10651187	0.12001338	0.00129592	-0.00531534	0.00464434	0.07301623	0.08759538	0.08027695	0.00201517	-0.00546748	0.00515593	0.14634497	0.18700670	0.09389734	0.00160345	0.00006892	0.00027251
0.116666	0.12874831	0.11993003	0.08162338	-0.00105337	0.00062265	-0.00055287	0.10752606	0.10882978	0.08469881	0.00050564	0.00374497	0.00168365	0.09523594	0.08996061	0.08228523	0.00263573	-0.00212111	0.00434546	0.10369653	0.14300244	0.13166106	0.00522902	-0.00017144	0.00248478	0.07457545	0.10642138	0.12009007	0.00104655	-0.00550172	0.00458403	0.07304099	0.08751477	0.08036745	0.00184749	-0.00500037	0.00481444	0.14636737	0.18700846	0.09390693	0.00127435	0.00028730	-0.00003353
