Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.12886301	0.12319875	0.07888457	0.01025763	-0.02056219	-0.01142559	0.10733951	0.11181829	0.08432805	0.00985071	-0.03154894	-0.03009517	0.09080347	0.09646294	0.08228058	0.00147548	-0.02866980	-0.04582591	0.10311117	0.14687489	0.12839916	0.00721167	-0.01805343	-0.01129565	0.07344932	0.11005201	0.12229400	0.03065960	-0.04912296	-0.03379429	0.07128666	0.09161925	0.08165765	0.01694276	-0.04850173	-0.03200049	0.14381555	0.19069360	0.08998008	-0.00087522	-0.00378282	0.00123423
0.033333	0.12905128	0.12280080	0.07870491	0.01129215	-0.01495248	-0.01189564	0.10751069	0.11123658	0.08381040	0.01259414	-0.02450096	-0.03080373	0.09080604	0.09593017	0.08147150	0.00856992	-0.02139718	-0.04709933	0.10322160	0.14656547	0.12819694	0.00626924	-0.01623950	-0.01139586	0.07399598	0.10913726	0.12169261	0.03091683	-0.03988304	-0.03636933	0.07157463	0.09073930	0.08109192	0.02019309	-0.03962510	-0.03513127	0.14380166	0.19063215	0.09000897	-0.00143141	-0.00320972	0.00190259
0.050000	0.12920804	0.12258293	0.07850481	0.01232666	-0.00934277	-0.01236570	0.10768034	0.11086679	0.08332232	0.01533757	-0.01745298	-0.03151228	0.09092857	0.09560858	0.08075523	0.01566435	-0.01412457	-0.04837275	0.10334070	0.14629388	0.12802978	0.00532681	-0.01442557	-0.01149607	0.07446652	0.10853885	0.12114966	0.03117406	-0.03064313	-0.03894438	0.07187980	0.09011707	0.08056485	0.02344342	-0.03074848	-0.03826205	0.14377680	0.19057472	0.09002995	-0.00198760	-0.00263662	0.00257094
0.066666	0.12941889	0.12247039	0.07827928	0.01245437	-0.00835854	-0.01119033	0.10797986	0.11058798	0.08280697	0.01482310	-0.01462950	-0.03114985	0.09123183	0.09539247	0.07994549	0.01699626	-0.01121060	-0.04824624	0.10342756	0.14606400	0.12782723	0.00418870	-0.01325031	-0.01102482	0.07498454	0.10806676	0.12049346	0.03137761	-0.02809241	-0.03975981	0.07229005	0.08964413	0.07992014	0.02366385	-0.02807032	-0.03931553	0.14374499	0.19053109	0.09006640	-0.00247368	-0.00199192	0.00340243
0.083333	0.12965587	0.12244878	0.07806669	0.01191107	-0.00490962	-0.00942975	0.10828612	0.11049835	0.08223854	0.01428945	-0.00908963	-0.02876312	0.09167576	0.09535438	0.07910021	0.01916390	-0.00521256	-0.04565563	0.10349969	0.14586967	0.12764350	0.00239358	-0.01042549	-0.00992779	0.07550302	0.10781799	0.11977877	0.02979976	-0.02080155	-0.03907793	0.07276767	0.08937231	0.07919846	0.02327373	-0.02128539	-0.03883836	0.14370015	0.19050154	0.09013211	-0.00303940	-0.00105195	0.00444511
0.100000	0.12990285	0.12235201	0.07791064	0.01034502	-0.00369483	-0.00668268	0.10858043	0.11035451	0.08169966	0.01193606	-0.00611133	-0.02488534	0.09207764	0.09527838	0.07821478	0.01781851	-0.00134215	-0.04089439	0.10351497	0.14568394	0.12744367	0.00082296	-0.00790487	-0.00844050	0.07609230	0.10741585	0.11899731	0.02714615	-0.01558291	-0.03632646	0.07323039	0.08900743	0.07842076	0.02088153	-0.01699186	-0.03574255	0.14363648	0.19049074	0.09022670	-0.00336850	-0.00068538	0.00542006
0.116666	0.13006704	0.12228853	0.07783369	0.00780504	-0.00368317	-0.00334223	0.10872571	0.11030152	0.08129814	0.00828512	-0.00483895	-0.01978268	0.09235675	0.09529471	0.07755987	0.01435554	0.00142392	-0.03394613	0.10350218	0.14558081	0.12733127	-0.00009976	-0.00592987	-0.00633093	0.07654089	0.10716953	0.11840599	0.02381185	-0.01098548	-0.03159919	0.07354764	0.08873719	0.07782279	0.01721300	-0.01409890	-0.03040557	0.14356764	0.19050780	0.09033405	-0.00364305	-0.00091270	0.00607143
