Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.13095443	0.11990938	0.09297147	0.00129007	-0.00064321	-0.00037063	0.10951694	0.10605510	0.08938418	0.00039198	-0.00404382	-0.00165910	0.09568930	0.08918986	0.07848005	0.00507349	-0.00470629	-0.00084140	0.09312156	0.13294236	0.14147530	-0.00157882	-0.00396961	-0.00167102	0.06977624	0.09523617	0.11819467	0.00266274	-0.00546025	0.00030603	0.07480159	0.08794002	0.07693098	-0.00087370	-0.00713903	-0.00091773	0.13977036	0.18787760	0.11672397	0.00146621	-0.00204519	0.00002831
0.033333	0.13097537	0.11989717	0.09296459	0.00089005	-0.00006706	-0.00078209	0.10951340	0.10598978	0.08934769	0.00038490	-0.00414805	-0.00196294	0.09577033	0.08910546	0.07845949	0.00470774	-0.00445047	-0.00113257	0.09309950	0.13287340	0.14145267	-0.00193030	-0.00395717	-0.00182927	0.06982014	0.09513715	0.11819553	0.00160799	-0.00445472	-0.00057265	0.07477775	0.08781593	0.07690936	-0.00057020	-0.00733900	-0.00112139	0.13979365	0.18784328	0.11671899	0.00147880	-0.00243277	-0.00004470
0.050000	0.13099171	0.11989631	0.09295271	0.00049003	0.00050910	-0.00119355	0.10952989	0.10592167	0.08932674	0.00037782	-0.00425229	-0.00226677	0.09585511	0.08904047	0.07845088	0.00434199	-0.00419466	-0.00142374	0.09306396	0.13280888	0.14141655	-0.00228179	-0.00394473	-0.00198752	0.06984697	0.09507079	0.11819551	0.00055325	-0.00344919	-0.00145134	0.07477663	0.08770066	0.07690051	-0.00026669	-0.00753897	-0.00132505	0.13981885	0.18780458	0.11672289	0.00149139	-0.00282035	-0.00011772
0.066666	0.13100068	0.11990673	0.09293402	0.00025235	0.00077110	-0.00154582	0.10954376	0.10584193	0.08929043	-0.00008382	-0.00407370	-0.00271254	0.09592743	0.08896895	0.07842677	0.00414585	-0.00399759	-0.00163589	0.09302619	0.13274673	0.14138350	-0.00221283	-0.00434035	-0.00190333	0.06985970	0.09501415	0.11816849	-0.00024144	-0.00322120	-0.00189968	0.07477574	0.08758067	0.07687598	-0.00043899	-0.00781826	-0.00147075	0.13984598	0.18775517	0.11672991	0.00141435	-0.00326009	-0.00035186
0.083333	0.13099824	0.11992615	0.09290423	0.00003897	0.00105936	-0.00192088	0.10954486	0.10577567	0.08924469	-0.00046980	-0.00409772	-0.00316379	0.09598895	0.08890280	0.07839428	0.00392111	-0.00370176	-0.00179727	0.09297487	0.13268094	0.14134356	-0.00203282	-0.00493186	-0.00177891	0.06984608	0.09498017	0.11812372	-0.00113074	-0.00299682	-0.00247271	0.07478125	0.08743966	0.07685116	-0.00036340	-0.00805415	-0.00154798	0.13986944	0.18770185	0.11671660	0.00144385	-0.00420341	-0.00030596
0.100000	0.13098842	0.11995663	0.09286144	-0.00000827	0.00113260	-0.00201677	0.10952199	0.10571188	0.08917405	-0.00093960	-0.00416884	-0.00340631	0.09604327	0.08884173	0.07835057	0.00379631	-0.00370966	-0.00175201	0.09293953	0.13259788	0.14131862	-0.00151039	-0.00568832	-0.00150487	0.06979700	0.09494645	0.11805995	-0.00155364	-0.00333012	-0.00269790	0.07476137	0.08729940	0.07681165	-0.00044145	-0.00824555	-0.00160434	0.13989054	0.18763147	0.11669903	0.00174165	-0.00553111	-0.00027102
0.116666	0.13098487	0.11997756	0.09281748	0.00003867	0.00117522	-0.00187901	0.10949464	0.10565020	0.08910590	-0.00122119	-0.00446273	-0.00327424	0.09610746	0.08878832	0.07831824	0.00375559	-0.00408636	-0.00151244	0.09291731	0.13248873	0.14129406	-0.00066109	-0.00652711	-0.00124783	0.06975926	0.09488621	0.11801319	-0.00152719	-0.00402020	-0.00256506	0.07474849	0.08715438	0.07678527	-0.00051305	-0.00827416	-0.00158832	0.13991201	0.18753389	0.11669088	0.00240707	-0.00727880	-0.00014890
