Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10747310	0.06675719	0.07512636	-0.02697519	0.00169557	0.01882028	0.07897831	0.06560416	0.06248056	0.00067584	0.00608260	0.03041170	0.06178139	0.05621988	0.05673531	-0.00810354	0.00489406	0.04242115	0.08459260	0.10168475	0.09389569	-0.00542412	0.02193873	0.00211832	0.05176491	0.09022245	0.08461560	-0.02150505	0.03104218	0.01897745	0.04022881	0.06837155	0.05943659	-0.01085105	0.00649675	0.02679068
0.033333	0.10707033	0.06678528	0.07542329	-0.02144479	0.00231140	0.01542813	0.07895780	0.06570707	0.06299470	0.00001252	-0.00096493	0.02879128	0.06154518	0.05634577	0.05745392	-0.00268747	0.00431960	0.03690891	0.08447524	0.10202394	0.09394944	-0.00404546	0.01949191	0.00270211	0.05135239	0.09069865	0.08497381	-0.01904286	0.03085335	0.01557297	0.03997841	0.06852639	0.05992353	-0.00820905	0.00323207	0.02320410
0.050000	0.10670689	0.06683065	0.07567251	-0.01591439	0.00292723	0.01203598	0.07899432	0.06577684	0.06345098	-0.00065081	-0.00801246	0.02717086	0.06160017	0.05638797	0.05806844	0.00272860	0.00374514	0.03139666	0.08442280	0.10239521	0.09396841	-0.00266680	0.01704510	0.00328591	0.05109068	0.09126031	0.08520881	-0.01658068	0.03066451	0.01216848	0.03989959	0.06857172	0.06028103	-0.00556704	-0.00003260	0.01961753
0.066666	0.10632090	0.06684056	0.07593154	-0.00611665	0.00341011	0.00664412	0.07900858	0.06550156	0.06396975	-0.00189808	-0.00590416	0.02439713	0.06167462	0.05636429	0.05861861	0.00251406	0.00685894	0.02791773	0.08441676	0.10268289	0.09401563	-0.00300807	0.01609648	0.00401241	0.05081713	0.09179588	0.08538219	-0.01651819	0.02899587	0.01270448	0.03986147	0.06846166	0.06058848	-0.00719472	0.00254260	0.01860339
0.083333	0.10622014	0.06695750	0.07604945	0.00471355	0.00377932	0.00040293	0.07895461	0.06527033	0.06430534	-0.00250933	-0.00491882	0.02092493	0.06185768	0.05650143	0.05895175	0.00273672	0.00901658	0.02309324	0.08438136	0.10288559	0.09409965	-0.00222542	0.01446663	0.00498688	0.05062562	0.09227720	0.08549306	-0.01556973	0.02654380	0.01225145	0.03980759	0.06846508	0.06082068	-0.00733231	0.00377765	0.01684337
0.100000	0.10653863	0.06702600	0.07592227	0.01323180	0.00442030	-0.00399383	0.07884975	0.06508066	0.06465839	-0.00274361	-0.00121210	0.01713528	0.06186944	0.05668934	0.05927614	0.00023337	0.01074020	0.01961680	0.08431015	0.10305619	0.09420748	-0.00223131	0.01264726	0.00613819	0.05031582	0.09268056	0.08571506	-0.01419635	0.02297325	0.01286553	0.03961648	0.06853979	0.06111083	-0.00838730	0.00692266	0.01670656
0.116666	0.10701074	0.06708220	0.07571730	0.01665323	0.00357152	-0.00542643	0.07878346	0.06525475	0.06486430	-0.00205261	0.00365601	0.01394832	0.06186301	0.05700661	0.05954684	-0.00228736	0.00997778	0.01772854	0.08427390	0.10332419	0.09431244	-0.00198350	0.01126279	0.00694345	0.05006271	0.09304911	0.08598420	-0.01141588	0.01911953	0.01406612	0.03941002	0.06877358	0.06134535	-0.00866908	0.00894464	0.01718647
