Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14226782	0.07347518	0.04707377	0.00997287	-0.00131637	0.00337595	0.12162616	0.07289641	0.04023904	0.00994351	0.00644720	-0.00231449	0.09608528	0.06347483	0.02617568	0.01513260	0.00747699	0.00189617	0.13472509	0.10720587	0.07308136	0.00396723	-0.00259780	0.00503065	0.09717643	0.09795185	0.05810595	0.00554106	-0.00522798	0.00252185	0.07605121	0.07807845	0.02848514	0.00527783	-0.00109796	0.00347888
0.016667	0.14243954	0.07347518	0.04711415	0.00955854	-0.00188404	0.00358501	0.12178113	0.07302509	0.04019776	0.00880550	0.00468092	-0.00092514	0.09632532	0.06361533	0.02619786	0.01329420	0.00565278	0.00287718	0.13479841	0.10717957	0.07316364	0.00331969	-0.00318245	0.00493193	0.09727244	0.09788826	0.05813186	0.00547396	-0.00497462	0.00230224	0.07614578	0.07807326	0.02854649	0.00459576	-0.00107356	0.00320168
0.033333	0.14259803	0.07342735	0.04718553	0.00914421	-0.00245170	0.00379407	0.12194464	0.07309236	0.04017506	0.00766750	0.00291464	0.00046421	0.09656774	0.06370777	0.02624962	0.01145580	0.00382857	0.00385820	0.13484803	0.10711560	0.07324547	0.00267216	-0.00376710	0.00483321	0.09736225	0.09778474	0.05818773	0.00540687	-0.00472127	0.00208263	0.07621946	0.07804558	0.02859521	0.00391369	-0.00104916	0.00292448
0.050000	0.14273329	0.07336222	0.04726711	0.00914451	-0.00171398	0.00341637	0.12207645	0.07310916	0.04019996	0.00687591	0.00311909	0.00088811	0.09674711	0.06372926	0.02632670	0.00994329	0.00412477	0.00396828	0.13488877	0.10703035	0.07333250	0.00240915	-0.00309372	0.00452766	0.09744273	0.09767829	0.05823483	0.00563199	-0.00328531	0.00147155	0.07627378	0.07800823	0.02865090	0.00385994	-0.00023455	0.00278101
0.066666	0.14289351	0.07332199	0.04732579	0.00854034	-0.00150644	0.00370584	0.12217004	0.07313917	0.04022918	0.00613047	0.00268494	0.00190104	0.09691665	0.06378912	0.02640808	0.00795688	0.00384481	0.00441058	0.13491844	0.10696752	0.07340583	0.00175648	-0.00277699	0.00415033	0.09754061	0.09762706	0.05825309	0.00568139	-0.00217960	0.00110446	0.07633176	0.07800779	0.02868158	0.00340210	0.00036590	0.00255805
0.083333	0.14304246	0.07332718	0.04735148	0.00792581	-0.00085719	0.00377338	0.12223313	0.07318356	0.04027608	0.00567748	0.00364562	0.00229209	0.09698903	0.06383701	0.02648161	0.00693808	0.00503341	0.00418191	0.13495141	0.10693999	0.07347094	0.00119076	-0.00214626	0.00370225	0.09764063	0.09763369	0.05824109	0.00573481	-0.00106305	0.00044367	0.07638788	0.07803537	0.02872723	0.00313138	0.00124407	0.00223858
0.100000	0.14317702	0.07333084	0.04741798	0.00713210	-0.00012480	0.00378130	0.12232301	0.07325330	0.04031695	0.00560394	0.00511041	0.00220426	0.09707241	0.06393805	0.02655624	0.00670197	0.00662464	0.00379726	0.13496645	0.10692634	0.07352632	0.00049278	-0.00176680	0.00326370	0.09774386	0.09765473	0.05824536	0.00561087	-0.00054632	-0.00018248	0.07644590	0.07807545	0.02876630	0.00286435	0.00188497	0.00194132
0.116666	0.14328170	0.07332931	0.04749615	0.00623169	0.00052419	0.00414885	0.12243216	0.07334193	0.04035939	0.00578078	0.00663358	0.00230311	0.09716874	0.06405781	0.02661221	0.00695589	0.00850904	0.00376787	0.13497317	0.10691137	0.07357278	-0.00036836	-0.00181031	0.00293256	0.09783688	0.09765289	0.05825261	0.00529161	-0.00061386	-0.00079774	0.07648925	0.07810933	0.02879960	0.00204892	0.00237116	0.00172602
