Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14204504	0.07676452	0.04745361	0.02667989	0.01757096	0.03100771	0.12153970	0.07417963	0.04120638	0.02799049	0.04440876	0.01511677	0.09839755	0.06039120	0.02781731	0.01495635	0.09558270	-0.00734592	0.13356133	0.11072698	0.07452840	0.02411718	0.00580037	-0.00204925	0.09573500	0.10007176	0.06141665	0.02686262	-0.02371760	-0.00715819	0.08033600	0.07606097	0.03182891	-0.01246319	0.01141500	-0.01868987
0.016667	0.14246376	0.07704750	0.04793053	0.02371663	0.01449293	0.02775494	0.12198326	0.07491622	0.04142959	0.02405862	0.03617711	0.01411228	0.09869133	0.06191666	0.02769793	0.00742170	0.08150651	-0.00505665	0.13395557	0.11080621	0.07448964	0.02112337	0.00614541	-0.00135676	0.09611147	0.09961469	0.06135360	0.02633739	-0.01370771	-0.00960514	0.08019638	0.07621682	0.03149316	-0.01953907	0.01114708	-0.01072720
0.033333	0.14289777	0.07730171	0.04844872	0.02075338	0.01141489	0.02450217	0.12243614	0.07556120	0.04169178	0.02012674	0.02794545	0.01310778	0.09883233	0.06344298	0.02756150	-0.00011295	0.06743031	-0.00276739	0.13432850	0.11092571	0.07446899	0.01812957	0.00649045	-0.00066426	0.09661468	0.09940442	0.06115222	0.02581215	-0.00369781	-0.01205209	0.07986495	0.07646903	0.03127584	-0.02661496	0.01087916	-0.00276453
0.050000	0.14324100	0.07749647	0.04887772	0.01756794	0.00774666	0.02126859	0.12274674	0.07598796	0.04194849	0.01762989	0.02259412	0.01065782	0.09870712	0.06448735	0.02760885	-0.00029910	0.05953892	-0.00480505	0.13462567	0.11103288	0.07445720	0.01587323	0.00574923	-0.00029743	0.09711036	0.09939768	0.06089354	0.02118152	-0.00102453	-0.01056867	0.07931241	0.07660111	0.03131804	-0.02451880	0.01186085	-0.00218057
0.066666	0.14353041	0.07762787	0.04918329	0.01223025	0.00191108	0.01688610	0.12300242	0.07628266	0.04210771	0.01269655	0.01297457	0.00764133	0.09859632	0.06530218	0.02755819	-0.00428757	0.04471882	-0.00566792	0.13485610	0.11116736	0.07447164	0.01161870	0.00411479	0.00030391	0.09749302	0.09958561	0.06066639	0.01587941	0.00443788	-0.01046159	0.07871378	0.07681476	0.03144074	-0.02474090	0.01167209	0.00084406
0.083333	0.14365928	0.07760034	0.04936190	0.00568422	-0.00364622	0.01160419	0.12314112	0.07638779	0.04218755	0.00652077	0.00425299	0.00359509	0.09850211	0.06578579	0.02748515	-0.00637314	0.02854586	-0.00644557	0.13500808	0.11122191	0.07447386	0.00663924	0.00123118	0.00068222	0.09765159	0.09971679	0.06054298	0.00831890	0.00595352	-0.00916617	0.07832789	0.07697877	0.03152410	-0.02215878	0.00948738	0.00141370
0.100000	0.14372724	0.07745566	0.04954012	-0.00096023	-0.00848949	0.00694322	0.12326811	0.07639258	0.04220619	0.00000510	-0.00311830	0.00042522	0.09848054	0.06630979	0.02724328	-0.00721428	0.01463885	-0.00709226	0.13511135	0.11124378	0.07449821	0.00145816	-0.00214511	0.00106205	0.09769345	0.09982739	0.06045016	0.00047896	0.00463145	-0.00753469	0.07810120	0.07724837	0.03145978	-0.01786511	0.00690932	-0.00011528
0.116666	0.14364068	0.07721449	0.04963297	-0.00697504	-0.01181346	0.00318592	0.12323362	0.07625993	0.04216745	-0.00651809	-0.00945840	-0.00142983	0.09836508	0.06646290	0.02707632	-0.00780463	0.00054039	-0.00575272	0.13508791	0.11114316	0.07450688	-0.00363098	-0.00500625	0.00151624	0.09762732	0.09984368	0.06033612	-0.00593259	0.00271832	-0.00590148	0.07789931	0.07733556	0.03139565	-0.01130962	0.00329507	-0.00158251
