Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.14496581	0.07377573	0.05455479	0.00692013	-0.00014514	0.00811623	0.12265690	0.07311868	0.04699433	-0.00029329	-0.00901256	0.01583406	0.09847739	0.06274584	0.03271241	0.00567297	-0.00543909	-0.00456262	0.13051859	0.10153675	0.07536402	0.01397727	-0.00345205	0.00286089	0.09119953	0.09392574	0.06232923	0.02036092	-0.01283908	-0.00532549	0.08378536	0.07429814	0.03108941	0.00953060	-0.00895534	-0.00565312
0.033333	0.14508788	0.07378407	0.05468942	0.00657278	0.00279711	0.00372650	0.12266913	0.07298237	0.04723813	0.00018083	-0.00251525	0.01297189	0.09857041	0.06264314	0.03264207	0.00727172	-0.00253537	0.00171863	0.13073783	0.10146759	0.07542079	0.01514426	-0.00268513	0.00324280	0.09152738	0.09372207	0.06223856	0.01955785	-0.00563579	-0.00185006	0.08395864	0.07415227	0.03098712	0.00664878	-0.00461856	0.00019871
0.050000	0.14519025	0.07380692	0.05476205	0.00622543	0.00573935	-0.00066323	0.12265841	0.07290877	0.04748318	0.00065495	0.00398205	0.01010971	0.09869671	0.06260058	0.03264907	0.00887047	0.00036836	0.00799989	0.13099739	0.10143074	0.07546272	0.01631125	-0.00191820	0.00362472	0.09187618	0.09361777	0.06218377	0.01875479	0.00156750	0.00162537	0.08408122	0.07406398	0.03096872	0.00376695	-0.00028178	0.00605054
0.066666	0.14528272	0.07389392	0.05474811	0.00632974	0.00766604	-0.00494026	0.12264612	0.07296994	0.04766779	0.00262120	0.01011398	0.00721823	0.09883505	0.06263952	0.03279160	0.01111851	0.00392550	0.01378059	0.13129593	0.10141332	0.07551175	0.01581355	-0.00165996	0.00385312	0.09218305	0.09364066	0.06223584	0.01725755	0.01562088	0.00130982	0.08409346	0.07406706	0.03110461	0.00385804	0.00590412	0.00886661
0.083333	0.14539781	0.07408418	0.05464067	0.00711459	0.00926588	-0.01155325	0.12268408	0.07319440	0.04775019	0.00437708	0.01809411	0.00423543	0.09901935	0.06267757	0.03305334	0.01167056	0.01091012	0.02380559	0.13156724	0.10138787	0.07560127	0.01504442	-0.00096091	0.00357782	0.09247115	0.09378320	0.06235041	0.01087487	0.03535806	0.00366764	0.08411628	0.07413948	0.03133031	-0.00058625	0.01471190	0.01598272
0.100000	0.14549725	0.07430906	0.05438917	0.00909012	0.00926144	-0.01800148	0.12278979	0.07362104	0.04773812	0.00597520	0.02396861	0.00272372	0.09927257	0.06284017	0.03353741	0.00931352	0.01930721	0.03409999	0.13184002	0.10136298	0.07568204	0.01269107	-0.00046611	0.00291475	0.09271065	0.09443426	0.06244209	0.00047796	0.05602121	0.00679421	0.08413683	0.07443406	0.03164082	-0.00749636	0.02387839	0.02431847
0.116666	0.14563037	0.07451403	0.05398238	0.01064767	0.00834379	-0.02402792	0.12297200	0.07419845	0.04770004	0.00714849	0.02911728	0.00309411	0.09958543	0.06328311	0.03420449	0.00609307	0.02966919	0.04459988	0.13203709	0.10137251	0.07573250	0.00951607	0.00072718	0.00180472	0.09277475	0.09596106	0.06239342	-0.01003471	0.07911927	0.01005261	0.08415401	0.07506374	0.03200142	-0.01453998	0.03561917	0.03375339
