Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14567205	0.06724192	0.04533698	0.00060283	-0.00645856	0.00083860	0.12672503	0.07348239	0.04172075	-0.00059769	-0.00855535	-0.00793253	0.10236116	0.06397776	0.03373633	0.00190441	-0.00530986	-0.01592538	0.13664922	0.09250183	0.07234005	0.00393608	0.00185598	-0.00410920	0.09510236	0.09625607	0.06578235	0.00034824	-0.00477063	-0.01587587	0.08499783	0.07871889	0.03154496	0.00325353	-0.00217681	-0.00626240
0.016667	0.14568549	0.06713053	0.04535721	-0.00001296	-0.00758442	0.00188247	0.12671013	0.07333087	0.04159636	-0.00005856	-0.00844810	-0.00713739	0.10240114	0.06388634	0.03346595	0.00093475	-0.00471691	-0.01434753	0.13672256	0.09253320	0.07226753	0.00274436	0.00199736	-0.00377880	0.09510063	0.09617446	0.06552469	0.00080355	-0.00448288	-0.01557587	0.08505193	0.07867470	0.03144610	0.00118375	-0.00313999	-0.00533683
0.033333	0.14568663	0.06701686	0.04537540	-0.00062876	-0.00871028	0.00292634	0.12671466	0.07320209	0.04146762	0.00048056	-0.00834085	-0.00634224	0.10241544	0.06380618	0.03323264	-0.00003491	-0.00412395	-0.01276967	0.13676554	0.09256594	0.07220992	0.00155263	0.00213873	-0.00344840	0.09512166	0.09609944	0.06526108	0.00125885	-0.00419514	-0.01527587	0.08507980	0.07863420	0.03134871	-0.00088603	-0.00410316	-0.00441127
0.050000	0.14567232	0.06687389	0.04541664	-0.00052005	-0.00909626	0.00343594	0.12673338	0.07307650	0.04135402	0.00096895	-0.00831626	-0.00571199	0.10240686	0.06374761	0.03301572	0.00007711	-0.00408573	-0.01174102	0.13678136	0.09259835	0.07215744	0.00114158	0.00227869	-0.00302048	0.09515120	0.09603679	0.06499539	0.00134484	-0.00423824	-0.01446148	0.08506876	0.07857482	0.03127306	-0.00205167	-0.00498915	-0.00362243
0.066666	0.14564164	0.06668237	0.04551241	-0.00040725	-0.00947893	0.00379834	0.12673220	0.07291208	0.04127545	0.00227951	-0.00774279	-0.00532840	0.10237702	0.06368474	0.03283976	0.00009555	-0.00374196	-0.01064994	0.13678479	0.09264275	0.07209551	0.00028893	0.00232873	-0.00217245	0.09516986	0.09596645	0.06475229	0.00190251	-0.00423388	-0.01342801	0.08498809	0.07846847	0.03122251	-0.00363813	-0.00612526	-0.00274884
0.083333	0.14563166	0.06650921	0.04559688	0.00017770	-0.00972077	0.00384250	0.12677392	0.07278010	0.04121992	0.00356504	-0.00768575	-0.00500620	0.10237939	0.06362730	0.03269736	0.00046916	-0.00347251	-0.01053255	0.13678227	0.09268428	0.07206042	0.00001132	0.00234083	-0.00160386	0.09520088	0.09589996	0.06454571	0.00215513	-0.00448337	-0.01210877	0.08489791	0.07834456	0.03120447	-0.00470409	-0.00716428	-0.00251386
0.100000	0.14564268	0.06634963	0.04566434	0.00132487	-0.00990551	0.00346096	0.12684013	0.07265706	0.04113934	0.00470581	-0.00814676	-0.00458628	0.10239763	0.06356071	0.03254510	0.00089560	-0.00313108	-0.01098410	0.13677409	0.09272856	0.07205215	0.00023820	0.00246656	-0.00130293	0.09523448	0.09582353	0.06435797	0.00212059	-0.00503948	-0.01069881	0.08480491	0.07821275	0.03118230	-0.00512583	-0.00781476	-0.00305544
0.116666	0.14567354	0.06622132	0.04569268	0.00257419	-0.01039461	0.00290520	0.12696566	0.07257402	0.04103490	0.00516089	-0.00947710	-0.00389738	0.10244264	0.06350724	0.03235601	0.00086509	-0.00310217	-0.01146107	0.13677512	0.09275796	0.07205757	0.00079699	0.00265976	-0.00121609	0.09529862	0.09573828	0.06419694	0.00180703	-0.00605288	-0.00932924	0.08473270	0.07807783	0.03113858	-0.00514409	-0.00837910	-0.00390889
