Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11546098	0.04315594	0.05428442	0.00045393	-0.00107954	0.00076643	0.08970794	0.04479334	0.04881467	0.00141632	-0.00587445	0.00161417	0.06494801	0.04996878	0.04277939	-0.00020854	-0.00638199	0.00375751	0.10858127	0.08488462	0.08725586	0.00168291	0.00096657	0.00054829	0.07448611	0.09175452	0.07166082	0.00342546	0.00288331	-0.00235894	0.05310521	0.07418799	0.04520075	-0.00075396	-0.00270915	0.00132319
0.033333	0.11542857	0.04312495	0.05431991	0.00375667	-0.00123058	-0.00160799	0.08971442	0.04470691	0.04884101	0.00222088	-0.00681250	0.00122488	0.06494793	0.04990485	0.04284015	-0.00090838	-0.00656775	0.00370001	0.10860748	0.08489484	0.08727197	0.00120543	0.00023536	0.00053242	0.07454918	0.09178390	0.07162491	0.00265406	0.00255191	-0.00236147	0.05309779	0.07416576	0.04522333	-0.00107434	-0.00236125	0.00069358
0.050000	0.11550181	0.04311455	0.05429015	0.00705942	-0.00138162	-0.00398241	0.08975554	0.04457966	0.04887345	0.00302543	-0.00775055	0.00083559	0.06493353	0.04975916	0.04290064	-0.00160821	-0.00675351	0.00364251	0.10862852	0.08490725	0.08727366	0.00072796	-0.00049584	0.00051655	0.07459941	0.09184415	0.07159200	0.00188266	0.00222051	-0.00236400	0.05306784	0.07409628	0.04523987	-0.00139472	-0.00201334	0.00006396
0.066666	0.11568036	0.04310289	0.05418872	0.00593024	-0.00220411	-0.00336782	0.08983453	0.04445481	0.04887366	0.00205212	-0.00763404	0.00109660	0.06489798	0.04960682	0.04296411	-0.00176319	-0.00475520	0.00339752	0.10864735	0.08491898	0.08727133	0.00054252	-0.00125692	0.00108157	0.07460476	0.09190554	0.07152566	0.00190035	0.00124533	-0.00152179	0.05304714	0.07404109	0.04524323	-0.00155794	-0.00124842	0.00034111
0.083333	0.11585928	0.04307628	0.05407088	0.00629763	-0.00298648	-0.00360282	0.08989743	0.04429657	0.04887471	0.00196670	-0.00689466	0.00085170	0.06486120	0.04950968	0.04302930	-0.00222222	-0.00337962	0.00300098	0.10864262	0.08485667	0.08729520	0.00077866	-0.00113469	0.00130199	0.07463345	0.09190979	0.07150711	0.00109066	0.00085872	-0.00089430	0.05302904	0.07405528	0.04521218	-0.00162934	-0.00032064	0.00038883
0.100000	0.11593518	0.04299598	0.05401875	0.00514044	-0.00392455	-0.00278727	0.08989684	0.04416116	0.04890408	0.00163280	-0.00516666	0.00061732	0.06481802	0.04952693	0.04306867	-0.00213676	-0.00063306	0.00224658	0.10863160	0.08481938	0.08732107	0.00137959	-0.00062317	0.00140135	0.07466605	0.09188560	0.07150319	0.00054352	0.00041656	-0.00016090	0.05298082	0.07406560	0.04521726	-0.00139185	0.00139308	0.00050141
0.116666	0.11595866	0.04291630	0.05401706	0.00329645	-0.00461353	-0.00140424	0.08988119	0.04408567	0.04892527	0.00118856	-0.00337505	0.00047360	0.06478057	0.04955035	0.04311238	-0.00177079	0.00218996	0.00147923	0.10865828	0.08477052	0.08738080	0.00157502	-0.00012204	0.00139967	0.07467096	0.09187132	0.07152677	0.00007264	0.00035327	0.00047833	0.05296564	0.07408671	0.04526148	-0.00151283	0.00281961	0.00106303
