Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.11188410	0.03644887	0.05343357	0.00371730	-0.00089258	0.00039593	0.08723244	0.04855276	0.04974626	0.00176091	0.00025950	0.00197622	0.06792026	0.05279055	0.04389722	0.00095178	-0.00139081	0.00327879	0.10813936	0.07541317	0.08813941	-0.00038766	-0.00215840	0.00395028	0.07136767	0.08408064	0.07755565	0.00067313	-0.00341067	0.00754792	0.05246801	0.07264494	0.04647832	-0.00222874	-0.00117474	0.00909470
0.033333	0.11192632	0.03641272	0.05345404	0.00353919	-0.00057299	0.00072778	0.08728450	0.04854318	0.04976766	0.00154094	0.00136123	0.00173305	0.06794985	0.05275225	0.04394275	0.00003822	0.00046738	0.00462079	0.10813001	0.07537357	0.08820028	-0.00041440	-0.00201815	0.00438342	0.07140642	0.08401942	0.07766028	0.00033975	-0.00223384	0.00844698	0.05242159	0.07261067	0.04663821	-0.00153937	-0.00063859	0.00803895
0.050000	0.11201131	0.03642626	0.05344722	0.00336108	-0.00025340	0.00105963	0.08729283	0.04857504	0.04981848	0.00132096	0.00246295	0.00148988	0.06793826	0.05275152	0.04403281	-0.00087533	0.00232556	0.00596280	0.10812982	0.07534606	0.08827384	-0.00044115	-0.00187789	0.00481656	0.07137907	0.08397968	0.07782736	0.00000637	-0.00105702	0.00934604	0.05240324	0.07260645	0.04677776	-0.00085000	-0.00010245	0.00698320
0.066666	0.11207001	0.03642599	0.05346325	0.00244443	-0.00095666	0.00208811	0.08728304	0.04862117	0.04984106	0.00203014	0.00224204	0.00199416	0.06790575	0.05283470	0.04413357	-0.00072234	0.00134247	0.00701551	0.10811415	0.07532308	0.08836501	-0.00105963	-0.00193109	0.00514345	0.07136669	0.08397724	0.07798750	0.00072945	-0.00059646	0.00963114	0.05238983	0.07264142	0.04685856	-0.00068002	-0.00087705	0.00741909
0.083333	0.11211859	0.03643502	0.05349107	0.00126493	-0.00161917	0.00364791	0.08732623	0.04869853	0.04984666	0.00204501	0.00225536	0.00257912	0.06789356	0.05290164	0.04424986	-0.00103061	0.00144736	0.00854808	0.10811441	0.07527359	0.08844908	-0.00218333	-0.00163131	0.00605835	0.07137512	0.08397389	0.07815526	0.00096862	0.00056207	0.01048752	0.05240083	0.07261475	0.04697857	-0.00058240	-0.00096109	0.00733615
0.100000	0.11212039	0.03638267	0.05356187	-0.00024885	-0.00232731	0.00519710	0.08740120	0.04872995	0.04987768	0.00276418	0.00171919	0.00267767	0.06786870	0.05291399	0.04441770	-0.00102502	0.00111169	0.00949275	0.10808951	0.07525548	0.08853640	-0.00345746	-0.00146594	0.00680997	0.07141682	0.08399292	0.07832102	0.00147973	0.00103210	0.01070384	0.05238620	0.07258730	0.04709817	-0.00105376	-0.00076477	0.00746698
0.116666	0.11208905	0.03631772	0.05368663	-0.00137263	-0.00236441	0.00576890	0.08744349	0.04873940	0.04997110	0.00340817	0.00054641	0.00299544	0.06787467	0.05286705	0.04459933	-0.00143529	0.00052348	0.01021128	0.10799057	0.07521614	0.08867234	-0.00418147	-0.00114397	0.00724322	0.07147191	0.08401863	0.07850874	0.00166767	0.00062909	0.01031727	0.05238554	0.07253452	0.04724820	-0.00164282	0.00010148	0.00735414
