Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10945088	0.03470018	0.05586413	0.00246239	0.00427196	-0.01090883	0.08727311	0.04781374	0.05447421	-0.00547150	0.00548225	-0.00977961	0.06619822	0.05148583	0.05301277	-0.00285362	0.00061192	-0.01746508	0.10759112	0.07340758	0.09084646	-0.00417655	-0.00196052	-0.00777527	0.07032930	0.08364137	0.08709453	-0.00608875	-0.00307345	-0.01192455	0.04950591	0.07072722	0.05507805	-0.00843921	0.00010777	-0.01412267
0.033333	0.10944587	0.03476791	0.05571401	0.00424349	0.00144080	-0.01116016	0.08719785	0.04792172	0.05434278	-0.00153736	0.00110407	-0.01084254	0.06617895	0.05150601	0.05276569	-0.00089564	-0.00035349	-0.01767594	0.10753015	0.07339066	0.09073295	-0.00281186	-0.00389637	-0.00807482	0.07025900	0.08359587	0.08691563	-0.00417800	-0.00414850	-0.01203780	0.04939471	0.07077146	0.05486831	-0.00392778	-0.00088178	-0.01466816
0.050000	0.10957617	0.03480688	0.05548648	0.00602460	-0.00139036	-0.01141149	0.08712259	0.04796436	0.05413768	0.00239679	-0.00327411	-0.01190546	0.06611459	0.05148911	0.05244363	0.00106235	-0.00131891	-0.01788679	0.10747092	0.07332799	0.09058278	-0.00144717	-0.00583223	-0.00837437	0.07014155	0.08352217	0.08670837	-0.00226726	-0.00522355	-0.01215105	0.04926772	0.07070703	0.05460329	0.00058366	-0.00187133	-0.01521366
0.066666	0.10969272	0.03479112	0.05529205	0.00643908	-0.00288504	-0.01082609	0.08719366	0.04785106	0.05391704	0.00280068	-0.00345053	-0.01080005	0.06616385	0.05147177	0.05206821	0.00174739	-0.00168082	-0.01502768	0.10743263	0.07318904	0.09043534	-0.00024662	-0.00557790	-0.00754061	0.07009103	0.08342850	0.08646579	-0.00095830	-0.00570456	-0.01045257	0.04928073	0.07067751	0.05432063	0.00244166	-0.00195944	-0.01388475
0.083333	0.10979602	0.03467491	0.05510396	0.00688842	-0.00468135	-0.01052049	0.08732212	0.04770185	0.05369226	0.00308012	-0.00535053	-0.01018132	0.06618626	0.05141748	0.05182757	0.00256521	-0.00233696	-0.01360765	0.10746215	0.07307320	0.09028900	0.00056777	-0.00603149	-0.00707313	0.07012930	0.08332754	0.08628205	-0.00003651	-0.00618427	-0.00936847	0.04942584	0.07060591	0.05407527	0.00411736	-0.00242044	-0.01312881
0.100000	0.10991856	0.03454722	0.05495974	0.00513861	-0.00485841	-0.00973173	0.08747705	0.04760022	0.05356166	0.00231341	-0.00495542	-0.00974350	0.06632629	0.05137639	0.05167810	0.00296192	-0.00209757	-0.01274269	0.10751182	0.07296921	0.09019060	0.00061579	-0.00472533	-0.00744491	0.07020346	0.08320055	0.08617037	-0.00023536	-0.00599584	-0.00871733	0.04961834	0.07062099	0.05388416	0.00445204	-0.00145920	-0.01305258
0.116666	0.11004235	0.03444241	0.05481152	0.00306816	-0.00275794	-0.00915715	0.08744525	0.04754132	0.05345004	0.00038557	-0.00257046	-0.00963383	0.06634033	0.05133344	0.05157084	0.00324619	-0.00077373	-0.01366861	0.10755714	0.07289522	0.09012473	-0.00037551	-0.00232221	-0.00848788	0.07021175	0.08308966	0.08608770	-0.00153486	-0.00510598	-0.00932090	0.04967395	0.07054967	0.05373846	0.00318245	0.00021305	-0.01430080
