Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11351421	0.03764851	0.05453091	-0.00118379	0.00076818	-0.00316752	0.08930372	0.04818446	0.04975342	0.00118305	-0.00053227	-0.00625965	0.06735313	0.05101292	0.04690625	-0.00487017	0.00025351	-0.00564734	0.10744545	0.07372303	0.09046641	-0.00743679	0.00045110	-0.00479752	0.07240456	0.08657099	0.08025560	-0.00245125	0.00130427	-0.00696151	0.05266708	0.07312474	0.04940248	0.00247036	-0.00017885	-0.00708346
0.016667	0.11346678	0.03767164	0.05448952	-0.00112564	-0.00015669	-0.00380573	0.08932892	0.04816869	0.04964652	0.00143342	-0.00012875	-0.00590826	0.06726098	0.05102182	0.04681617	-0.00346208	0.00014015	-0.00557756	0.10734216	0.07375494	0.09037539	-0.00709335	-0.00003375	-0.00354656	0.07237781	0.08660771	0.08015041	-0.00302733	0.00201837	-0.00737163	0.05276496	0.07313044	0.04926278	0.00005364	-0.00081338	-0.00620856
0.033333	0.11347795	0.03766317	0.05442449	-0.00106749	-0.00108155	-0.00444395	0.08934844	0.04816909	0.04955714	0.00168380	0.00027478	-0.00555687	0.06720446	0.05102131	0.04672248	-0.00205398	0.00002678	-0.00550779	0.10720231	0.07373635	0.09031905	-0.00674992	-0.00051860	-0.00229561	0.07231208	0.08662336	0.08001090	-0.00360341	0.00273247	-0.00778175	0.05272058	0.07310891	0.04917348	-0.00236307	-0.00144791	-0.00533365
0.050000	0.11348415	0.03764161	0.05432561	-0.00185475	-0.00092293	-0.00385802	0.08936804	0.04818058	0.04945635	0.00169174	0.00049677	-0.00508176	0.06719833	0.05101046	0.04662357	-0.00176166	0.00048444	-0.00570106	0.10707712	0.07369649	0.09030101	-0.00574490	0.00023197	-0.00241385	0.07223488	0.08665691	0.07987584	-0.00336708	0.00303247	-0.00807810	0.05261429	0.07308535	0.04912166	-0.00163880	-0.00160631	-0.00528695
0.066666	0.11344037	0.03759152	0.05424973	-0.00241411	-0.00089655	-0.00356601	0.08940841	0.04819805	0.04936896	0.00107386	0.00088493	-0.00487817	0.06717175	0.05102146	0.04653321	-0.00059568	0.00095042	-0.00678089	0.10697795	0.07369873	0.09027911	-0.00510784	0.00025060	-0.00247245	0.07218896	0.08673237	0.07975660	-0.00368906	0.00251309	-0.00876676	0.05257744	0.07303868	0.04901722	-0.00260449	-0.00182648	-0.00450054
0.083333	0.11336699	0.03757998	0.05420332	-0.00354131	-0.00068158	-0.00320615	0.08945514	0.04819629	0.04930835	0.00038300	0.00094816	-0.00531912	0.06716494	0.05103486	0.04645345	-0.00012741	0.00124768	-0.00810474	0.10693842	0.07374193	0.09024847	-0.00433495	0.00074860	-0.00340612	0.07212561	0.08682708	0.07960554	-0.00377638	0.00080921	-0.00914756	0.05257915	0.07301221	0.04891778	-0.00182188	-0.00169874	-0.00507502
0.100000	0.11330627	0.03758692	0.05417120	-0.00398090	-0.00055224	-0.00300155	0.08944526	0.04824180	0.04923725	0.00000257	0.00080383	-0.00606590	0.06716938	0.05108161	0.04629850	0.00009667	0.00083182	-0.00906508	0.10688594	0.07376345	0.09018625	-0.00364946	0.00094884	-0.00431420	0.07208633	0.08683488	0.07944673	-0.00401070	-0.00139688	-0.00982802	0.05255654	0.07297628	0.04887613	-0.00114799	-0.00111517	-0.00618810
0.116666	0.11322658	0.03760222	0.05414905	-0.00304402	-0.00063110	-0.00300459	0.08940872	0.04823643	0.04913794	0.00009317	0.00099261	-0.00699217	0.06718314	0.05111446	0.04610350	0.00035882	0.00009367	-0.00936367	0.10680906	0.07377731	0.09007726	-0.00319147	0.00049304	-0.00472011	0.07199208	0.08678593	0.07925832	-0.00425702	-0.00311465	-0.01045186	0.05252831	0.07296735	0.04878127	-0.00150765	-0.00041142	-0.00668279
