Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.14126745	0.05506383	0.04769169	-0.00440070	-0.00619019	-0.00298149	0.11239891	0.05908478	0.03757285	-0.00092619	0.00193179	-0.00294383	0.09500185	0.05866228	0.02277672	0.00255463	0.00881420	-0.00272952	0.13707252	0.08203633	0.07930778	0.00429230	-0.00243970	0.00205421	0.10193855	0.09102105	0.05527782	-0.00277729	-0.00471735	0.00272551	0.08229639	0.07981216	0.02243501	-0.00731110	-0.00055328	0.00225622
0.033333	0.14119597	0.05495003	0.04765412	-0.00536399	-0.00467522	-0.00403674	0.11237910	0.05909745	0.03753646	-0.00170723	0.00263617	-0.00391470	0.09502830	0.05874765	0.02276803	-0.00001587	0.00305158	-0.00213616	0.13713475	0.08196559	0.07936087	0.00356690	-0.00292474	0.00087709	0.10188811	0.09089705	0.05533425	-0.00383334	-0.00619235	0.00283868	0.08219533	0.07975537	0.02248291	-0.00595743	-0.00439325	0.00193349
0.050000	0.14110553	0.05488846	0.04757914	-0.00632728	-0.00316025	-0.00509199	0.11235636	0.05916285	0.03746544	-0.00248828	0.00334056	-0.00488557	0.09504523	0.05885282	0.02270739	-0.00258637	-0.00271103	-0.00154281	0.13720891	0.08194426	0.07936770	0.00284151	-0.00340977	-0.00030004	0.10184541	0.09085921	0.05536978	-0.00488939	-0.00766735	0.00295186	0.08209638	0.07974201	0.02249901	-0.00460377	-0.00823322	0.00161076
0.066666	0.14099748	0.05483143	0.04748156	-0.00778373	-0.00155431	-0.00530258	0.11231580	0.05922242	0.03737205	-0.00388523	0.00324688	-0.00445124	0.09501585	0.05888286	0.02263055	-0.00617693	-0.01148793	0.00187376	0.13725977	0.08192202	0.07933441	0.00221469	-0.00474693	-0.00010997	0.10174358	0.09074525	0.05540848	-0.00445766	-0.00825446	0.00326806	0.08196495	0.07964291	0.02252179	0.00027925	-0.01083445	0.00030983
0.083333	0.14087680	0.05480618	0.04737915	-0.01087946	0.00018051	-0.00578244	0.11225981	0.05929577	0.03726502	-0.00674709	0.00274358	-0.00366816	0.09491536	0.05867438	0.02264486	-0.01112648	-0.02069194	0.00507905	0.13728115	0.08182599	0.07931431	0.00147157	-0.00513883	-0.00110705	0.10163814	0.09055065	0.05547187	-0.00443166	-0.00781960	0.00344051	0.08193596	0.07937616	0.02255858	0.00620133	-0.01128372	-0.00241911
0.100000	0.14070274	0.05483636	0.04728284	-0.01502877	0.00089225	-0.00589867	0.11214752	0.05933518	0.03720208	-0.01058132	0.00155954	-0.00257616	0.09466469	0.05809804	0.02280441	-0.01598130	-0.02664023	0.00745154	0.13728420	0.08166870	0.07932555	0.00034176	-0.00546644	-0.00240178	0.10155365	0.09032081	0.05554770	-0.00465253	-0.00641624	0.00318145	0.08209737	0.07899381	0.02254285	0.01132713	-0.00865012	-0.00599191
0.116666	0.14042380	0.05491885	0.04717629	-0.01940623	0.00179308	-0.00686978	0.11194716	0.05937565	0.03717689	-0.01456900	0.00087757	-0.00279066	0.09430459	0.05739042	0.02305256	-0.02019421	-0.02856959	0.00771736	0.13728859	0.08156069	0.07930178	-0.00139274	-0.00486912	-0.00456547	0.10152468	0.09024938	0.05560475	-0.00506906	-0.00292995	0.00152082	0.08246954	0.07882696	0.02239084	0.01385303	-0.00349471	-0.01018445
