Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13798825	0.05584882	0.04667680	-0.00417040	-0.00287865	0.00188189	0.11105313	0.05857870	0.03842429	0.00259114	0.00229700	-0.00344526	0.09308193	0.05894591	0.02267060	-0.00794511	-0.01301435	0.01054562	0.13746215	0.08652800	0.07798382	0.00298494	-0.00731181	0.00607344	0.10395574	0.09084975	0.05625684	-0.00277789	-0.00245404	-0.00173197	0.08366362	0.08041128	0.02335257	-0.00684935	-0.00464374	0.00101581
0.016667	0.13792065	0.05580337	0.04669842	-0.00460850	-0.00102953	0.00132356	0.11110448	0.05864064	0.03834314	0.00284069	0.00519311	-0.00450512	0.09295398	0.05877623	0.02281609	-0.00589798	-0.00784963	0.00746858	0.13750526	0.08641501	0.07807505	0.00178457	-0.00839557	0.00517914	0.10390821	0.09080856	0.05622199	-0.00267060	-0.00147410	-0.00230459	0.08353300	0.08034965	0.02336267	-0.00620375	-0.00369789	0.00017015
0.033333	0.13783959	0.05577161	0.04673279	-0.00504660	0.00081960	0.00076523	0.11114176	0.05870774	0.03829152	0.00309025	0.00808922	-0.00556499	0.09284777	0.05861556	0.02296851	-0.00385085	-0.00268490	0.00439155	0.13754100	0.08626895	0.07817023	0.00058420	-0.00947934	0.00428485	0.10386246	0.09078251	0.05618921	-0.00256331	-0.00049416	-0.00287720	0.08343972	0.08027880	0.02336908	-0.00555816	-0.00275203	-0.00067550
0.050000	0.13776179	0.05578902	0.04675566	-0.00592353	0.00010345	0.00053991	0.11119112	0.05880514	0.03822433	0.00311771	0.01070533	-0.00694555	0.09277961	0.05850289	0.02307486	-0.00230149	0.00752221	-0.00090467	0.13756073	0.08610480	0.07826030	-0.00115179	-0.01030825	0.00248876	0.10382495	0.09077663	0.05615121	-0.00311164	-0.00056263	-0.00371081	0.08336814	0.08020948	0.02337799	-0.00705956	-0.00111945	-0.00180409
0.066666	0.13766292	0.05585970	0.04674092	-0.00495682	-0.00099091	-0.00057131	0.11124863	0.05902679	0.03808734	0.00310988	0.01199557	-0.00768309	0.09276333	0.05858072	0.02306768	0.00007045	0.01953231	-0.00731084	0.13753904	0.08592394	0.07829289	-0.00285582	-0.01175989	-0.00036679	0.10378222	0.09078562	0.05608086	-0.00319389	-0.00098829	-0.00509884	0.08327965	0.08019089	0.02332890	-0.00919882	-0.00023227	-0.00240309
0.083333	0.13755167	0.05589672	0.04671733	-0.00053622	-0.00332251	-0.00308016	0.11132353	0.05936892	0.03788605	0.00389380	0.01007375	-0.00852087	0.09281161	0.05908383	0.02284705	0.00325558	0.02901621	-0.01326775	0.13745449	0.08573081	0.07827549	-0.00347705	-0.01364702	-0.00375857	0.10372673	0.09080849	0.05598347	-0.00214335	-0.00317988	-0.00701605	0.08313293	0.08025740	0.02325177	-0.01227454	-0.00083953	-0.00210458
0.100000	0.13741811	0.05575341	0.04672632	0.00454457	-0.00792706	-0.00462115	0.11135450	0.05959519	0.03773678	0.00470409	0.00452891	-0.00866584	0.09285937	0.05993584	0.02246089	0.00676236	0.03453428	-0.01767834	0.13732329	0.08547959	0.07817207	-0.00373559	-0.01716825	-0.00589541	0.10363007	0.09073971	0.05586326	-0.00059664	-0.00791400	-0.00794136	0.08286545	0.08029827	0.02317616	-0.01442148	-0.00258752	-0.00109705
0.116666	0.13759677	0.05562098	0.04658067	0.00878799	-0.01473578	-0.00410747	0.11142690	0.05966869	0.03761917	0.00526173	-0.00405512	-0.00756313	0.09297454	0.06065105	0.02211628	0.01029864	0.03568261	-0.01982233	0.13727131	0.08522823	0.07800166	-0.00381151	-0.02280088	-0.00571063	0.10363493	0.09063929	0.05568871	0.00060927	-0.01573587	-0.00661098	0.08255465	0.08025423	0.02317797	-0.01494324	-0.00490928	0.00069247
