Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.13946222	0.05652300	0.04594608	0.00218765	0.00629068	0.00237600	0.11456373	0.06497020	0.03656975	-0.00629759	0.00505263	0.01884861	0.09932506	0.06330793	0.02281217	-0.00104893	0.01332195	0.01421830	0.13451074	0.07386812	0.07787132	0.00074998	0.00163392	0.00358840	0.09911297	0.08058270	0.06035383	-0.01129337	0.00638018	0.01342602	0.08372331	0.07643974	0.02120555	0.00192270	0.00589842	0.01116592
0.033333	0.13950688	0.05662186	0.04599007	0.00067547	0.00559064	0.00212823	0.11445351	0.06503047	0.03688953	-0.00603857	0.00581237	0.01604180	0.09930113	0.06350289	0.02306298	-0.00058942	0.01249512	0.01205630	0.13453817	0.07390016	0.07794511	-0.00065625	0.00104271	0.00181698	0.09893926	0.08065175	0.06061056	-0.01084466	0.00719461	0.01078174	0.08375727	0.07648867	0.02142609	0.00126154	0.00687185	0.00873152
0.050000	0.13951670	0.05672408	0.04601759	-0.00083670	0.00489060	0.00188046	0.11435667	0.06514591	0.03716152	-0.00577955	0.00657211	0.01323499	0.09930339	0.06373832	0.02325799	-0.00012990	0.01166829	0.00989430	0.13451901	0.07391099	0.07797020	-0.00206248	0.00045151	0.00004556	0.09874229	0.08080465	0.06076068	-0.01039595	0.00800903	0.00813746	0.08377676	0.07664582	0.02154165	0.00060037	0.00784527	0.00629712
0.066666	0.13949072	0.05680621	0.04605196	-0.00117593	0.00419294	0.00164472	0.11426354	0.06528095	0.03737343	-0.00582336	0.00563531	0.01214919	0.09929439	0.06396227	0.02341111	0.00050571	0.01033552	0.00889829	0.13445932	0.07391708	0.07794353	-0.00184716	0.00012845	-0.00015810	0.09855381	0.08096512	0.06087974	-0.00937007	0.00650546	0.00783936	0.08378593	0.07682534	0.02162498	0.00016280	0.00598101	0.00637433
0.083333	0.13944715	0.05687160	0.04607939	-0.00194394	0.00339014	0.00143501	0.11417480	0.06539217	0.03752816	-0.00574919	0.00510005	0.01066387	0.09930309	0.06411076	0.02352595	0.00109796	0.00961784	0.00708878	0.13441713	0.07391801	0.07792926	-0.00186414	-0.00017408	-0.00111156	0.09840910	0.08110838	0.06096132	-0.00814210	0.00555950	0.00716367	0.08378356	0.07694443	0.02168474	-0.00056822	0.00503795	0.00606957
0.100000	0.13939936	0.05690612	0.04609777	-0.00212082	0.00288998	0.00167879	0.11407193	0.06545524	0.03765698	-0.00581971	0.00428276	0.01033146	0.09932910	0.06420346	0.02363576	0.00128717	0.00926059	0.00621836	0.13436988	0.07390039	0.07789529	-0.00111536	0.00016589	-0.00147116	0.09829315	0.08115572	0.06106829	-0.00701516	0.00417335	0.00810775	0.08376275	0.07696932	0.02178013	-0.00120171	0.00365933	0.00709718
0.116666	0.13936941	0.05693635	0.04611437	-0.00203022	0.00305646	0.00205028	0.11397605	0.06548813	0.03782655	-0.00586862	0.00397788	0.01059790	0.09937978	0.06434307	0.02371096	0.00143365	0.00969097	0.00625360	0.13437253	0.07389229	0.07788449	-0.00063002	0.00072930	-0.00187673	0.09820269	0.08116763	0.06120539	-0.00679391	0.00298531	0.00948949	0.08373959	0.07696721	0.02191611	-0.00168909	0.00305624	0.00831776
