Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10975521	0.05078783	0.05707773	0.02992024	0.01212330	-0.01518146	0.08905228	0.04974762	0.04642614	-0.00387733	0.00288884	-0.00387901	0.06316433	0.05477201	0.03599188	0.00352909	-0.01058993	-0.00112461	0.10695014	0.09635761	0.08693238	0.00266993	0.00684666	-0.00022259	0.07465108	0.09154326	0.06614892	-0.00142467	0.01090453	0.00340929	0.05894502	0.08343152	0.04648455	-0.00517300	-0.00682990	0.00108215
0.033333	0.11019789	0.05094771	0.05683837	0.02380090	0.00940967	-0.01225339	0.08900527	0.04980275	0.04636219	-0.00301593	0.00112161	-0.00395516	0.06322800	0.05459648	0.03599397	0.00271910	-0.00850342	-0.00241556	0.10701200	0.09650663	0.08693095	0.00078030	0.00381658	-0.00021502	0.07462766	0.09173651	0.06621794	-0.00290149	0.00775899	0.00341692	0.05887116	0.08336017	0.04651238	-0.00617022	-0.00741857	0.00021927
0.050000	0.11067005	0.05116807	0.05660496	0.01768157	0.00669605	-0.00932531	0.08893421	0.04983554	0.04629134	-0.00215453	-0.00064561	-0.00403130	0.06326109	0.05442882	0.03595672	0.00190911	-0.00641691	-0.00370651	0.10701739	0.09655412	0.08692577	-0.00110932	0.00078649	-0.00020746	0.07458586	0.09186560	0.06626230	-0.00437831	0.00461346	0.00342456	0.05876073	0.08319961	0.04650591	-0.00716745	-0.00800725	-0.00064360
0.066666	0.11106606	0.05130241	0.05643336	0.01292990	0.00507750	-0.00799095	0.08889728	0.04980881	0.04622126	-0.00077658	0.00037974	-0.00474999	0.06331905	0.05436098	0.03584407	0.00094988	-0.00590735	-0.00232625	0.10696635	0.09651253	0.08692741	-0.00129927	0.00163407	-0.00005633	0.07451458	0.09195279	0.06631145	-0.00490857	0.00400247	0.00366469	0.05863277	0.08305238	0.04648985	-0.00689696	-0.00602952	-0.00061346
0.083333	0.11105366	0.05130142	0.05639198	0.00776063	0.00405298	-0.00623605	0.08886973	0.04973034	0.04617057	0.00071030	0.00152892	-0.00570452	0.06330235	0.05428450	0.03577019	0.00055738	-0.00375908	-0.00224506	0.10693485	0.09649321	0.08690955	-0.00232399	0.00171025	0.00030603	0.07439265	0.09191135	0.06637345	-0.00488499	0.00401487	0.00352231	0.05848705	0.08287749	0.04646662	-0.00592113	-0.00395165	-0.00069646
0.100000	0.11102562	0.05126071	0.05634585	0.00193053	0.00355184	-0.00547337	0.08893162	0.04975086	0.04606814	0.00132938	0.00262675	-0.00623434	0.06329511	0.05422575	0.03577461	0.00014022	-0.00289009	-0.00221458	0.10688443	0.09650885	0.08692387	-0.00245513	0.00284267	0.00071053	0.07427915	0.09193411	0.06645790	-0.00376438	0.00548074	0.00292079	0.05837750	0.08288247	0.04644138	-0.00430051	-0.00206702	-0.00055615
0.116666	0.11107636	0.05133826	0.05623975	-0.00131868	0.00316373	-0.00684905	0.08899746	0.04987238	0.04592317	0.00090834	0.00256722	-0.00598780	0.06326726	0.05418514	0.03580243	-0.00043824	-0.00344758	-0.00264808	0.10685022	0.09662407	0.08693510	-0.00238420	0.00311823	0.00110373	0.07419905	0.09203696	0.06651077	-0.00236955	0.00730581	0.00190236	0.05830931	0.08291249	0.04645377	-0.00322045	-0.00102953	-0.00074644
