Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10389495	0.05273869	0.06033888	0.00384563	-0.00137209	0.00155740	0.08020340	0.05042822	0.05101496	0.00641334	0.00053734	-0.00440661	0.05904951	0.05050837	0.03870004	0.02565538	0.01223131	-0.01659251	0.09956210	0.09961507	0.08625770	-0.00423914	-0.00263152	0.00249301	0.06996542	0.09063410	0.06516586	0.01270445	0.00151095	-0.00688746	0.05497570	0.08117355	0.04642143	-0.00148466	0.00423712	0.00500390
0.016667	0.10396031	0.05273493	0.06033339	0.00539238	-0.00133250	0.00458414	0.08030978	0.05043572	0.05091485	0.00576901	0.00079092	-0.00051566	0.05942594	0.05072193	0.03844811	0.02217067	0.01269383	-0.01209826	0.09951334	0.09959045	0.08627467	-0.00392520	-0.00486868	0.00269429	0.07022198	0.09069649	0.06501842	0.01079482	-0.00134379	-0.00505218	0.05496616	0.08127968	0.04647765	-0.00145265	0.00215874	0.00546223
0.033333	0.10404648	0.05269110	0.06041616	0.00693913	-0.00129292	0.00761087	0.08041474	0.05045810	0.05090588	0.00512468	0.00104450	0.00337529	0.05984501	0.05092855	0.03820561	0.01868596	0.01315634	-0.00760402	0.09943029	0.09949929	0.08633851	-0.00361127	-0.00710583	0.00289557	0.07036263	0.09065539	0.06495012	0.00888519	-0.00419853	-0.00321691	0.05494356	0.08129638	0.04657942	-0.00142063	0.00008035	0.00592055
0.050000	0.10420033	0.05268097	0.06059922	0.00742658	-0.00068400	0.00688697	0.08048958	0.05046198	0.05101379	0.00507141	0.00219705	0.00340871	0.06026350	0.05115674	0.03802624	0.01438010	0.01461394	-0.00466259	0.09933305	0.09936803	0.08642579	-0.00204314	-0.00711552	0.00166458	0.07048007	0.09054340	0.06493639	0.00931609	-0.00318737	-0.00412306	0.05489965	0.08126751	0.04671256	-0.00064375	0.00063390	0.00442970
0.066666	0.10427139	0.05262565	0.06077075	0.00805400	-0.00007333	0.00814346	0.08056098	0.05048890	0.05113939	0.00493677	0.00329578	0.00579814	0.06035870	0.05134190	0.03810382	0.00947116	0.01556149	-0.00080370	0.09931755	0.09919108	0.08644090	-0.00110142	-0.00757954	0.00083551	0.07059612	0.09041719	0.06491648	0.00817429	-0.00336201	-0.00368567	0.05485133	0.08121044	0.04682645	-0.00134206	-0.00043996	0.00404685
0.083333	0.10449159	0.05267149	0.06088878	0.00698055	-0.00020346	0.00896796	0.08063793	0.05055138	0.05123927	0.00504943	0.00354850	0.00762846	0.06040284	0.05166112	0.03817452	0.00380577	0.01558921	0.00278237	0.09933811	0.09905397	0.08642509	-0.00057273	-0.00844702	0.00023171	0.07078221	0.09037660	0.06481200	0.00740650	-0.00302521	-0.00337513	0.05492313	0.08126036	0.04681657	-0.00289125	-0.00100524	0.00372199
0.100000	0.10459673	0.05268738	0.06096265	0.00551166	-0.00109494	0.00967922	0.08072080	0.05067759	0.05129755	0.00472041	0.00362543	0.00974462	0.06045320	0.05199430	0.03821015	0.00106525	0.01652193	0.00309942	0.09938519	0.09896059	0.08639050	-0.00096936	-0.00976931	0.00066977	0.07093120	0.09040898	0.06470632	0.00627531	-0.00279353	-0.00287597	0.05487976	0.08127250	0.04683943	-0.00344909	-0.00014614	0.00302728
0.116666	0.10471446	0.05270845	0.06113903	0.00333966	-0.00238231	0.01133934	0.08083039	0.05074697	0.05148359	0.00387260	0.00373136	0.01226957	0.06038709	0.05223130	0.03829600	0.00134178	0.01748567	0.00095554	0.09936185	0.09885567	0.08637051	-0.00223149	-0.01069408	0.00195444	0.07101925	0.09039140	0.06464840	0.00492452	-0.00233007	-0.00250430	0.05478716	0.08124157	0.04689486	-0.00319728	0.00087675	0.00265938
