Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11177627	0.05266592	0.05178011	-0.00591828	-0.00378353	-0.00740548	0.09022479	0.05676637	0.04541314	-0.00484375	0.00038767	-0.01131467	0.06978653	0.05858313	0.04051055	-0.00832416	-0.00048408	-0.02628722	0.10790525	0.08923780	0.08454750	-0.00011865	0.00122134	-0.00999455	0.07033153	0.08648924	0.07304417	-0.00068959	-0.00464940	-0.02297262	0.05286695	0.07985561	0.04886046	0.00835009	-0.00290015	-0.02788483
0.016667	0.11169364	0.05261919	0.05169119	-0.00722814	-0.01031772	-0.00893168	0.09017029	0.05680195	0.04527896	-0.00489013	-0.00859942	-0.01762844	0.06969512	0.05859305	0.04017058	-0.00584076	-0.00638469	-0.03753286	0.10791183	0.08924770	0.08442976	-0.00244395	-0.00241556	-0.01401929	0.07037389	0.08646333	0.07275400	-0.00282661	-0.01003530	-0.03309457	0.05301119	0.07982222	0.04850765	0.00853415	-0.00829029	-0.03681827
0.033333	0.11156296	0.05245797	0.05152394	-0.00853799	-0.01685190	-0.01045788	0.09006190	0.05667122	0.04496300	-0.00493651	-0.01758651	-0.02394222	0.06954534	0.05850299	0.03950791	-0.00335736	-0.01228529	-0.04877849	0.10786683	0.08923262	0.08417547	-0.00476925	-0.00605247	-0.01804404	0.07029673	0.08624487	0.07216825	-0.00496363	-0.01542120	-0.04321652	0.05314771	0.07969978	0.04784216	0.00871822	-0.01368044	-0.04575172
0.050000	0.11140667	0.05215620	0.05127781	-0.00836134	-0.01863182	-0.00884620	0.08995324	0.05631914	0.04448984	-0.00419983	-0.01967719	-0.02335694	0.06942666	0.05825144	0.03853035	-0.00020880	-0.01273024	-0.04776137	0.10776262	0.08913705	0.08380578	-0.00543820	-0.00766787	-0.01668195	0.07017870	0.08599196	0.07128140	-0.00224465	-0.01703001	-0.04157184	0.05330785	0.07943555	0.04689046	0.00887072	-0.01418626	-0.04256662
0.066666	0.11123709	0.05171070	0.05113891	-0.00785771	-0.02060422	-0.00895120	0.08989871	0.05583992	0.04398269	-0.00338023	-0.02356984	-0.02470267	0.06950552	0.05792093	0.03757792	0.00253019	-0.01476031	-0.04970639	0.10767238	0.08893126	0.08344244	-0.00624030	-0.00915065	-0.01669164	0.07000568	0.08558426	0.07045730	-0.00088040	-0.01816001	-0.04346649	0.05342338	0.07908316	0.04606520	0.00770775	-0.01599683	-0.04193043
0.083333	0.11109692	0.05125165	0.05101345	-0.00774789	-0.02489368	-0.00600081	0.08987168	0.05531149	0.04352853	-0.00205063	-0.02419526	-0.02384249	0.06965891	0.05759400	0.03665188	0.00481071	-0.01650722	-0.04667763	0.10749950	0.08868293	0.08317108	-0.00644575	-0.00974134	-0.01574485	0.07008675	0.08522319	0.06965415	-0.00067663	-0.01682750	-0.04246654	0.05360074	0.07874193	0.04533713	0.00357918	-0.01730780	-0.03774157
0.100000	0.11098894	0.05092936	0.05096345	-0.00898298	-0.03257394	-0.00240798	0.08982839	0.05496599	0.04325335	-0.00177213	-0.02467206	-0.02387950	0.06977917	0.05744179	0.03605150	0.00572851	-0.01845803	-0.04442909	0.10741362	0.08853521	0.08301299	-0.00887684	-0.01045913	-0.01599460	0.07022524	0.08491775	0.06917769	-0.00080847	-0.01652586	-0.04438075	0.05371924	0.07855767	0.04492280	-0.00112186	-0.01942575	-0.03666460
0.116666	0.11094739	0.05065633	0.05082274	-0.01028065	-0.03930324	-0.00115246	0.08984919	0.05464673	0.04291240	-0.00115041	-0.02591006	-0.02713225	0.06986817	0.05719743	0.03544264	0.00566820	-0.02006198	-0.04491649	0.10733115	0.08843949	0.08282536	-0.01370197	-0.01231608	-0.01727797	0.07027114	0.08481582	0.06854761	0.00016820	-0.01828890	-0.04996793	0.05365587	0.07830478	0.04450246	-0.00442538	-0.02187529	-0.03942489
