Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10841939	0.05028000	0.04948556	-0.00318160	0.00007363	-0.00066212	0.09084882	0.05710850	0.03935003	0.00070963	-0.00173448	-0.00890370	0.06862126	0.05660643	0.03423274	-0.00243065	-0.00774895	-0.00520058	0.10440296	0.08769960	0.08239527	-0.00490049	-0.00601521	0.00056897	0.06776800	0.08465002	0.06817661	-0.00315198	-0.01023956	-0.00662348	0.05342288	0.07846096	0.04288837	-0.00257484	-0.00743508	-0.00425707
0.016667	0.10836776	0.05024786	0.04948227	-0.00205369	0.00013679	-0.00133262	0.09083786	0.05708197	0.03919701	0.00188672	-0.00273721	-0.00742003	0.06856956	0.05649481	0.03413258	-0.00052303	-0.00672958	-0.00683184	0.10432262	0.08760151	0.08241546	-0.00355372	-0.00474820	0.00032857	0.06771756	0.08446098	0.06809022	-0.00104808	-0.00706407	-0.00741433	0.05336744	0.07834553	0.04285162	-0.00086803	-0.00718567	-0.00420762
0.033333	0.10833600	0.05029541	0.04944409	-0.00092578	0.00019996	-0.00200312	0.09088535	0.05703386	0.03906805	0.00306380	-0.00373993	-0.00593635	0.06856965	0.05635977	0.03404935	0.00138458	-0.00571020	-0.00846309	0.10424905	0.08750950	0.08240706	-0.00220695	-0.00348119	0.00008818	0.06768765	0.08434054	0.06794608	0.00105583	-0.00388859	-0.00820517	0.05336833	0.07822699	0.04272881	0.00083877	-0.00693626	-0.00415817
0.050000	0.10831398	0.05029238	0.04942392	0.00017259	-0.00036346	-0.00269213	0.09098655	0.05697264	0.03896988	0.00235428	-0.00412574	-0.00610645	0.06858784	0.05624503	0.03388895	0.00173689	-0.00471080	-0.00878885	0.10422217	0.08745714	0.08240910	-0.00216556	-0.00335147	0.00007495	0.06773081	0.08432589	0.06777685	0.00164170	-0.00397270	-0.00776223	0.05337752	0.07808514	0.04266616	0.00162660	-0.00598850	-0.00390585
0.066666	0.10831753	0.05030717	0.04936985	0.00132625	-0.00103388	-0.00327898	0.09099996	0.05688935	0.03892850	0.00191611	-0.00489539	-0.00502190	0.06867079	0.05620451	0.03372143	0.00189331	-0.00484463	-0.00902837	0.10422567	0.08743888	0.08240421	-0.00142687	-0.00271102	-0.00015397	0.06776134	0.08429534	0.06765759	0.00316033	-0.00302886	-0.00821687	0.05343357	0.07798856	0.04260560	0.00252978	-0.00610842	-0.00414779
0.083333	0.10838144	0.05024891	0.04929952	0.00123509	-0.00231526	-0.00275945	0.09104785	0.05678482	0.03884090	-0.00023376	-0.00558911	-0.00317236	0.06873319	0.05617567	0.03351633	0.00097260	-0.00525315	-0.00876682	0.10421127	0.08740791	0.08241267	-0.00060912	-0.00156031	-0.00054762	0.06787083	0.08428186	0.06754035	0.00415286	-0.00308686	-0.00855911	0.05350447	0.07793213	0.04257245	0.00234012	-0.00629361	-0.00425784
0.100000	0.10843188	0.05021294	0.04922501	0.00034101	-0.00304315	-0.00156023	0.09102754	0.05671164	0.03871271	-0.00176572	-0.00630534	-0.00208362	0.06873562	0.05611542	0.03339088	-0.00052881	-0.00522660	-0.00857332	0.10416491	0.08734400	0.08240592	-0.00020985	-0.00014614	-0.00139952	0.06790273	0.08417781	0.06741703	0.00478709	-0.00275609	-0.00909116	0.05355376	0.07785557	0.04250669	0.00155908	-0.00483627	-0.00481989
0.116666	0.10846401	0.05014626	0.04918070	-0.00077028	-0.00277647	-0.00050955	0.09098068	0.05658917	0.03873204	-0.00146125	-0.00669137	-0.00255113	0.06869334	0.05592407	0.03329759	-0.00210469	-0.00473891	-0.00843478	0.10417072	0.08732774	0.08238566	-0.00052527	0.00088983	-0.00215859	0.06801867	0.08410014	0.06724972	0.00466252	-0.00230641	-0.00946745	0.05357856	0.07769945	0.04238270	0.00082553	-0.00279204	-0.00566293
