Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10775987	0.04899724	0.04875842	0.00015814	-0.00410061	0.00669558	0.08450995	0.04795023	0.04359648	-0.00145272	-0.00353815	0.00690191	0.07021574	0.04985109	0.03037817	0.00324504	0.00408092	-0.00043218	0.10755918	0.08558821	0.08351690	0.00438830	0.00148610	-0.00426216	0.07856762	0.07673092	0.06524053	0.00113968	-0.00689234	-0.00655225	0.05460067	0.06783856	0.03059835	0.00568375	0.00610075	-0.00561056
0.033333	0.10776959	0.04891147	0.04890432	0.00098169	-0.00672500	0.00816412	0.08448904	0.04790530	0.04372774	-0.00215963	-0.00740919	0.00921354	0.07027791	0.04996959	0.03037870	0.00338630	0.00224658	0.00166549	0.10762718	0.08561435	0.08344759	0.00418784	0.00098549	-0.00407407	0.07859407	0.07667246	0.06511966	-0.00008673	-0.00765841	-0.00512349	0.05465525	0.06806404	0.03050687	0.00213147	0.00221574	-0.00238935
0.050000	0.10777568	0.04883340	0.04899568	0.00180525	-0.00934938	0.00963265	0.08445135	0.04778555	0.04385073	-0.00286655	-0.01128022	0.01152516	0.07032075	0.04996215	0.03038801	0.00352757	0.00041224	0.00376316	0.10770152	0.08563410	0.08337561	0.00398738	0.00048489	-0.00388598	0.07858720	0.07647864	0.06503705	-0.00131313	-0.00842448	-0.00369472	0.05473876	0.06798638	0.03046072	-0.00142081	-0.00166927	0.00083185
0.066666	0.10780574	0.04869093	0.04912512	0.00240368	-0.01089570	0.01091093	0.08440547	0.04758188	0.04403262	-0.00314807	-0.01208740	0.01243717	0.07038476	0.04994309	0.03043594	0.00373570	0.00175255	0.00467793	0.10777539	0.08563649	0.08330908	0.00358780	0.00029668	-0.00397192	0.07857066	0.07631948	0.06498669	-0.00168004	-0.00748090	-0.00387693	0.05476419	0.06786405	0.03044933	-0.00512550	0.00160378	0.00278239
0.083333	0.10785209	0.04843232	0.04936925	0.00291188	-0.01224748	0.01099131	0.08433402	0.04729331	0.04431040	-0.00332979	-0.01302966	0.01247662	0.07044393	0.04990394	0.03058763	0.00407582	0.00264452	0.00511405	0.10783063	0.08563215	0.08325631	0.00329056	-0.00019472	-0.00417596	0.07850412	0.07617671	0.06496479	-0.00197404	-0.00736824	-0.00375813	0.05459974	0.06780905	0.03057826	-0.00760616	0.00282896	0.00405239
0.100000	0.10793443	0.04816765	0.04963429	0.00281518	-0.01242214	0.01045065	0.08426902	0.04702090	0.04459178	-0.00315533	-0.01214293	0.01112559	0.07051954	0.04999404	0.03071848	0.00406733	0.00380227	0.00485884	0.10787242	0.08563069	0.08319120	0.00303858	-0.00061244	-0.00420572	0.07845849	0.07611945	0.06490470	-0.00173752	-0.00671676	-0.00392129	0.05433067	0.06795965	0.03072402	-0.00788815	0.00537681	0.00369106
0.116666	0.10799129	0.04793578	0.04981869	0.00226905	-0.01149465	0.00921130	0.08420971	0.04683071	0.04477868	-0.00262459	-0.01029404	0.00894347	0.07059868	0.05011807	0.03080247	0.00372560	0.00423120	0.00403784	0.10791376	0.08561592	0.08310853	0.00292101	-0.00075583	-0.00411751	0.07842860	0.07602526	0.06481076	-0.00123892	-0.00618337	-0.00399911	0.05410374	0.06818848	0.03082197	-0.00602659	0.00662512	0.00214281
