Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10910753	0.04800861	0.04877486	0.00665373	-0.01190328	0.00792238	0.08623053	0.04888313	0.04372806	-0.00083279	-0.01093405	0.00737689	0.07115284	0.04780170	0.03269364	-0.00039179	0.00148533	-0.00083510	0.11059203	0.08708756	0.08172710	-0.00299921	-0.00385062	-0.00154548	0.07971694	0.07596000	0.06402482	-0.00083972	-0.01056672	-0.00364618	0.05728323	0.06659092	0.03129829	-0.01084876	-0.00385364	0.00258720
0.033333	0.10922474	0.04786797	0.04888844	0.00679607	-0.01375107	0.00876795	0.08622199	0.04875793	0.04384778	-0.00064329	-0.01317976	0.00870660	0.07113732	0.04786398	0.03270466	0.00128434	0.00035584	-0.00099667	0.11055392	0.08704651	0.08171144	-0.00332528	-0.00361474	-0.00124746	0.07969733	0.07580083	0.06398831	-0.00110865	-0.00941794	-0.00298643	0.05705037	0.06654294	0.03140665	-0.00545742	-0.00310534	-0.00187755
0.050000	0.10934051	0.04759406	0.04905523	0.00693842	-0.01559886	0.00961352	0.08620209	0.04849702	0.04399453	-0.00045378	-0.01542546	0.01003631	0.07115927	0.04785981	0.03266322	0.00296046	-0.00077365	-0.00115823	0.11048913	0.08696274	0.08168039	-0.00365136	-0.00337885	-0.00094943	0.07967424	0.07562151	0.06390963	-0.00137758	-0.00826917	-0.00232668	0.05697730	0.06648661	0.03133040	-0.00006609	-0.00235704	-0.00634230
0.066666	0.10942271	0.04728046	0.04920856	0.00793918	-0.01312108	0.00949567	0.08618405	0.04817762	0.04415433	-0.00062730	-0.01324536	0.01067106	0.07120732	0.04775313	0.03262846	0.00286904	0.00254321	-0.00029843	0.11041269	0.08688459	0.08165397	-0.00310165	-0.00194718	-0.00031710	0.07966282	0.07545467	0.06386913	-0.00280545	-0.00670682	-0.00072323	0.05704299	0.06638370	0.03117348	-0.00078557	0.00039794	-0.00522352
0.083333	0.10957485	0.04700010	0.04940854	0.00824525	-0.01138133	0.00918826	0.08620677	0.04790334	0.04436669	-0.00143406	-0.01223319	0.01113812	0.07132153	0.04778920	0.03261210	0.00221458	0.00457067	0.00026789	0.11035816	0.08685396	0.08165468	-0.00266620	-0.00056774	0.00010986	0.07964854	0.07539334	0.06383449	-0.00463625	-0.00534190	0.00122272	0.05715273	0.06643286	0.03096970	-0.00021339	0.00272372	-0.00512269
0.100000	0.10973112	0.04686496	0.04955131	0.00831183	-0.00930119	0.00847112	0.08619106	0.04774733	0.04457797	-0.00243672	-0.01069226	0.01106732	0.07137785	0.04790480	0.03265521	0.00080057	0.00687840	0.00096199	0.11032103	0.08687549	0.08167928	-0.00193582	0.00072208	0.00041690	0.07954260	0.07533004	0.06390268	-0.00662162	-0.00440394	0.00277975	0.05715714	0.06650291	0.03090435	-0.00180903	0.00457657	-0.00322746
0.116666	0.10991096	0.04682096	0.04968677	0.00812113	-0.00838497	0.00765433	0.08614176	0.04767393	0.04476925	-0.00353874	-0.01025703	0.01055466	0.07137156	0.04816929	0.03268981	-0.00056237	0.00815354	0.00082678	0.11030859	0.08693546	0.08170245	-0.00140839	0.00103027	0.00043381	0.07939196	0.07530829	0.06399845	-0.00852819	-0.00462769	0.00352451	0.05705092	0.06669161	0.03092796	-0.00365855	0.00491256	-0.00138869
