Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10534073	0.05166593	0.05675060	-0.01179529	0.00011994	-0.00743385	0.08321173	0.05093805	0.05114065	-0.00318953	0.00127243	-0.01111456	0.06785560	0.04742037	0.03968358	-0.00334830	-0.01236727	-0.00121974	0.10600150	0.09395299	0.08583664	0.00005387	-0.00290108	-0.00180733	0.07904044	0.08216023	0.06583465	-0.00448694	0.00539227	-0.00100099	0.05518210	0.06892210	0.03490621	0.00440849	-0.00965808	-0.00020547
0.033333	0.10510662	0.05169822	0.05660120	-0.01299424	0.00105892	-0.00583349	0.08314891	0.05100490	0.05092558	-0.00545005	0.00207313	-0.00945795	0.06781583	0.04717204	0.03968289	-0.00481749	-0.00854455	-0.00091195	0.10601188	0.09392710	0.08582082	0.00030868	-0.00020273	-0.00277744	0.07898536	0.08231485	0.06583085	-0.00569145	0.00821922	-0.00007845	0.05528336	0.06878444	0.03489050	0.00221674	-0.00656965	0.00056070
0.050000	0.10493695	0.05167441	0.05652729	-0.01419319	0.00199790	-0.00423314	0.08308426	0.05098082	0.05079636	-0.00771056	0.00287383	-0.00780135	0.06774027	0.04706475	0.03963066	-0.00628668	-0.00472182	-0.00060417	0.10600386	0.09389006	0.08576961	0.00056349	0.00249562	-0.00374755	0.07887388	0.08238022	0.06581638	-0.00689595	0.01104616	0.00084408	0.05532101	0.06864303	0.03489724	0.00002500	-0.00348122	0.00132686
0.066666	0.10472570	0.05170839	0.05645867	-0.01564792	0.00303579	-0.00442453	0.08294356	0.05100439	0.05068265	-0.00856302	0.00427175	-0.00800495	0.06759279	0.04700409	0.03964161	-0.00478754	-0.00405729	-0.00108377	0.10601313	0.09391603	0.08568477	0.00095141	0.00452099	-0.00329082	0.07875023	0.08251430	0.06580853	-0.00686976	0.01496772	0.00217115	0.05524677	0.06855833	0.03495164	0.00170347	-0.00080973	-0.00006029
0.083333	0.10442796	0.05175921	0.05644297	-0.01617967	0.00384377	-0.00471663	0.08276182	0.05110760	0.05058170	-0.00981722	0.00495557	-0.00795761	0.06747060	0.04701654	0.03962716	-0.00362617	-0.00275555	-0.00157251	0.10602853	0.09404498	0.08560845	0.00131004	0.00595628	-0.00319788	0.07860371	0.08280143	0.06586976	-0.00716332	0.01737542	0.00327529	0.05524671	0.06860767	0.03497893	0.00181260	0.00133340	-0.00124718
0.100000	0.10407524	0.05189149	0.05635781	-0.01571352	0.00378132	-0.00550013	0.08254687	0.05126465	0.05044562	-0.01028140	0.00504749	-0.00842791	0.06741434	0.04698500	0.03962891	-0.00195340	-0.00345466	-0.00193818	0.10606790	0.09423807	0.08556625	0.00145130	0.00542378	-0.00261777	0.07849560	0.08327399	0.06595950	-0.00716600	0.01757051	0.00416947	0.05529493	0.06873125	0.03494773	0.00223855	0.00146967	-0.00243454
0.116666	0.10378648	0.05197124	0.05624828	-0.01390798	0.00282369	-0.00622627	0.08238421	0.05137439	0.05028565	-0.00998043	0.00378424	-0.00835908	0.06746125	0.04693049	0.03955510	-0.00027873	-0.00535658	-0.00197357	0.10610297	0.09437499	0.08554015	0.00117541	0.00308686	-0.00188713	0.07838247	0.08365919	0.06606352	-0.00724773	0.01528340	0.00493171	0.05543201	0.06882150	0.03483771	0.00288672	-0.00070151	-0.00294018
