Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.10853051	0.05053696	0.03982212	-0.00076663	0.00467490	-0.00218143	0.09014115	0.05588895	0.03559753	0.00095971	0.02072156	0.01958700	0.07706562	0.05278698	0.02609496	-0.00210912	0.01657696	0.03280699	0.10790657	0.07572784	0.07676418	-0.01169157	-0.02152031	-0.00676445	0.07695841	0.07543883	0.05997523	-0.04076374	0.01993955	0.03265286	0.05483154	0.06570241	0.02474223	-0.00636629	0.01039885	0.01300523
0.033333	0.10850314	0.05060171	0.03981370	-0.00046760	0.00522306	-0.00314267	0.09013475	0.05621055	0.03595500	0.00197143	0.02075356	0.01715995	0.07699496	0.05307325	0.02663933	-0.00288942	0.01705098	0.03066068	0.10770034	0.07540115	0.07670332	-0.00892531	-0.02052546	-0.00856992	0.07627369	0.07584117	0.06049469	-0.03817983	0.01445336	0.03333250	0.05470375	0.06587840	0.02496141	-0.00735420	0.01068373	0.01489420
0.050000	0.10850859	0.05070280	0.03973225	-0.00016857	0.00577122	-0.00410391	0.09019330	0.05657502	0.03621171	0.00298315	0.02078556	0.01473289	0.07700282	0.05332428	0.02716092	-0.00366972	0.01752501	0.02851437	0.10753496	0.07500082	0.07651398	-0.00615905	-0.01953062	-0.01037539	0.07566267	0.07600141	0.06106860	-0.03559592	0.00896718	0.03401215	0.05462565	0.06603416	0.02519605	-0.00834211	0.01096860	0.01678317
0.066666	0.10851022	0.05077176	0.03966260	-0.00041478	0.00529714	-0.00328425	0.09023555	0.05690693	0.03644979	0.00366756	0.01871619	0.01479715	0.07692230	0.05360756	0.02764257	-0.00331344	0.01614782	0.02781728	0.10748361	0.07466941	0.07630988	-0.00567785	-0.02001409	-0.00874452	0.07501152	0.07606468	0.06167907	-0.03031154	0.00567927	0.03293058	0.05445915	0.06619479	0.02549624	-0.00782290	0.00898030	0.01801010
0.083333	0.10852214	0.05094209	0.03955614	-0.00007182	0.00378172	-0.00172806	0.09032959	0.05732220	0.03663358	0.00497541	0.01531568	0.01522039	0.07686082	0.05398463	0.02804710	-0.00215375	0.01356125	0.02787902	0.10741976	0.07441907	0.07610123	-0.00251778	-0.02136228	-0.00731792	0.07452247	0.07625695	0.06221394	-0.02266051	-0.00289602	0.03322164	0.05431192	0.06648289	0.02579755	-0.00709242	0.00470763	0.02111917
0.100000	0.10848844	0.05098807	0.03953824	0.00063498	0.00184712	0.00113070	0.09038071	0.05752559	0.03686689	0.00619734	0.01150341	0.01784760	0.07673956	0.05419614	0.02845446	-0.00055179	0.01078597	0.02962271	0.10736354	0.07410406	0.07601748	0.00100501	-0.02214072	-0.00449104	0.07415202	0.07616548	0.06274318	-0.01439678	-0.01009018	0.03407434	0.05414338	0.06654150	0.02617013	-0.00585851	-0.00071265	0.02531528
0.116666	0.10848834	0.05100731	0.03957436	0.00146017	0.00022149	0.00395000	0.09051856	0.05765812	0.03717228	0.00703319	0.00821560	0.02068416	0.07679037	0.05432410	0.02894089	0.00113566	0.00849651	0.03157789	0.10734953	0.07366867	0.07600114	0.00442827	-0.02194473	-0.00185043	0.07408770	0.07595769	0.06324144	-0.00682685	-0.01560791	0.03490911	0.05409808	0.06647784	0.02657673	-0.00456080	-0.00586426	0.02929727
