Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11055548	0.05076095	0.04162038	0.00220806	0.00820554	0.00804347	0.09123009	0.05535761	0.03742296	0.01260438	0.00512647	0.02825480	0.07532352	0.05000084	0.02954379	0.01063705	-0.00073966	0.03997723	0.10790415	0.07692344	0.07777653	0.00018004	-0.02099809	0.01264473	0.07581818	0.07417266	0.06255057	0.00496576	-0.00881329	0.03873181	0.05650467	0.06305547	0.02580004	0.00461845	-0.01580591	0.03865856
0.016667	0.11059549	0.05087077	0.04172456	0.00282862	0.01008626	0.01111322	0.09143018	0.05539035	0.03785734	0.01061444	0.00765863	0.03179794	0.07551561	0.04993797	0.03015677	0.00775094	0.00237768	0.04379109	0.10789601	0.07653206	0.07800125	0.00310422	-0.01517041	0.01264354	0.07594316	0.07398473	0.06314818	0.00289859	-0.00798944	0.04409055	0.05662461	0.06276474	0.02639658	0.00093934	-0.01338964	0.04370241
0.033333	0.11063409	0.05105627	0.04191507	0.00344919	0.01196698	0.01418296	0.09161393	0.05556020	0.03839344	0.00862449	0.01019080	0.03534108	0.07563030	0.05002448	0.03090991	0.00486484	0.00549501	0.04760496	0.10794497	0.07629353	0.07819133	0.00602840	-0.00934273	0.01264234	0.07595415	0.07390437	0.06388309	0.00083141	-0.00716559	0.04944929	0.05660472	0.06257042	0.02713135	-0.00273978	-0.01097337	0.04874627
0.050000	0.11069040	0.05129068	0.04219477	0.00403581	0.01119542	0.01374094	0.09176780	0.05578917	0.03903991	0.00708646	0.00896182	0.03443944	0.07568417	0.05015563	0.03176274	0.00370750	0.00478279	0.04636470	0.10807309	0.07621277	0.07838514	0.00689032	-0.00839144	0.01260684	0.07591549	0.07382422	0.06478381	0.00173815	-0.00731099	0.04771375	0.05650118	0.06242001	0.02801004	-0.00277306	-0.01049957	0.04771568
0.066666	0.11077339	0.05150710	0.04249933	0.00515105	0.01113579	0.01461478	0.09187751	0.05596716	0.03970078	0.00608685	0.00893913	0.03484870	0.07575585	0.05028154	0.03264422	0.00218709	0.00475319	0.04653126	0.10821988	0.07612706	0.07863563	0.00905912	-0.00502849	0.01214822	0.07594302	0.07364575	0.06573561	0.00209791	-0.00637932	0.04744716	0.05644474	0.06223514	0.02894588	-0.00388380	-0.00899622	0.04829146
0.083333	0.11085733	0.05169529	0.04272592	0.00639575	0.01057320	0.01518243	0.09188318	0.05609510	0.04026415	0.00653318	0.00764224	0.03449811	0.07571032	0.05037524	0.03337459	0.00278005	0.00300101	0.04599189	0.10840568	0.07609511	0.07884073	0.01064666	-0.00371968	0.01277489	0.07597084	0.07353177	0.06651405	0.00465492	-0.00617752	0.04614726	0.05633331	0.06212649	0.02972930	-0.00240195	-0.00861097	0.04801045
0.100000	0.11097782	0.05180949	0.04292770	0.00731613	0.01090849	0.01693479	0.09197519	0.05615921	0.04077077	0.00770479	0.00722217	0.03550456	0.07574951	0.05036072	0.03406898	0.00387350	0.00195161	0.04745264	0.10856399	0.07599506	0.07903235	0.01252965	-0.00227236	0.01444830	0.07608263	0.07342628	0.06714734	0.00786606	-0.00455974	0.04644874	0.05632758	0.06195795	0.03043652	-0.00061581	-0.00741183	0.04945383
0.116666	0.11111360	0.05196665	0.04314747	0.00821318	0.01253478	0.02068945	0.09211828	0.05625871	0.04127844	0.00939347	0.00827063	0.03911006	0.07580741	0.05035987	0.03474654	0.00521375	0.00222155	0.05245574	0.10877814	0.07595394	0.07921043	0.01482057	0.00017159	0.01746889	0.07621280	0.07339102	0.06777661	0.01092990	-0.00124250	0.04990046	0.05630909	0.06185851	0.03112978	0.00050014	-0.00524106	0.05432029
