Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11013668	0.05114254	0.04369953	0.00251365	-0.00942212	-0.00664274	0.09260359	0.05985584	0.04524338	-0.00669385	-0.01154440	-0.01604867	0.07818066	0.05528931	0.04001361	-0.00192047	-0.02730097	-0.01647777	0.11048388	0.06991705	0.07900652	0.00332726	0.00005756	0.00199557	0.07638845	0.07425722	0.07467999	-0.00026461	-0.01241126	-0.01838289	0.05466775	0.06498262	0.03784056	-0.00284667	-0.02078750	-0.02179892
0.016667	0.11019076	0.05098614	0.04358519	0.00072688	-0.00799357	-0.00625516	0.09252553	0.05966005	0.04497243	-0.00579203	-0.00954378	-0.01732926	0.07818358	0.05482419	0.03972548	-0.00287646	-0.02289543	-0.01808677	0.11053687	0.06992135	0.07904648	0.00223809	0.00152171	0.00127562	0.07641509	0.07402774	0.07437622	-0.00156664	-0.01049888	-0.02045818	0.05466079	0.06462193	0.03746292	-0.00320481	-0.01826994	-0.02272399
0.033333	0.11020094	0.05085042	0.04348614	-0.00105989	-0.00656503	-0.00586758	0.09239427	0.05950236	0.04470678	-0.00489021	-0.00754317	-0.01860986	0.07810529	0.05444397	0.03945486	-0.00383245	-0.01848988	-0.01969576	0.11058108	0.06993458	0.07906640	0.00114892	0.00298587	0.00055567	0.07636707	0.07387034	0.07405820	-0.00286867	-0.00858649	-0.02253348	0.05456745	0.06432575	0.03712252	-0.00356294	-0.01575238	-0.02364906
0.050000	0.11016532	0.05074090	0.04337804	-0.00137766	-0.00575522	-0.00611926	0.09227844	0.05936889	0.04435694	-0.00308384	-0.00656857	-0.01871241	0.07800905	0.05413018	0.03909456	-0.00235354	-0.01600153	-0.02105233	0.11060555	0.07000211	0.07906459	0.00018306	0.00344431	0.00026625	0.07627634	0.07374797	0.07361824	-0.00179150	-0.00851679	-0.02298204	0.05447415	0.06405893	0.03668102	-0.00190320	-0.01494965	-0.02382415
0.066666	0.11011083	0.05066046	0.04330621	-0.00215621	-0.00508735	-0.00791907	0.09225079	0.05930146	0.04404915	-0.00201692	-0.00614154	-0.02116441	0.07794529	0.05394298	0.03876509	-0.00116982	-0.01342716	-0.02526612	0.11058502	0.07006375	0.07906123	-0.00174236	0.00401126	-0.00123229	0.07623418	0.07363304	0.07325761	-0.00184663	-0.00824321	-0.02686407	0.05443451	0.06387886	0.03630847	-0.00083559	-0.01446745	-0.02699364
0.083333	0.11006620	0.05061930	0.04319984	-0.00235931	-0.00532117	-0.01081998	0.09229175	0.05925025	0.04370231	-0.00189067	-0.00674448	-0.02472306	0.07795119	0.05379836	0.03833139	-0.00027057	-0.01299670	-0.03025110	0.11055267	0.07017639	0.07905852	-0.00382887	0.00424644	-0.00344080	0.07622730	0.07351004	0.07281639	-0.00238393	-0.00864349	-0.03150975	0.05447005	0.06366897	0.03586747	-0.00053453	-0.01462193	-0.03179559
0.100000	0.11002727	0.05054298	0.04302683	-0.00248325	-0.00564389	-0.01420526	0.09230682	0.05915350	0.04334424	-0.00317724	-0.00745827	-0.02879564	0.07801969	0.05363891	0.03783607	-0.00080590	-0.01314621	-0.03550894	0.11047800	0.07023513	0.07901180	-0.00549125	0.00548704	-0.00648740	0.07625785	0.07335360	0.07233766	-0.00433305	-0.00766571	-0.03704924	0.05453137	0.06343109	0.03539820	-0.00169542	-0.01393976	-0.03748614
0.116666	0.11001682	0.05042556	0.04269559	-0.00288376	-0.00568631	-0.01667652	0.09225088	0.05896115	0.04277666	-0.00485489	-0.00791648	-0.03207350	0.07806407	0.05334348	0.03710860	-0.00185062	-0.01285901	-0.03980584	0.11034469	0.07028501	0.07887521	-0.00708128	0.00705062	-0.00898953	0.07619987	0.07316016	0.07159206	-0.00673841	-0.00573321	-0.04198419	0.05453629	0.06309281	0.03464311	-0.00277301	-0.01247694	-0.04255204
