Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11556494	0.02976677	0.09173253	0.00204303	-0.00017919	0.00025801	0.10201812	0.01288753	0.09038451	0.00027560	0.00225744	0.00329034	0.09090099	-0.00337518	0.08563866	0.00623441	-0.00362099	0.00174020	0.09472026	0.04650301	0.13648601	-0.00261781	-0.00762475	-0.00040308	0.06346326	0.00919278	0.12273113	0.00742602	-0.00635187	-0.00128214	0.06202232	-0.00958216	0.08368627	-0.00423183	-0.00314155	-0.00006560
0.016667	0.11560746	0.02976171	0.09173127	0.00228033	0.00019429	0.00048101	0.10202490	0.01291549	0.09043818	0.00039630	0.00197034	0.00324772	0.09102374	-0.00344061	0.08565849	0.00577527	-0.00341797	0.00176222	0.09469308	0.04637252	0.13646960	-0.00184268	-0.00770412	0.00007018	0.06359971	0.00907308	0.12270769	0.00805001	-0.00597020	-0.00102528	0.06195697	-0.00964380	0.08368157	-0.00320928	-0.00411480	0.00005297
0.033333	0.11564061	0.02976289	0.09174357	0.00251764	0.00056777	0.00070401	0.10203073	0.01295295	0.09049005	0.00051700	0.00168324	0.00320510	0.09110572	-0.00349167	0.08569370	0.00531612	-0.00321495	0.00178423	0.09464588	0.04624477	0.13647446	-0.00106756	-0.00778348	0.00054345	0.06371490	0.00898411	0.12268971	0.00867400	-0.00558853	-0.00076842	0.06189790	-0.00969868	0.08368609	-0.00218672	-0.00508806	0.00017155
0.050000	0.11567859	0.02977705	0.09176048	0.00329455	0.00056398	0.00053652	0.10203335	0.01299959	0.09054703	0.00084564	0.00071951	0.00265830	0.09117375	-0.00354658	0.08573485	0.00569644	-0.00317442	0.00120987	0.09460616	0.04612316	0.13650246	0.00025615	-0.00773327	0.00027955	0.06386279	0.00891102	0.12268372	0.00884052	-0.00599249	-0.00083965	0.06184839	-0.00977799	0.08368900	-0.00117774	-0.00571179	0.00004929
0.066666	0.11571313	0.02979782	0.09177496	0.00391753	0.00073591	0.00050061	0.10204951	0.01301047	0.09060404	0.00102066	-0.00008071	0.00197095	0.09126324	-0.00359152	0.08576130	0.00491409	-0.00287109	0.00092924	0.09462880	0.04598760	0.13650921	0.00136044	-0.00701102	0.00042781	0.06401737	0.00880786	0.12267247	0.00835396	-0.00542283	-0.00066839	0.06185117	-0.00989397	0.08369722	-0.00012485	-0.00592334	-0.00008047
0.083333	0.11581228	0.02980657	0.09177812	0.00403849	0.00086722	0.00052680	0.10207451	0.01298150	0.09063182	0.00107851	-0.00073414	0.00140671	0.09138487	-0.00364717	0.08575527	0.00396238	-0.00229248	0.00062667	0.09469102	0.04584653	0.13650377	0.00213289	-0.00597340	0.00032373	0.06420234	0.00869521	0.12265965	0.00699325	-0.00455686	-0.00037309	0.06187615	-0.01003259	0.08369281	0.00057236	-0.00550161	-0.00014085
0.100000	0.11590578	0.02981853	0.09177707	0.00369461	0.00093525	0.00068810	0.10210641	0.01294366	0.09062997	0.00115373	-0.00108128	0.00097528	0.09146594	-0.00369169	0.08574825	0.00269880	-0.00165611	0.00061967	0.09476060	0.04575566	0.13650464	0.00229728	-0.00524253	0.00031032	0.06431647	0.00859155	0.12264408	0.00587160	-0.00361268	0.00041347	0.06190662	-0.01013384	0.08368271	0.00088219	-0.00503680	-0.00000328
0.116666	0.11598281	0.02982799	0.09178313	0.00301765	0.00090994	0.00088118	0.10211652	0.01291573	0.09062929	0.00111271	-0.00094965	0.00073273	0.09147508	-0.00371232	0.08575984	0.00127897	-0.00091385	0.00096161	0.09479595	0.04570074	0.13650650	0.00247967	-0.00509463	0.00049129	0.06437075	0.00857069	0.12264662	0.00576372	-0.00297285	0.00161015	0.06191863	-0.01018136	0.08367357	0.00078202	-0.00568421	0.00035077
