Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11669172	0.03175114	0.09167314	-0.00269250	-0.00867493	0.00075408	0.10262020	0.01450866	0.09117334	-0.00058111	-0.00524039	-0.00752754	0.09175472	-0.00254579	0.08660252	0.00067447	-0.00111704	-0.01246949	0.09773850	0.04131716	0.13674428	0.00009369	-0.00271916	-0.00518153	0.07162876	0.00209562	0.12375806	-0.00945948	-0.00227193	-0.02009586	0.06362606	-0.00706210	0.08182084	-0.00723659	-0.00218064	-0.00504343
0.016667	0.11665200	0.03160679	0.09168424	-0.00244931	-0.00797726	0.00083350	0.10261536	0.01441672	0.09104381	-0.00010729	-0.00424707	-0.00686000	0.09176922	-0.00256562	0.08639142	0.00086479	-0.00161456	-0.01162295	0.09774711	0.04128368	0.13664727	-0.00218109	-0.00477770	-0.00345023	0.07148405	0.00206864	0.12341645	-0.00914950	-0.00532133	-0.01839891	0.06351361	-0.00710134	0.08173827	-0.00655959	-0.00188823	-0.00425869
0.033333	0.11660608	0.03147763	0.09169807	-0.00220613	-0.00727958	0.00091292	0.10260472	0.01434862	0.09093277	0.00036653	-0.00325376	-0.00619246	0.09177945	-0.00258325	0.08620218	0.00105512	-0.00211208	-0.01077641	0.09771782	0.04120860	0.13659497	-0.00445587	-0.00683625	-0.00171893	0.07132497	0.00198139	0.12312144	-0.00883952	-0.00837074	-0.01670196	0.06339159	-0.00713102	0.08166344	-0.00588259	-0.00159581	-0.00347396
0.050000	0.11656302	0.03134288	0.09171771	-0.00180316	-0.00618933	0.00077285	0.10261429	0.01429808	0.09083756	0.00069306	-0.00251137	-0.00558904	0.09179089	-0.00263263	0.08602752	0.00152112	-0.00164913	-0.00979580	0.09762476	0.04106554	0.13657707	-0.00461249	-0.00661515	-0.00089974	0.07116052	0.00183528	0.12284511	-0.00677465	-0.00960613	-0.01463527	0.06329593	-0.00715369	0.08160732	-0.00518138	-0.00154438	-0.00274410
0.066666	0.11653756	0.03124772	0.09173144	-0.00111238	-0.00440393	0.00052288	0.10262854	0.01426337	0.09073591	0.00108224	-0.00120162	-0.00473296	0.09182345	-0.00267074	0.08585183	0.00222267	-0.00055674	-0.00838540	0.09750082	0.04091453	0.13658279	-0.00457222	-0.00687140	0.00058256	0.07102060	0.00161030	0.12258278	-0.00402661	-0.01111752	-0.01148973	0.06320987	-0.00717707	0.08156458	-0.00384709	-0.00098643	-0.00187159
0.083333	0.11652755	0.03118126	0.09174138	-0.00004597	-0.00235358	0.00000216	0.10266237	0.01425044	0.09066678	0.00149251	0.00007689	-0.00462895	0.09185824	-0.00270194	0.08572828	0.00271243	0.00120356	-0.00764019	0.09738512	0.04078477	0.13660428	-0.00324385	-0.00592538	0.00094816	0.07097187	0.00139056	0.12242079	-0.00122175	-0.01033220	-0.00944879	0.06316298	-0.00719715	0.08155047	-0.00219495	0.00016018	-0.00209303
0.100000	0.11652330	0.03116185	0.09174106	0.00098020	-0.00023445	-0.00067290	0.10268972	0.01426777	0.09062194	0.00196789	0.00123878	-0.00486242	0.09192437	-0.00266628	0.08564066	0.00298613	0.00332654	-0.00727396	0.09734537	0.04071306	0.13664576	-0.00151259	-0.00394078	0.00053160	0.07103117	0.00117860	0.12233543	0.00080683	-0.00759283	-0.00806394	0.06312758	-0.00721169	0.08155093	-0.00074011	0.00173547	-0.00307595
0.116666	0.11655837	0.03119629	0.09172179	0.00220519	0.00129806	-0.00138619	0.10271163	0.01429764	0.09054935	0.00289311	0.00201839	-0.00509998	0.09199042	-0.00255821	0.08554123	0.00345753	0.00493039	-0.00684700	0.09738760	0.04066227	0.13666871	0.00023153	-0.00159814	-0.00029706	0.07110839	0.00107330	0.12226482	0.00282330	-0.00417906	-0.00713292	0.06314453	-0.00716996	0.08151353	0.00085216	0.00331803	-0.00427676
