Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14464597	0.05112215	0.08957684	-0.00264288	-0.00152419	-0.00114304	0.12917511	0.04518150	0.07642132	-0.00035852	0.00206976	-0.00082594	0.11837312	0.03698315	0.07320157	0.00077993	0.00680365	-0.00399714	0.12419499	0.06070764	0.12938774	0.00180268	-0.00223515	-0.00386724	0.09573175	0.04325242	0.11066734	-0.00129995	0.00120197	-0.00346975	0.09447227	0.03386575	0.07915476	-0.00152033	-0.00143353	-0.00216816	0.17034064	0.12009145	0.11077037	-0.00015289	-0.00718097	0.00234053
0.016667	0.14459801	0.05109183	0.08956352	-0.00286103	-0.00209873	-0.00116364	0.12917130	0.04521339	0.07640970	-0.00042916	0.00217450	-0.00075929	0.11838472	0.03709781	0.07313590	0.00041016	0.00535986	-0.00275822	0.12421944	0.06067060	0.12932564	0.00233979	-0.00224915	-0.00378506	0.09570672	0.04326940	0.11061013	-0.00112743	0.00096728	-0.00293524	0.09445058	0.03385431	0.07911644	-0.00171886	-0.00225664	-0.00181363	0.17033197	0.11997131	0.11080401	0.00002101	-0.00690493	0.00177317
0.033333	0.14455415	0.05106166	0.08953973	-0.00307919	-0.00267326	-0.00118424	0.12916169	0.04525167	0.07639532	-0.00049979	0.00227923	-0.00069265	0.11839043	0.03719451	0.07308399	0.00004038	0.00391606	-0.00151929	0.12426246	0.06063051	0.12926090	0.00287690	-0.00226316	-0.00370288	0.09568947	0.04328800	0.11055993	-0.00095491	0.00073258	-0.00240074	0.09441625	0.03380667	0.07908873	-0.00191738	-0.00307975	-0.00145909	0.17033862	0.11985474	0.11084239	0.00019491	-0.00662888	0.00120581
0.050000	0.14450863	0.05102846	0.08950947	-0.00334734	-0.00321753	-0.00107475	0.12915519	0.04529571	0.07637994	-0.00059702	0.00241253	-0.00055976	0.11840111	0.03725098	0.07305984	-0.00072934	0.00366274	-0.00077539	0.12431401	0.06059893	0.12919645	0.00283455	-0.00244747	-0.00349806	0.09567840	0.04330665	0.11051743	-0.00125770	0.00056193	-0.00197527	0.09438906	0.03374962	0.07906327	-0.00230857	-0.00286193	-0.00131291	0.17034474	0.11974584	0.11086453	0.00000656	-0.00662009	0.00078731
0.066666	0.14444625	0.05095687	0.08950066	-0.00350335	-0.00332260	-0.00142813	0.12914075	0.04532764	0.07637379	-0.00084520	0.00292872	-0.00064839	0.11838458	0.03728260	0.07306683	-0.00168082	0.00341497	0.00013791	0.12437404	0.06055564	0.12913711	0.00270692	-0.00265221	-0.00334622	0.09566449	0.04330686	0.11049268	-0.00176255	0.00063099	-0.00148841	0.09434674	0.03367630	0.07904831	-0.00272793	-0.00253582	-0.00131470	0.17035078	0.11964309	0.11086608	-0.00021845	-0.00653586	0.00036407
0.083333	0.14437591	0.05087698	0.08949084	-0.00346118	-0.00312931	-0.00192364	0.12913372	0.04537068	0.07637046	-0.00111439	0.00346699	-0.00092343	0.11835074	0.03731135	0.07309238	-0.00260242	0.00385049	0.00039138	0.12442508	0.06051125	0.12908904	0.00218877	-0.00311592	-0.00316226	0.09563772	0.04330283	0.11047983	-0.00243583	0.00055941	-0.00127726	0.09430563	0.03363349	0.07903504	-0.00290730	-0.00184339	-0.00164338	0.17034401	0.11953720	0.11085517	-0.00062734	-0.00651545	0.00022978
0.100000	0.14431313	0.05081118	0.08946040	-0.00302912	-0.00270019	-0.00247789	0.12910990	0.04543463	0.07636213	-0.00123032	0.00391317	-0.00129786	0.11828076	0.03738531	0.07311615	-0.00320082	0.00452779	0.00006061	0.12445735	0.06045738	0.12904066	0.00164658	-0.00374250	-0.00283056	0.09558523	0.04331746	0.11046863	-0.00285567	0.00019832	-0.00129380	0.09423215	0.03361567	0.07901266	-0.00270666	-0.00124548	-0.00205454	0.17032740	0.11942288	0.11085167	-0.00093520	-0.00648121	0.00042688
0.116666	0.14426084	0.05079683	0.08940045	-0.00229933	-0.00218804	-0.00293066	0.12908179	0.04551973	0.07632997	-0.00118912	0.00412842	-0.00166193	0.11821532	0.03749185	0.07311118	-0.00332994	0.00502879	-0.00049856	0.12446696	0.06039551	0.12898917	0.00140090	-0.00447273	-0.00248225	0.09551384	0.04334182	0.11044692	-0.00267056	-0.00055406	-0.00139092	0.09418622	0.03363076	0.07896563	-0.00220069	-0.00111327	-0.00243642	0.17030297	0.11931265	0.11086273	-0.00084512	-0.00649436	0.00093628
