Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14577517	0.05422499	0.08799396	-0.00077218	-0.00021722	-0.00574274	0.12997882	0.04645187	0.07598057	0.00615830	-0.00675074	-0.00553465	0.11914134	0.03915869	0.07433990	0.00758420	-0.00403087	-0.00865321	0.12654653	0.06588206	0.12755315	0.00284993	-0.00003554	-0.00157923	0.10119239	0.04472509	0.11177294	-0.00032272	-0.00659748	-0.00197721	0.09604676	0.03558467	0.08006618	0.00650330	-0.00274642	-0.00383248	0.17041731	0.12622485	0.10473865	0.00157007	-0.00173860	-0.00191902
0.016667	0.14575319	0.05420942	0.08790443	-0.00236035	-0.00108350	-0.00454994	0.13006184	0.04633901	0.07589144	0.00320615	-0.00782560	-0.00262187	0.11924876	0.03909875	0.07420667	0.00390129	-0.00381825	-0.00649254	0.12658787	0.06587824	0.12752509	0.00272201	-0.00055477	-0.00245825	0.10118447	0.04462221	0.11173435	-0.00032075	-0.00667783	-0.00269496	0.09611955	0.03551799	0.07999174	0.00527838	-0.00557633	-0.00306198	0.17044044	0.12620044	0.10470731	0.00151545	-0.00119627	-0.00173853
0.033333	0.14572491	0.05420180	0.08782605	-0.00394853	-0.00194979	-0.00335713	0.13013978	0.04621344	0.07584359	0.00025399	-0.00890046	0.00029091	0.11934032	0.03902742	0.07408883	0.00021838	-0.00360563	-0.00433186	0.12664032	0.06587382	0.12748976	0.00259408	-0.00107401	-0.00333728	0.10118085	0.04450654	0.11169880	-0.00031877	-0.00675819	-0.00341271	0.09623712	0.03545069	0.07995421	0.00405347	-0.00840624	-0.00229147	0.17046869	0.12617736	0.10467683	0.00146084	-0.00065394	-0.00155803
0.050000	0.14567511	0.05419265	0.08774948	-0.00536153	-0.00297160	-0.00170090	0.13017032	0.04605919	0.07583056	-0.00275330	-0.00832270	0.00304883	0.11937520	0.03896168	0.07399005	-0.00342356	-0.00107855	-0.00158802	0.12668785	0.06586236	0.12743467	0.00235484	-0.00171085	-0.00389645	0.10118198	0.04438442	0.11164718	-0.00049912	-0.00621161	-0.00411084	0.09635827	0.03533642	0.07992215	0.00065789	-0.01093735	-0.00230283	0.17049643	0.12615585	0.10465234	0.00125006	0.00023276	-0.00094679
0.066666	0.14555411	0.05411551	0.08773760	-0.00649194	-0.00308399	0.00016328	0.13007770	0.04589160	0.07591970	-0.00603157	-0.00586017	0.00657688	0.11925129	0.03891054	0.07399200	-0.00780720	0.00535237	0.00158512	0.12672374	0.06582139	0.12735339	0.00225411	-0.00236467	-0.00473144	0.10116880	0.04427422	0.11156225	-0.00063602	-0.00543461	-0.00518108	0.09635182	0.03510417	0.07988628	-0.00311737	-0.01285176	-0.00276570	0.17051624	0.12616636	0.10462835	0.00117682	0.00145995	0.00056397
0.083333	0.14539500	0.05401544	0.08777390	-0.00659059	-0.00246382	0.00177135	0.12989202	0.04572801	0.07608759	-0.00821199	-0.00134294	0.00905838	0.11903745	0.03893586	0.07407258	-0.01122949	0.01448814	0.00373093	0.12674843	0.06577303	0.12726036	0.00221335	-0.00264493	-0.00533948	0.10115653	0.04418995	0.11146490	-0.00097935	-0.00435043	-0.00621262	0.09623418	0.03478729	0.07986578	-0.00730193	-0.01283811	-0.00436420	0.17052962	0.12620364	0.10462516	0.00155219	0.00267313	0.00253522
0.100000	0.14524972	0.05394492	0.08784581	-0.00525849	-0.00161816	0.00303620	0.12968753	0.04572662	0.07630538	-0.00855323	0.00397039	0.01041819	0.11876954	0.03923941	0.07421680	-0.01284675	0.02384354	0.00464017	0.12678152	0.06570236	0.12716417	0.00291073	-0.00310530	-0.00541697	0.10113722	0.04412936	0.11134955	-0.00103135	-0.00370640	-0.00685508	0.09602723	0.03451219	0.07979345	-0.01025051	-0.01178478	-0.00590517	0.17054050	0.12626854	0.10468490	0.00270576	0.00355774	0.00493737
0.116666	0.14517395	0.05397096	0.08790588	-0.00216515	-0.00114866	0.00366604	0.12953757	0.04590103	0.07650181	-0.00667903	0.00896180	0.01065575	0.11854275	0.03984839	0.07431838	-0.01239424	0.03180673	0.00440566	0.12682639	0.06566264	0.12706807	0.00478597	-0.00457166	-0.00474954	0.10111899	0.04409942	0.11122116	0.00007231	-0.00427868	-0.00711410	0.09580356	0.03436078	0.07966594	-0.01086984	-0.01036840	-0.00703297	0.17057717	0.12635224	0.10480709	0.00473777	0.00391030	0.00788897
