Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.15058948	0.10479569	0.09641146	-0.00245363	-0.00152313	0.00350078	0.13950020	0.10566396	0.07996973	0.00061482	-0.00458451	0.01140946	0.13081676	0.10359721	0.07147350	-0.00427047	0.00820182	0.01218439	0.12432078	0.10129309	0.12904859	0.00793158	0.00406304	0.00558550	0.10586549	0.08941926	0.10034211	-0.01473045	0.01312291	0.01247508	0.11063800	0.09492396	0.07211252	-0.00926036	0.01168282	0.01157262	0.16683909	0.16552617	0.13821587	0.00074514	-0.00012271	-0.00208103
0.016667	0.15054610	0.10476485	0.09648284	-0.00416593	-0.00206687	0.00436151	0.13950484	0.10557806	0.08017200	-0.00159771	-0.00638391	0.01175371	0.13074073	0.10371071	0.07168496	-0.00667470	0.00600035	0.01267684	0.12444615	0.10136601	0.12915847	0.00673707	0.00312322	0.00469120	0.10561838	0.08962177	0.10057151	-0.01442654	0.00916582	0.01149443	0.11049195	0.09510172	0.07232628	-0.01162988	0.00755693	0.01148951	0.16685230	0.16552308	0.13818608	-0.00029683	0.00004202	-0.00094638
0.033333	0.15048335	0.10473554	0.09654295	-0.00587823	-0.00261062	0.00522224	0.13948864	0.10548639	0.08035985	-0.00381024	-0.00818330	0.01209797	0.13063881	0.10384041	0.07189075	-0.00907894	0.00379888	0.01316929	0.12456591	0.10141472	0.12922937	0.00554255	0.00218340	0.00379691	0.10536849	0.08979979	0.10075715	-0.01412263	0.00520872	0.01051378	0.11029864	0.09526002	0.07250208	-0.01399940	0.00343104	0.01140640	0.16684960	0.16552648	0.13815913	-0.00133880	0.00020675	0.00018828
0.050000	0.15038966	0.10470022	0.09661485	-0.00713791	-0.00296542	0.00653165	0.13943572	0.10536416	0.08054250	-0.00560144	-0.00923388	0.01309050	0.13049689	0.10392974	0.07209639	-0.01096961	0.00183002	0.01407465	0.12466665	0.10144396	0.12926808	0.00391310	0.00173223	0.00466252	0.10515928	0.08991686	0.10088404	-0.01481632	0.00201800	0.01177204	0.11005895	0.09533094	0.07266070	-0.01507001	0.00066672	0.01247944	0.16682158	0.16552363	0.13816622	-0.00223898	0.00046753	0.00106313
0.066666	0.15024449	0.10463765	0.09673212	-0.00846352	-0.00248102	0.00761296	0.13930529	0.10516326	0.08076352	-0.00763717	-0.00947874	0.01353638	0.13027816	0.10390799	0.07233469	-0.01305958	0.00031978	0.01462175	0.12472723	0.10146825	0.12932025	0.00166324	0.00123058	0.00516558	0.10491133	0.08986624	0.10107148	-0.01493181	-0.00082333	0.01184617	0.10976417	0.09526261	0.07287592	-0.01651968	-0.00184865	0.01262182	0.16678347	0.16553850	0.13819426	-0.00374751	0.00097871	0.00236661
0.083333	0.15006468	0.10455997	0.09690166	-0.00876982	-0.00114669	0.00809639	0.13912868	0.10494342	0.08102639	-0.00861320	-0.00848911	0.01330690	0.13000362	0.10383122	0.07261095	-0.01389733	-0.00059586	0.01451438	0.12472844	0.10147101	0.12942028	-0.00033345	0.00129045	0.00584634	0.10465657	0.08974939	0.10129686	-0.01461366	-0.00165147	0.01171873	0.10946102	0.09512288	0.07312601	-0.01653685	-0.00250221	0.01230468	0.16670638	0.16555177	0.13825634	-0.00497060	0.00176371	0.00334339
0.100000	0.14988405	0.10452718	0.09707566	-0.00836689	0.00022449	0.00791855	0.13894196	0.10478248	0.08128493	-0.00863787	-0.00713780	0.01233903	0.12972651	0.10379394	0.07288460	-0.01359081	-0.00110314	0.01363305	0.12467712	0.10147837	0.12956113	-0.00176084	0.00100222	0.00614280	0.10436899	0.08964352	0.10155856	-0.01383746	-0.00115585	0.01106725	0.10915682	0.09502830	0.07337426	-0.01559420	-0.00219868	0.01133745	0.16660002	0.16558172	0.13833028	-0.00591757	0.00247025	0.00383610
0.116666	0.14975882	0.10458017	0.09720362	-0.00764619	0.00097294	0.00720061	0.13880365	0.10473207	0.08148503	-0.00820849	-0.00623586	0.01101282	0.12950622	0.10382565	0.07311086	-0.01280887	-0.00182767	0.01237714	0.12461760	0.10151839	0.12968981	-0.00249238	-0.00001661	0.00582355	0.10414106	0.08968888	0.10173617	-0.01307910	-0.00088044	0.01021542	0.10891334	0.09506903	0.07354387	-0.01461251	-0.00208010	0.01017899	0.16648276	0.16563722	0.13840184	-0.00649216	0.00275114	0.00386605
