Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.14986415	0.10201840	0.09981508	-0.00321911	0.00240372	0.00509022	0.13569367	0.10458948	0.08548098	-0.00290738	0.00441631	0.00928111	0.12631218	0.10150722	0.07915401	-0.00174985	0.01284243	0.00972577	0.12338631	0.10283505	0.13088790	0.00013560	0.01174425	0.00292280	0.09822629	0.09198990	0.10701243	-0.01377733	0.01863278	0.01052853	0.10552477	0.09540673	0.07893228	-0.00087772	0.00942014	0.00971955	0.16738206	0.16628730	0.13710688	-0.00205257	0.00176647	0.00020742
0.016667	0.14982690	0.10205139	0.09989680	-0.00313596	0.00349806	0.00387849	0.13567308	0.10467760	0.08562742	-0.00278146	0.00436487	0.00706273	0.12631474	0.10174351	0.07930394	-0.00149668	0.01288449	0.00692572	0.12339730	0.10302405	0.13093601	-0.00022955	0.01168218	0.00150741	0.09802710	0.09232591	0.10716882	-0.01194325	0.01470616	0.00793758	0.10554329	0.09558830	0.07908383	-0.00024878	0.00856567	0.00672880	0.16735175	0.16630161	0.13711812	-0.00274436	0.00318871	0.00031605
0.033333	0.14976415	0.10211574	0.09996243	-0.00305281	0.00459241	0.00266676	0.13560870	0.10473980	0.08575331	-0.00265555	0.00431342	0.00484435	0.12627128	0.10194498	0.07943019	-0.00124351	0.01292655	0.00412566	0.12338976	0.10322269	0.13096632	-0.00059471	0.01162012	0.00009202	0.09780335	0.09256664	0.10731916	-0.01010917	0.01077954	0.00534663	0.10551773	0.09571993	0.07920842	0.00038017	0.00771120	0.00373805	0.16730566	0.16636173	0.13711533	-0.00343615	0.00461096	0.00042468
0.050000	0.14968663	0.10219444	0.10001898	-0.00199125	0.00481481	0.00136488	0.13552460	0.10479894	0.08584639	-0.00082694	0.00463521	0.00261233	0.12620391	0.10213495	0.07951677	0.00100457	0.01373416	0.00109420	0.12336319	0.10342367	0.13097000	-0.00011586	0.01070150	-0.00077024	0.09759156	0.09270722	0.10743558	-0.00673330	0.00901811	0.00242633	0.10547461	0.09581073	0.07929089	0.00291747	0.00817101	0.00102278	0.16724095	0.16645788	0.13711663	-0.00355618	0.00451917	0.00090517
0.066666	0.14965633	0.10229503	0.10002851	-0.00098206	0.00478467	-0.00041329	0.13550469	0.10486906	0.08587389	0.00077986	0.00383408	-0.00056908	0.12620939	0.10235287	0.07951941	0.00306622	0.01270601	-0.00323871	0.12335673	0.10361683	0.13093056	0.00014886	0.00923160	-0.00200563	0.09749264	0.09281084	0.10744905	-0.00233115	0.00413621	-0.00148632	0.10552205	0.09593560	0.07926743	0.00524508	0.00682394	-0.00276842	0.16717248	0.16655943	0.13713011	-0.00395545	0.00479104	0.00138276
0.083333	0.14967000	0.10239857	0.09999160	0.00063762	0.00373507	-0.00251518	0.13557449	0.10498297	0.08580613	0.00314125	0.00236326	-0.00434188	0.12633258	0.10264877	0.07938875	0.00608126	0.01117506	-0.00850241	0.12336695	0.10376604	0.13087356	0.00077918	0.00735096	-0.00309245	0.09753115	0.09289429	0.10734237	0.00380272	-0.00042752	-0.00657308	0.10568894	0.09611186	0.07914926	0.00865683	0.00527570	-0.00730972	0.16710046	0.16664089	0.13716571	-0.00411825	0.00414045	0.00182160
0.100000	0.14969237	0.10246310	0.09993600	0.00243099	0.00259814	-0.00554620	0.13565633	0.10503169	0.08571519	0.00569160	0.00096050	-0.00925276	0.12646584	0.10285244	0.07921984	0.00948008	0.01029626	-0.01525039	0.12339605	0.10386141	0.13081563	0.00153464	0.00539290	-0.00443922	0.09763142	0.09286419	0.10721729	0.01110394	-0.00484677	-0.01307698	0.10586918	0.09620921	0.07901233	0.01285409	0.00388371	-0.01315752	0.16703685	0.16670232	0.13721071	-0.00422375	0.00311950	0.00173197
0.116666	0.14974883	0.10247868	0.09984306	0.00410931	0.00240241	-0.00973258	0.13577199	0.10500798	0.08555194	0.00799711	0.00056602	-0.01516233	0.12665290	0.10294028	0.07894644	0.01269398	0.01030498	-0.02296632	0.12342370	0.10391328	0.13075383	0.00232664	0.00373715	-0.00650930	0.09785441	0.09271741	0.10699075	0.01880288	-0.00900708	-0.02051410	0.10609155	0.09622809	0.07879556	0.01707747	0.00267976	-0.02007310	0.16696602	0.16673920	0.13725062	-0.00429096	0.00211344	0.00083365
