Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12586053	0.00499515	0.09401511	-0.01085181	-0.01009790	0.00371405	0.10472099	-0.01610325	0.08693068	-0.00652849	0.00380979	0.00643658	0.09008688	-0.04408572	0.07985293	-0.01024071	0.00804187	0.01437249	0.09376046	0.03430690	0.13794491	-0.00209344	-0.00580291	0.00406453	0.07051848	-0.00473550	0.11983866	0.00105214	0.00002907	-0.00124850	0.06018614	-0.02972365	0.09512550	-0.00635131	0.00093772	0.01105738
0.016667	0.12567671	0.00483458	0.09408409	-0.00841636	-0.00800454	0.00572117	0.10464051	-0.01604629	0.08704391	-0.00555108	0.00732816	0.00661927	0.08991010	-0.04398885	0.08005932	-0.00954826	0.01028307	0.01622005	0.09373729	0.03422283	0.13800615	-0.00317888	-0.00643766	0.00412570	0.07054006	-0.00473908	0.11981931	0.00041776	0.00085145	-0.00162163	0.06009838	-0.02971122	0.09530719	-0.00488533	0.00120689	0.01013857
0.033333	0.12554306	0.00469323	0.09416975	-0.00598090	-0.00591117	0.00772829	0.10451311	-0.01593331	0.08715560	-0.00457367	0.01084652	0.00680196	0.08974542	-0.04379617	0.08034614	-0.00885580	0.01252427	0.01806762	0.09368183	0.03410922	0.13807879	-0.00426432	-0.00707242	0.00418687	0.07055192	-0.00472087	0.11979070	-0.00021663	0.00167383	-0.00199475	0.05999442	-0.02968961	0.09547846	-0.00341935	0.00147605	0.00921976
0.050000	0.12543377	0.00456797	0.09431012	-0.00350141	-0.00377361	0.00925828	0.10442372	-0.01573713	0.08725052	-0.00317158	0.01250928	0.00767633	0.08965933	-0.04352396	0.08071332	-0.00901420	0.01240596	0.01731358	0.09358737	0.03397254	0.13815635	-0.00388821	-0.00643718	0.00365736	0.07053573	-0.00469455	0.11975842	0.00008404	0.00210925	-0.00213203	0.05993947	-0.02966153	0.09563298	-0.00217027	0.00116948	0.00821992
0.066666	0.12538587	0.00455074	0.09445002	-0.00034787	-0.00114037	0.01089328	0.10438139	-0.01547491	0.08737592	-0.00209485	0.01509674	0.00828784	0.08944129	-0.04332006	0.08099627	-0.00862073	0.01381254	0.01715015	0.09350557	0.03385007	0.13822597	-0.00389712	-0.00591564	0.00305535	0.07051581	-0.00464560	0.11971595	-0.00004873	0.00252673	-0.00217919	0.05989809	-0.02963111	0.09577318	-0.00067884	0.00080485	0.00656958
0.083333	0.12543324	0.00457530	0.09471183	0.00147790	0.00103976	0.01075894	0.10441129	-0.01517604	0.08753841	-0.00131753	0.01626344	0.00836514	0.08932161	-0.04311450	0.08127257	-0.00957124	0.01371343	0.01469979	0.09344004	0.03375830	0.13826749	-0.00325793	-0.00483530	0.00215367	0.07052314	-0.00458843	0.11966953	-0.00005331	0.00246684	-0.00215077	0.05996052	-0.02961379	0.09585990	0.00033910	0.00016817	0.00477502
0.100000	0.12553097	0.00463467	0.09492622	0.00207105	0.00239172	0.00992995	0.10441469	-0.01487810	0.08771013	-0.00125606	0.01617408	0.00801157	0.08917917	-0.04286989	0.08152466	-0.00979010	0.01402510	0.01199694	0.09340724	0.03370113	0.13828912	-0.00223291	-0.00352589	0.00120439	0.07054292	-0.00453748	0.11963593	-0.00007011	0.00204275	-0.00205041	0.05996531	-0.02962981	0.09592816	0.00058498	-0.00073189	0.00290723
0.116666	0.12560056	0.00469174	0.09510310	0.00236453	0.00191875	0.00866029	0.10438042	-0.01461779	0.08785751	-0.00193239	0.01525822	0.00752161	0.08901420	-0.04264058	0.08169044	-0.00904869	0.01541919	0.01046841	0.09337690	0.03365766	0.13829817	-0.00103727	-0.00241255	0.00042439	0.07054266	-0.00451282	0.11961316	-0.00043154	0.00152409	-0.00178658	0.06000225	-0.02964392	0.09594751	-0.00018075	-0.00196469	0.00142951
