Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12092142	0.00626540	0.09815192	0.00524113	0.00211400	0.01605424	0.10082171	-0.01247105	0.08961090	-0.00257590	0.01967035	0.01464674	0.08770814	-0.04073050	0.08342246	-0.01437826	0.02625854	0.02496495	0.08817987	0.03396780	0.14014377	0.00238740	-0.00122764	-0.00305184	0.06430190	-0.00686126	0.12524650	0.00419212	0.00510145	-0.00806722	0.05625592	-0.03103689	0.09811105	-0.00268147	-0.02264249	-0.00180014
0.016667	0.12100922	0.00629162	0.09843692	0.00623348	0.00084627	0.01194884	0.10075649	-0.01214948	0.08985806	-0.00124701	0.01772330	0.01217325	0.08743079	-0.04026496	0.08386670	-0.00959363	0.02234691	0.01997717	0.08821855	0.03396575	0.14011759	0.00518965	-0.00338776	-0.00491204	0.06432216	-0.00674170	0.12513490	0.00928137	-0.00025093	-0.00932362	0.05617253	-0.03137955	0.09809390	0.00239288	-0.02315890	-0.00217930
0.033333	0.12110084	0.00632375	0.09864058	0.00722583	-0.00042146	0.00784344	0.10075330	-0.01184227	0.09007420	0.00008188	0.01577624	0.00969976	0.08728049	-0.03990686	0.08419915	-0.00480900	0.01843529	0.01498940	0.08829244	0.03390501	0.14002153	0.00799190	-0.00554787	-0.00677223	0.06449375	-0.00675860	0.12496885	0.01437063	-0.00560331	-0.01058002	0.05621708	-0.03180332	0.09805044	0.00746723	-0.02367531	-0.00255847
0.050000	0.12124375	0.00631813	0.09874521	0.00715139	-0.00108825	0.00672388	0.10076400	-0.01158015	0.09021623	0.00001412	0.01390119	0.00892449	0.08725708	-0.03962290	0.08440302	-0.00453265	0.01698816	0.01400622	0.08844063	0.03378649	0.13988140	0.00886876	-0.00528692	-0.00639940	0.06478659	-0.00688068	0.12476368	0.01308390	-0.00639579	-0.00945211	0.05639416	-0.03219878	0.09799735	0.00717511	-0.02229079	-0.00223645
0.066666	0.12137082	0.00626916	0.09877641	0.00722374	-0.00170446	0.00453679	0.10080517	-0.01135842	0.09032397	0.00025600	0.01074304	0.00770479	0.08726527	-0.03940278	0.08455045	-0.00286740	0.01352506	0.01167436	0.08863281	0.03364934	0.13973582	0.00990071	-0.00511812	-0.00640946	0.06515199	-0.00710588	0.12456466	0.01182132	-0.00795500	-0.00832189	0.05663871	-0.03262568	0.09793928	0.00784363	-0.02004523	-0.00209791
0.083333	0.12150970	0.00620807	0.09881807	0.00659483	-0.00194407	0.00385927	0.10079145	-0.01121357	0.09041785	-0.00028335	0.00755880	0.00741112	0.08723816	-0.03918673	0.08470789	-0.00331012	0.01110486	0.01125165	0.08885793	0.03355136	0.13963316	0.00894695	-0.00323200	-0.00505479	0.06536748	-0.00728762	0.12443943	0.00709868	-0.00705272	-0.00563266	0.05678601	-0.03292821	0.09793280	0.00599862	-0.01594855	-0.00139256
0.100000	0.12161103	0.00617154	0.09888078	0.00540270	-0.00150260	0.00383129	0.10078984	-0.01111750	0.09053596	-0.00086360	0.00459649	0.00704709	0.08715732	-0.03901122	0.08490262	-0.00399017	0.00905631	0.01108960	0.08901081	0.03351052	0.13956323	0.00643640	-0.00063882	-0.00321881	0.06541063	-0.00737860	0.12437781	0.00076656	-0.00538502	-0.00156653	0.05683737	-0.03317413	0.09789886	0.00325053	-0.01040537	-0.00052978
0.116666	0.12168653	0.00617006	0.09898494	0.00431867	-0.00099841	0.00328121	0.10074650	-0.01108721	0.09069902	-0.00033867	0.00164719	0.00559023	0.08703285	-0.03888813	0.08514784	-0.00339297	0.00590073	0.00935543	0.08910297	0.03354656	0.13953790	0.00345746	0.00173832	-0.00159577	0.06529507	-0.00739350	0.12437718	-0.00444716	-0.00489200	0.00280799	0.05680410	-0.03330259	0.09790758	0.00132338	-0.00428498	-0.00118126
