Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12780537	0.00657153	0.09439060	0.02245539	-0.00217740	0.04274858	0.10864856	-0.01841881	0.08635207	-0.00642783	0.02697515	0.03661181	0.08916409	-0.04829916	0.07881110	-0.05230596	0.06213362	0.04451479	0.09265233	0.03162031	0.13704249	-0.00086494	0.00478875	0.00506634	0.06922647	-0.00719021	0.11604495	-0.00859100	0.02468763	0.00313529	0.05978489	-0.03149764	0.09095028	-0.01694772	0.03862301	0.03625776
0.016667	0.12819406	0.00650351	0.09507997	0.02254763	-0.00008685	0.03913805	0.10852334	-0.01800360	0.08692068	-0.00284092	0.02855441	0.03448708	0.08825701	-0.04728316	0.07955002	-0.04183547	0.06112220	0.03878713	0.09266673	0.03165726	0.13711901	-0.00112765	0.00535628	0.00415878	0.06909648	-0.00681966	0.11607485	-0.00652428	0.02229369	0.00110664	0.05947286	-0.03089254	0.09157616	-0.01114127	0.02954392	0.02733986
0.033333	0.12854660	0.00651392	0.09575637	0.02263987	0.00200370	0.03552752	0.10847759	-0.01750603	0.08752977	0.00074599	0.03013366	0.03236236	0.08753526	-0.04624930	0.08020988	-0.03136498	0.06011077	0.03305947	0.09261918	0.03177453	0.13720298	-0.00139036	0.00592381	0.00325122	0.06896315	-0.00639851	0.11612289	-0.00445755	0.01989974	-0.00092201	0.05928715	-0.03031541	0.09205154	-0.00533482	0.02046484	0.01842197
0.050000	0.12891532	0.00659406	0.09639166	0.02177553	0.00130910	0.03042989	0.10850922	-0.01697359	0.08812590	0.00191112	0.02911152	0.02729430	0.08709167	-0.04522728	0.08076645	-0.02823151	0.05719861	0.02777334	0.09257016	0.03194116	0.13725199	-0.00081405	0.00337544	0.00260630	0.06889166	-0.00603733	0.11612394	-0.00304927	0.01672119	-0.00319713	0.05923518	-0.02998489	0.09230916	-0.00493588	0.01454157	0.01447937
0.066666	0.12932342	0.00666015	0.09685741	0.01960524	0.00199137	0.02399957	0.10861059	-0.01643299	0.08857980	0.00404590	0.02845154	0.02161619	0.08679987	-0.04424991	0.08118255	-0.02099504	0.05265921	0.02018314	0.09256529	0.03200102	0.13728912	-0.00136849	0.00178967	0.00154004	0.06886720	-0.00578973	0.11604253	-0.00196108	0.01289934	-0.00518045	0.05928750	-0.02987377	0.09242086	-0.00365033	0.00642488	0.00743832
0.083333	0.12968005	0.00665499	0.09717935	0.01699827	0.00178033	0.01828309	0.10870340	-0.01599696	0.08884473	0.00434173	0.02623411	0.01644573	0.08653712	-0.04340321	0.08142331	-0.01706644	0.04652092	0.01473321	0.09259203	0.03196983	0.13729078	-0.00185397	-0.00072580	0.00056848	0.06890006	-0.00567055	0.11588254	-0.00229043	0.00869867	-0.00624775	0.05928998	-0.02997011	0.09244071	-0.00497384	0.00054624	0.00349095
0.100000	0.12991649	0.00665770	0.09733271	0.01371031	0.00094944	0.01397913	0.10879593	-0.01557755	0.08895794	0.00343812	0.02264153	0.01259950	0.08623751	-0.04269121	0.08152500	-0.01531819	0.03861180	0.01145654	0.09256932	0.03188027	0.13729720	-0.00274119	-0.00287597	0.00008717	0.06890182	-0.00556907	0.11571299	-0.00360118	0.00542020	-0.00611527	0.05914214	-0.03002790	0.09245495	-0.00748350	-0.00229753	0.00184775
0.116666	0.13007648	0.00667347	0.09751915	0.01015593	0.00002548	0.01117673	0.10883828	-0.01522780	0.08910765	0.00225556	0.01785028	0.01034357	0.08598731	-0.04210956	0.08164518	-0.01343442	0.02940352	0.00976797	0.09248615	0.03183279	0.13728388	-0.00375373	-0.00390218	0.00002921	0.06879687	-0.00550647	0.11564553	-0.00457132	0.00324905	-0.00470651	0.05895112	-0.03005676	0.09247889	-0.00918589	-0.00247268	0.00131418
