Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12151360	0.00637449	0.09252847	0.00090905	0.00273973	0.00261677	0.10085777	-0.01335119	0.08333593	0.00330971	0.00572283	0.00216336	0.08569707	-0.04128738	0.07609314	0.00869490	-0.00406483	0.00088729	0.08926193	0.03180420	0.13561380	-0.00046686	-0.00150001	0.00403920	0.06591869	-0.01514899	0.12426219	0.00100553	0.00696788	-0.00237119	0.05863537	-0.03209120	0.09318005	0.00225984	-0.00012964	-0.00128355
0.016667	0.12151893	0.00643051	0.09257268	0.00007488	0.00350164	0.00576074	0.10091214	-0.01322980	0.08337287	0.00188180	0.00460101	0.00676769	0.08584356	-0.04135384	0.07612949	0.00493081	-0.00570072	0.00572319	0.08925621	0.03177391	0.13567998	-0.00208453	-0.00075303	0.00523301	0.06593990	-0.01504695	0.12422716	-0.00203469	0.00845410	0.00174344	0.05865736	-0.03209696	0.09316966	0.00022329	0.00133720	0.00378215
0.033333	0.12153360	0.00647517	0.09265935	-0.00075929	0.00426355	0.00890471	0.10095298	-0.01317753	0.08346596	0.00045389	0.00347919	0.01137202	0.08594373	-0.04144102	0.07619319	0.00116673	-0.00733662	0.01055908	0.08923016	0.03175918	0.13576022	-0.00370221	-0.00000605	0.00642682	0.06591848	-0.01490304	0.12424245	-0.00507491	0.00994033	0.00585808	0.05867641	-0.03208031	0.09320471	-0.00181326	0.00280404	0.00884786
0.050000	0.12153293	0.00653462	0.09279966	-0.00156604	0.00482111	0.01062286	0.10095720	-0.01313542	0.08366227	0.00010412	0.00350503	0.01378225	0.08592998	-0.04156723	0.07634994	-0.00034824	-0.00722413	0.01484117	0.08915877	0.03177065	0.13587700	-0.00346330	-0.00037335	0.00678810	0.06582250	-0.01471543	0.12433351	-0.00508161	0.00937525	0.00917155	0.05868546	-0.03202228	0.09334958	-0.00375319	0.00269623	0.01243689
0.066666	0.12148143	0.00664127	0.09304233	-0.00269787	0.00492455	0.01272914	0.10092241	-0.01309517	0.08397055	-0.00088472	0.00294884	0.01714944	0.08589280	-0.04173755	0.07665379	-0.00261908	-0.00669381	0.02008707	0.08905517	0.03178756	0.13601013	-0.00274834	-0.00047704	0.00759240	0.06565475	-0.01452153	0.12453622	-0.00454983	0.00872851	0.01404719	0.05855944	-0.03194239	0.09362663	-0.00490235	0.00235583	0.01770787
0.083333	0.12141622	0.00675713	0.09331479	-0.00457792	0.00510827	0.01398427	0.10089003	-0.01302336	0.08433720	-0.00237589	0.00331304	0.01904480	0.08577120	-0.04188835	0.07711688	-0.00302748	-0.00513921	0.02409844	0.08897085	0.03178036	0.13615054	-0.00080407	-0.00045195	0.00802431	0.06551329	-0.01436526	0.12484361	-0.00220955	0.00714112	0.01813914	0.05840549	-0.03187241	0.09402093	-0.00526862	0.00119048	0.02178976
0.100000	0.12134627	0.00684144	0.09355874	-0.00672153	0.00566441	0.01465643	0.10088488	-0.01298024	0.08467898	-0.00436647	0.00403218	0.02007083	0.08570641	-0.04194018	0.07759487	-0.00287698	-0.00300753	0.02739552	0.08898890	0.03173872	0.13628072	0.00174992	-0.00001036	0.00809159	0.06552317	-0.01427789	0.12520336	0.00062038	0.00565474	0.02164052	0.05828131	-0.03187783	0.09443000	-0.00505805	0.00002366	0.02442306
0.116666	0.12123902	0.00688663	0.09377518	-0.00861104	0.00667595	0.01455760	0.10081925	-0.01291597	0.08498570	-0.00649380	0.00485906	0.02056633	0.08568447	-0.04194481	0.07804947	-0.00321695	-0.00030136	0.03040650	0.08906942	0.03171930	0.13641667	0.00409452	0.00090670	0.00797163	0.06561922	-0.01423776	0.12559269	0.00252643	0.00535839	0.02444095	0.05825602	-0.03192535	0.09486981	-0.00467060	-0.00022829	0.02586323
