Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12085190	0.00633010	0.09376424	-0.00298214	-0.00006379	-0.00829238	0.10036914	-0.01449395	0.08472602	0.00084106	-0.00979982	-0.00517374	0.08576564	-0.04399152	0.07763740	-0.00743191	-0.00339044	-0.00993978	0.08850747	0.03222943	0.13702330	-0.00180275	-0.00720068	-0.00327328	0.06666381	-0.01595064	0.12762071	0.00857301	-0.00420086	-0.01114112	0.05817781	-0.03371024	0.09690745	0.00511408	-0.00550168	-0.00906281
0.016667	0.12078336	0.00634153	0.09360541	-0.00166856	-0.00112648	-0.00571514	0.10039407	-0.01466276	0.08463869	0.00037171	-0.00716580	-0.00494601	0.08566237	-0.04405388	0.07744679	-0.00738706	-0.00186068	-0.00864904	0.08848213	0.03210447	0.13696273	-0.00388765	-0.00644940	-0.00174657	0.06681779	-0.01603017	0.12742035	0.00442231	-0.00338692	-0.00937659	0.05826839	-0.03381595	0.09675645	0.00296497	-0.00311875	-0.00913050
0.033333	0.12076379	0.00632106	0.09351670	-0.00035498	-0.00218917	-0.00313790	0.10039113	-0.01478915	0.08455756	-0.00009764	-0.00453178	-0.00471829	0.08551455	-0.04409194	0.07732596	-0.00734220	-0.00033092	-0.00735830	0.08842121	0.03199648	0.13693185	-0.00597256	-0.00569812	-0.00021987	0.06690136	-0.01608106	0.12726657	0.00027161	-0.00257298	-0.00761206	0.05831743	-0.03386814	0.09661116	0.00081586	-0.00073582	-0.00919819
0.050000	0.12079501	0.00625485	0.09350036	-0.00061676	-0.00187788	-0.00264988	0.10037818	-0.01484877	0.08447666	0.00014432	-0.00338112	-0.00463007	0.08539031	-0.04407105	0.07720852	-0.00616810	-0.00039680	-0.00736880	0.08831154	0.03191286	0.13694014	-0.00687449	-0.00568062	0.00049658	0.06687109	-0.01611607	0.12717165	-0.00088264	-0.00251178	-0.00765602	0.05834296	-0.03385435	0.09643278	-0.00017485	-0.00038197	-0.00877734
0.066666	0.12078740	0.00621521	0.09348197	-0.00008095	-0.00218040	-0.00095763	0.10037513	-0.01486941	0.08440683	0.00043295	-0.00139642	-0.00451209	0.08526414	-0.04405934	0.07712684	-0.00473963	-0.00002934	-0.00690329	0.08816707	0.03182901	0.13696745	-0.00830203	-0.00548944	0.00185796	0.06680202	-0.01613973	0.12706152	-0.00302119	-0.00212475	-0.00695947	0.05827663	-0.03382231	0.09630766	-0.00101451	0.00059242	-0.00877049
0.083333	0.12077822	0.00618464	0.09347509	-0.00033163	-0.00179521	-0.00042368	0.10038451	-0.01485784	0.08433478	0.00129600	-0.00038293	-0.00448165	0.08520730	-0.04404074	0.07698931	-0.00285399	-0.00046697	-0.00707432	0.08799810	0.03174294	0.13700882	-0.00854935	-0.00569622	0.00259512	0.06668612	-0.01618011	0.12695417	-0.00315582	-0.00214837	-0.00690523	0.05822860	-0.03379418	0.09616002	-0.00084807	0.00030957	-0.00857513
0.100000	0.12076502	0.00616639	0.09346986	-0.00061751	-0.00137837	-0.00023738	0.10040727	-0.01485144	0.08425827	0.00219555	-0.00031415	-0.00440868	0.08520246	-0.04406801	0.07687180	-0.00088722	-0.00107119	-0.00704995	0.08784135	0.03164487	0.13706979	-0.00758070	-0.00599914	0.00277401	0.06664123	-0.01621546	0.12682013	-0.00188001	-0.00216382	-0.00706914	0.05819788	-0.03379143	0.09603404	0.00012239	-0.00060205	-0.00808175
0.116666	0.12075343	0.00614647	0.09346935	-0.00055924	-0.00097390	-0.00005346	0.10046283	-0.01485518	0.08418432	0.00274123	-0.00097657	-0.00399453	0.08519561	-0.04409976	0.07673817	0.00100848	-0.00143841	-0.00684320	0.08770636	0.03153269	0.13712078	-0.00574926	-0.00605466	0.00250549	0.06661991	-0.01625808	0.12669405	0.00009511	-0.00218505	-0.00688958	0.05824368	-0.03382164	0.09587578	0.00166361	-0.00146086	-0.00744785
