Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11958850	0.00791713	0.09543800	0.01025368	-0.00917585	-0.00519293	0.10023446	-0.01268520	0.08798340	0.00577087	-0.00738982	-0.01239398	0.08626942	-0.04327413	0.08352638	0.00647618	0.00244672	-0.02398936	0.08960737	0.03374267	0.13800819	-0.00866510	-0.01332789	-0.00056491	0.06913064	-0.01384375	0.13359436	0.00250590	-0.01226118	-0.01450470	0.05907857	-0.03360723	0.10098979	0.00898294	-0.01668639	-0.02205180
0.016667	0.11974508	0.00776560	0.09532935	0.00743601	-0.00681067	-0.00530565	0.10032815	-0.01281788	0.08774754	0.00424417	-0.00558220	-0.01034487	0.08637033	-0.04325116	0.08308490	0.00453474	0.00312981	-0.02022729	0.08943663	0.03351106	0.13798748	-0.00669840	-0.01058270	-0.00044480	0.06914116	-0.01405365	0.13333087	0.00284606	-0.01024348	-0.01242762	0.05923589	-0.03389204	0.10056782	0.00590289	-0.01109109	-0.01585773
0.033333	0.11988768	0.00764034	0.09526391	0.00461834	-0.00444549	-0.00541838	0.10040955	-0.01290663	0.08758844	0.00271746	-0.00377459	-0.00829577	0.08646408	-0.04318443	0.08276301	0.00259330	0.00381291	-0.01646522	0.08933776	0.03333022	0.13798878	-0.00473170	-0.00783750	-0.00032470	0.06921120	-0.01422560	0.13313156	0.00318622	-0.00822578	-0.01035054	0.05933461	-0.03409358	0.10032976	0.00282285	-0.00549579	-0.00966366
0.050000	0.11998507	0.00756859	0.09518716	0.00205488	-0.00376420	-0.00665433	0.10045124	-0.01296205	0.08750246	0.00137471	-0.00305534	-0.00913102	0.08649737	-0.04311695	0.08255924	0.00137512	0.00311484	-0.01686941	0.08928998	0.03321760	0.13799928	-0.00514509	-0.00666133	-0.00086017	0.06929857	-0.01435368	0.13298906	0.00136205	-0.00706673	-0.01058970	0.05934882	-0.03418181	0.10019748	-0.00005854	-0.00368366	-0.00925079
0.066666	0.11997546	0.00755889	0.09508731	-0.00056982	-0.00286333	-0.00789895	0.10045633	-0.01298461	0.08737104	-0.00049506	-0.00214568	-0.00882104	0.08650164	-0.04302238	0.08232716	0.00018992	0.00220674	-0.01562959	0.08924869	0.03314804	0.13798316	-0.00475699	-0.00452753	-0.00105068	0.06934603	-0.01444930	0.13285473	0.00001363	-0.00549469	-0.01013939	0.05937876	-0.03410998	0.10022116	-0.00410173	-0.00127538	-0.00739719
0.083333	0.11988433	0.00756200	0.09492436	-0.00167423	-0.00302978	-0.00877421	0.10043073	-0.01299716	0.08721535	-0.00164059	-0.00263071	-0.00931613	0.08645427	-0.04300256	0.08206093	-0.00002164	0.00055971	-0.01618496	0.08915281	0.03309567	0.13794829	-0.00497168	-0.00367276	-0.00143976	0.06929462	-0.01451128	0.13268250	-0.00134670	-0.00524209	-0.01075756	0.05925604	-0.03403953	0.10009924	-0.00601180	-0.00184332	-0.00850897
0.100000	0.11979583	0.00749036	0.09473226	-0.00120879	-0.00406966	-0.00820327	0.10035247	-0.01301807	0.08700854	-0.00184209	-0.00393796	-0.00967052	0.08642011	-0.04301393	0.08175809	0.00018083	-0.00141901	-0.01674536	0.08904295	0.03306044	0.13790911	-0.00497015	-0.00365855	-0.00174098	0.06920908	-0.01456116	0.13248336	-0.00129052	-0.00565744	-0.01179342	0.05903055	-0.03407968	0.09992354	-0.00662190	-0.00395419	-0.01088527
0.116666	0.11977930	0.00741317	0.09455643	0.00059519	-0.00482839	-0.00645048	0.10031972	-0.01309617	0.08684276	-0.00144113	-0.00529867	-0.00923850	0.08646843	-0.04307150	0.08144970	0.00066571	-0.00291779	-0.01628215	0.08892784	0.03299838	0.13788879	-0.00426775	-0.00393416	-0.00189782	0.06915011	-0.01466325	0.13226636	-0.00002418	-0.00610250	-0.01236779	0.05890321	-0.03418631	0.09967636	-0.00594859	-0.00602115	-0.01207867
