Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10570270	0.02950105	0.11117613	-0.00113346	-0.00075368	-0.00324690	0.09045513	0.01045253	0.09501629	0.00507323	-0.00752108	0.00414135	0.08510922	-0.00256963	0.08335393	0.00704511	-0.00284362	-0.00291185	0.07429404	0.02050102	0.13973470	-0.00310847	-0.00365975	-0.00204236	0.05559420	-0.00998364	0.11688806	-0.00302893	-0.00620315	-0.00173227	0.06355921	-0.01633475	0.08901158	-0.01194117	-0.00504530	0.00419466
0.016667	0.10568707	0.02948895	0.11112537	-0.00206956	-0.00149154	-0.00214198	0.09054600	0.01032925	0.09507915	0.00357115	-0.00619629	0.00456111	0.08523899	-0.00260935	0.08330051	0.00406848	-0.00204628	-0.00116699	0.07425884	0.02045469	0.13970539	-0.00393191	-0.00346437	-0.00169114	0.05555597	-0.01007575	0.11686413	-0.00419477	-0.00602435	-0.00115626	0.06338570	-0.01641185	0.08908371	-0.01293679	-0.00543719	0.00381278
0.033333	0.10565962	0.02947017	0.11107659	-0.00300565	-0.00222940	-0.00103705	0.09060761	0.01022031	0.09515508	0.00206907	-0.00487150	0.00498088	0.08531551	-0.00265370	0.08327124	0.00109185	-0.00124893	0.00057787	0.07418630	0.02037792	0.13966714	-0.00475535	-0.00326898	-0.00133992	0.05549540	-0.01018497	0.11682796	-0.00536060	-0.00584554	-0.00058025	0.06316856	-0.01650717	0.08913845	-0.01393242	-0.00582909	0.00343089
0.050000	0.10559306	0.02942132	0.11106586	-0.00246932	-0.00223730	-0.00101425	0.09063215	0.01013597	0.09524722	0.00189972	-0.00371377	0.00415763	0.08530455	-0.00268471	0.08330144	0.00113089	-0.00034044	0.00034016	0.07409048	0.02031256	0.13964531	-0.00360297	-0.00275511	-0.00143976	0.05536950	-0.01030452	0.11682966	-0.00394206	-0.00521889	-0.00101943	0.06288986	-0.01661569	0.08920787	-0.01150646	-0.00573439	0.00255928
0.066666	0.10552613	0.02937519	0.11107966	-0.00187565	-0.00233134	-0.00079554	0.09062995	0.01009187	0.09534388	0.00114315	-0.00212127	0.00307472	0.08525588	-0.00267182	0.08334806	-0.00008024	0.00080840	0.00039231	0.07398520	0.02028153	0.13963917	-0.00287258	-0.00199414	-0.00155889	0.05525681	-0.01037337	0.11683778	-0.00323848	-0.00463533	-0.00160833	0.06263664	-0.01671047	0.08925176	-0.00973364	-0.00559353	0.00157845
0.083333	0.10548030	0.02932204	0.11108731	-0.00097104	-0.00135293	-0.00081327	0.09063703	0.01007852	0.09539520	0.00046868	-0.00038650	0.00167762	0.08523392	-0.00263992	0.08337642	-0.00087545	0.00234335	-0.00020642	0.07395909	0.02025900	0.13962221	-0.00261934	-0.00011190	-0.00141197	0.05522419	-0.01043316	0.11682205	-0.00278712	-0.00300019	-0.00232332	0.06252346	-0.01680508	0.08926907	-0.00844726	-0.00430782	0.00097301
0.100000	0.10550401	0.02929847	0.11104570	0.00018627	0.00064731	-0.00115116	0.09067202	0.01009359	0.09538336	0.00016302	0.00143270	0.00020906	0.08528540	-0.00258929	0.08333362	-0.00097759	0.00385029	-0.00135884	0.07398795	0.02024692	0.13957688	-0.00313660	0.00229468	-0.00129097	0.05525977	-0.01049266	0.11675389	-0.00258616	-0.00064906	-0.00320883	0.06249741	-0.01689152	0.08925018	-0.00746449	-0.00220002	0.00054006
0.116666	0.10553809	0.02929800	0.11101788	0.00135553	0.00282091	-0.00155323	0.09067386	0.01010661	0.09535532	0.00001308	0.00267906	-0.00085458	0.08526438	-0.00253016	0.08328808	-0.00043225	0.00523438	-0.00273355	0.07396546	0.02027948	0.13954112	-0.00401312	0.00423193	-0.00139349	0.05524456	-0.01051615	0.11666636	-0.00272603	0.00132881	-0.00385282	0.06242252	-0.01693259	0.08924320	-0.00682714	-0.00006476	0.00030227
