Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.10972805	0.02908708	0.09689185	-0.00343820	-0.00263937	0.00543708	0.09223036	0.00927827	0.08541669	-0.00936341	0.00297370	0.00410491	0.08341134	-0.00244833	0.07440221	-0.00713940	0.00006173	0.00711980	0.08301718	0.02733410	0.13418780	-0.00384165	-0.00099370	0.00368306	0.05694411	0.00136313	0.11938181	-0.00241899	-0.00060150	0.00573187	0.05856311	-0.01425706	0.08875311	0.00122263	-0.00531691	0.00594745
0.016667	0.10968005	0.02906437	0.09700659	-0.00468226	-0.00517696	0.00510024	0.09206881	0.00932261	0.08552237	-0.00858936	0.00334504	0.00195176	0.08329038	-0.00244720	0.07455793	-0.00760253	-0.00023569	0.00418851	0.08298576	0.02733249	0.13428389	-0.00764589	-0.00440588	0.00282214	0.05692701	0.00135764	0.11951938	-0.00434888	-0.00279586	0.00140772	0.05858891	-0.01434945	0.08889955	-0.00024431	-0.00635239	0.00277386
0.033333	0.10960133	0.02897937	0.09707247	-0.00592633	-0.00771456	0.00476340	0.09192266	0.00938465	0.08553174	-0.00781532	0.00371637	-0.00020139	0.08317248	-0.00244759	0.07460301	-0.00806566	-0.00053312	0.00125722	0.08284618	0.02727014	0.13430299	-0.01145014	-0.00781807	0.00196122	0.05683964	0.00132363	0.11952773	-0.00627878	-0.00499023	-0.00291643	0.05857550	-0.01444381	0.08891077	-0.00171124	-0.00738787	-0.00039973
0.050000	0.10948489	0.02881351	0.09711338	-0.00638514	-0.00752183	0.00590520	0.09179522	0.00944496	0.08547733	-0.00886608	0.00350596	0.00067365	0.08303477	-0.00245922	0.07458152	-0.00862993	-0.00042290	0.00141662	0.08261124	0.02710105	0.13430133	-0.01211968	-0.00794664	0.00300662	0.05670640	0.00122809	0.11941555	-0.00690813	-0.00536152	-0.00284412	0.05853974	-0.01456126	0.08885477	-0.00350158	-0.00746831	-0.00018090
0.066666	0.10936558	0.02862822	0.09722502	-0.00758696	-0.00840086	0.00626794	0.09170320	0.00951837	0.08546062	-0.00986517	0.00287721	0.00011731	0.08288064	-0.00247860	0.07456449	-0.00953134	-0.00051779	0.00031952	0.08235121	0.02689839	0.13433336	-0.01448253	-0.00932042	0.00289851	0.05657859	0.00107721	0.11929918	-0.00916362	-0.00625721	-0.00497086	0.05850758	-0.01473242	0.08880966	-0.00657151	-0.00768548	-0.00194282
0.083333	0.10924448	0.02850200	0.09735724	-0.00778820	-0.00851359	0.00685013	0.09153908	0.00957755	0.08548637	-0.01011853	0.00122049	0.00069399	0.08273163	-0.00248700	0.07457051	-0.00984144	-0.00137182	0.00086893	0.08210866	0.02672253	0.13443385	-0.01410594	-0.01001356	0.00320436	0.05644381	0.00095954	0.11922145	-0.00948871	-0.00724449	-0.00520909	0.05837274	-0.01487531	0.08879808	-0.00769033	-0.00864173	-0.00205369
0.100000	0.10908888	0.02838235	0.09751286	-0.00633738	-0.00821542	0.00671002	0.09128108	0.00959410	0.08554544	-0.00927188	-0.00097816	0.00150741	0.08252627	-0.00248467	0.07461168	-0.00906341	-0.00299501	0.00204113	0.08185488	0.02660352	0.13452035	-0.01079299	-0.01073274	0.00352287	0.05625092	0.00086087	0.11917596	-0.00670097	-0.00870050	-0.00381274	0.05817356	-0.01497843	0.08879586	-0.00626716	-0.01002758	-0.00096001
0.116666	0.10895257	0.02827695	0.09761151	-0.00392185	-0.00776470	0.00530513	0.09108505	0.00956780	0.08555002	-0.00773329	-0.00314189	0.00146010	0.08236311	-0.00251527	0.07463701	-0.00744722	-0.00464414	0.00256469	0.08162721	0.02645806	0.13455570	-0.00600407	-0.01144356	0.00285791	0.05603493	0.00077355	0.11908334	-0.00253896	-0.01003519	-0.00220296	0.05794143	-0.01511272	0.08872517	-0.00339804	-0.01109021	0.00020467
