Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.09877466	0.03673246	0.10615656	0.01277157	0.00569940	0.01313092	0.08818112	0.01240359	0.09210677	-0.00447275	0.00995591	0.01572958	0.08595670	-0.00353927	0.08009139	-0.01425116	0.01225406	0.02944772	0.05930518	0.03679281	0.13207211	0.02559648	-0.01370905	0.00187606	0.04469754	0.00275508	0.11232349	0.00709935	-0.01944674	0.01641392	0.05346476	-0.01192280	0.08606353	0.00202340	-0.03274852	0.00393754
0.016667	0.09891827	0.03686282	0.10642733	0.01999148	0.00450635	0.01065959	0.08805774	0.01263103	0.09242772	0.00592704	0.00594394	0.01372291	0.08565380	-0.00331773	0.08064872	-0.00216545	0.01065248	0.02457450	0.05961292	0.03663963	0.13207874	0.03459426	-0.01877330	0.00390129	0.04468890	0.00251249	0.11254447	0.01768332	-0.02482204	0.01517756	0.05335178	-0.01241240	0.08607045	0.01097732	-0.03137831	0.00399874
0.033333	0.09926046	0.03691966	0.10658847	0.02721138	0.00331331	0.00818826	0.08813479	0.01270376	0.09262687	0.01632682	0.00193197	0.01171623	0.08559745	-0.00314040	0.08102708	0.00992026	0.00905091	0.01970128	0.06021960	0.03629211	0.13215229	0.04359205	-0.02383756	0.00592651	0.04500292	0.00207508	0.11284015	0.02826728	-0.03019734	0.01394121	0.05360837	-0.01297620	0.08619235	0.01993124	-0.03000810	0.00405995
0.050000	0.09982632	0.03692736	0.10663916	0.02430087	0.00517763	0.01099718	0.08849344	0.01264339	0.09273140	0.01606240	0.00396695	0.01417196	0.08589625	-0.00301219	0.08126805	0.00900071	0.01063713	0.02012704	0.06111357	0.03580317	0.13228695	0.03796943	-0.02090926	0.00593918	0.04571719	0.00143276	0.11314147	0.02295729	-0.02617646	0.01005158	0.05412959	-0.01356150	0.08632237	0.01512241	-0.02420601	0.00202936
0.066666	0.10042552	0.03697106	0.10674788	0.02200113	0.00615841	0.01147267	0.08902635	0.01262684	0.09292822	0.01671772	0.00466398	0.01359870	0.08631837	-0.00291135	0.08151746	0.01009655	0.01274009	0.01631736	0.06204032	0.03530747	0.13242066	0.03373389	-0.01918655	0.00711004	0.04632835	0.00086300	0.11329743	0.02129696	-0.02374337	0.00654760	0.05459886	-0.01397079	0.08633546	0.01462549	-0.01683006	0.00156210
0.083333	0.10081302	0.03712529	0.10702128	0.01624114	0.00744709	0.01198278	0.08940703	0.01273912	0.09326014	0.01365418	0.00688825	0.01251643	0.08659618	-0.00270340	0.08186837	0.00716086	0.01485533	0.01272892	0.06253415	0.03502591	0.13251472	0.02428554	-0.01463777	0.00791292	0.04662835	0.00051720	0.11329181	0.01584918	-0.01822229	0.00277193	0.05472788	-0.01416734	0.08625986	0.01209249	-0.00714627	0.00090044
0.100000	0.10090657	0.03732258	0.10735925	0.01030706	0.00787800	0.01199410	0.08948987	0.01294765	0.09358124	0.01031101	0.00766510	0.01020641	0.08651201	-0.00236185	0.08214960	0.00427006	0.01507026	0.00840332	0.06268819	0.03492516	0.13264471	0.01335848	-0.00920540	0.00927914	0.04661121	0.00038677	0.11325294	0.01352457	-0.01334587	0.00152849	0.05466082	-0.01415071	0.08624061	0.01312499	0.00145744	0.00227668
0.116666	0.10086319	0.03748838	0.10756258	0.00656436	0.00621880	0.00984542	0.08940803	0.01319048	0.09371778	0.00941653	0.00510317	0.00530178	0.08633764	-0.00197669	0.08223795	0.00426790	0.01195347	0.00194640	0.06265119	0.03487086	0.13276768	0.00718345	-0.00523346	0.01147416	0.04656496	0.00030556	0.11322604	0.01998546	-0.01251993	0.00531005	0.05471255	-0.01399219	0.08628845	0.02134460	0.00549127	0.00652040
