Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11392402	0.02591562	0.09259188	-0.00353830	-0.00920670	0.01548710	0.09595134	0.00733471	0.08308768	-0.00888925	-0.01260611	0.01800380	0.08678689	-0.00585524	0.07271792	0.00031829	-0.01446161	0.01906700	0.09054665	0.02273871	0.12977260	-0.00290697	-0.01068957	0.01786612	0.06670077	-0.00407173	0.11589602	-0.00745698	-0.01375697	0.02527862	0.06406894	-0.01761854	0.08340602	-0.00358095	-0.01223730	0.02083209
0.016667	0.11385478	0.02576623	0.09290319	-0.00305862	-0.00310154	0.00964392	0.09578984	0.00709290	0.08343477	-0.00795390	-0.00491366	0.01301100	0.08679988	-0.00612462	0.07307506	-0.00037193	-0.00752743	0.01470929	0.09048426	0.02255278	0.13011593	-0.00317240	-0.00113396	0.01084198	0.06660140	-0.00432195	0.11635072	-0.01020495	-0.00392018	0.02007172	0.06400831	-0.01783733	0.08378879	-0.00421891	-0.00471138	0.01712351
0.033333	0.11380873	0.02568328	0.09304649	-0.00257895	0.00300362	0.00380074	0.09566760	0.00700412	0.08363664	-0.00701855	0.00277880	0.00801820	0.08678699	-0.00624820	0.07331149	-0.00106216	-0.00059324	0.01035158	0.09043872	0.02249802	0.13029341	-0.00343782	0.00842164	0.00381784	0.06641927	-0.00440529	0.11667740	-0.01295292	0.00591662	0.01486482	0.06394396	-0.01793526	0.08406516	-0.00485687	0.00281455	0.01341494
0.050000	0.11377337	0.02573690	0.09302711	-0.00266683	0.00663867	0.00331910	0.09556880	0.00710536	0.08370105	-0.00679123	0.00562125	0.00757563	0.08676973	-0.00621831	0.07341997	-0.00143331	0.00279477	0.01003601	0.09040147	0.02267496	0.13028853	-0.00447435	0.01302865	0.00266702	0.06618239	-0.00425637	0.11688469	-0.01351097	0.01072689	0.01362210	0.06384861	-0.01784997	0.08423124	-0.00521990	0.00659278	0.01297218
0.066666	0.11374939	0.02595915	0.09299805	-0.00214138	0.01145538	0.00019889	0.09545349	0.00731751	0.08374674	-0.00565967	0.01073343	0.00444824	0.08672895	-0.00608437	0.07351670	-0.00226703	0.00850647	0.00714372	0.09033345	0.02304010	0.13019948	-0.00494653	0.02022192	-0.00166380	0.06589921	-0.00395667	0.11701655	-0.01504167	0.01815296	0.01008846	0.06377173	-0.01763682	0.08439278	-0.00559925	0.01247324	0.01013317
0.083333	0.11368612	0.02624683	0.09300210	-0.00137073	0.01378055	0.00028636	0.09535260	0.00756481	0.08383913	-0.00455061	0.01205289	0.00409869	0.08669934	-0.00587369	0.07365574	-0.00280840	0.01046403	0.00663402	0.09020410	0.02352096	0.13015915	-0.00455556	0.02352818	-0.00296877	0.06565254	-0.00350652	0.11716709	-0.01442654	0.02049523	0.00902060	0.06365952	-0.01733179	0.08458803	-0.00458242	0.01476886	0.00948567
0.100000	0.11366051	0.02655233	0.09301317	-0.00059005	0.01315979	0.00227199	0.09527411	0.00782412	0.08390884	-0.00367833	0.01069263	0.00626123	0.08664040	-0.00561120	0.07377280	-0.00292049	0.00961081	0.00871211	0.09009384	0.02397216	0.13013059	-0.00320242	0.02275725	-0.00131921	0.06538931	-0.00307180	0.11731903	-0.01168133	0.01908807	0.01061187	0.06355210	-0.01700098	0.08473290	-0.00301377	0.01412336	0.01121816
0.116666	0.11365288	0.02674652	0.09303828	0.00017803	0.01071314	0.00383699	0.09524092	0.00797711	0.08396479	-0.00341722	0.00836830	0.00857770	0.08657470	-0.00542757	0.07385735	-0.00361034	0.00766891	0.01170953	0.09002701	0.02435878	0.13006817	-0.00214034	0.01969792	0.00118405	0.06517397	-0.00274426	0.11744621	-0.00994612	0.01717168	0.01317041	0.06349783	-0.01677360	0.08485836	-0.00328240	0.01287151	0.01357792
