Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11331794	0.03030111	0.09614201	-0.00513053	-0.00465698	-0.01144064	0.09637200	0.00924575	0.08764923	-0.00787671	0.00191275	-0.01999233	0.08757165	-0.00461503	0.07833378	-0.00021014	-0.00581129	-0.02181546	0.08982987	0.03007665	0.13302264	0.00025649	-0.02302243	-0.01176779	0.06789383	-0.00121318	0.12220664	0.02087400	-0.01669379	-0.02112479	0.06646937	-0.01369228	0.08983452	0.00164182	-0.01786042	-0.02223150
0.016667	0.11329279	0.03019125	0.09593029	-0.00560182	-0.00246161	-0.01063321	0.09630128	0.00925735	0.08731361	-0.00808086	0.00271181	-0.01861885	0.08760969	-0.00471504	0.07797514	-0.00005163	-0.00552842	-0.02060973	0.08992103	0.02964456	0.13282925	-0.00326583	-0.01878683	-0.01061488	0.06837068	-0.00152782	0.12186495	0.01249333	-0.01453957	-0.01932696	0.06658340	-0.01402205	0.08947250	-0.00115537	-0.01415430	-0.02003707
0.033333	0.11315091	0.03016437	0.09576601	-0.00607310	-0.00026624	-0.00982579	0.09611773	0.00931317	0.08700493	-0.00828500	0.00351087	-0.01724537	0.08757011	-0.00480914	0.07762363	0.00010688	-0.00524554	-0.01940400	0.08981702	0.02934750	0.13264854	-0.00678814	-0.01455122	-0.00946198	0.06852067	-0.00175246	0.12152760	0.00411266	-0.01238535	-0.01752912	0.06650626	-0.01424690	0.08911764	-0.00395255	-0.01044817	-0.01784264
0.050000	0.11297476	0.03020413	0.09562744	-0.00353043	-0.00130972	-0.01039327	0.09590505	0.00939468	0.08671388	-0.00549415	0.00230643	-0.01629072	0.08752220	-0.00487591	0.07728444	0.00162289	-0.00572147	-0.01847099	0.08959136	0.02919173	0.13247722	-0.00337867	-0.01518439	-0.00874962	0.06838278	-0.00191049	0.12121628	0.00659588	-0.01312334	-0.01611720	0.06632975	-0.01436738	0.08882488	-0.00143931	-0.01029098	-0.01668210
0.066666	0.11291965	0.03023441	0.09547206	-0.00353584	-0.00184822	-0.00923995	0.09581713	0.00946975	0.08646137	-0.00507509	0.00095390	-0.01457544	0.08757598	-0.00498145	0.07701696	0.00086457	-0.00580857	-0.01715477	0.08944577	0.02899170	0.13236636	-0.00397874	-0.01276272	-0.00778857	0.06838343	-0.00208521	0.12099659	0.00171077	-0.01177973	-0.01442911	0.06626552	-0.01449184	0.08858354	-0.00297007	-0.00838249	-0.01502177
0.083333	0.11297627	0.03018850	0.09527236	-0.00298486	-0.00331968	-0.00856887	0.09585354	0.00946768	0.08623776	-0.00415073	-0.00082997	-0.01377625	0.08768174	-0.00507284	0.07674840	0.00044882	-0.00527725	-0.01653447	0.08950961	0.02875192	0.13226010	-0.00384250	-0.01136124	-0.00747803	0.06854779	-0.00233313	0.12079729	-0.00043273	-0.01080669	-0.01352349	0.06635680	-0.01461934	0.08838106	-0.00306973	-0.00737365	-0.01461284
0.100000	0.11300103	0.03008517	0.09509920	-0.00193228	-0.00476800	-0.00945270	0.09586275	0.00941010	0.08602228	-0.00242543	-0.00255308	-0.01408366	0.08772614	-0.00520256	0.07648716	0.00113652	-0.00402427	-0.01724604	0.08961321	0.02848806	0.13213545	-0.00204266	-0.01072224	-0.00855591	0.06869527	-0.00255939	0.12059027	0.00018481	-0.01049879	-0.01409577	0.06638797	-0.01478471	0.08814967	-0.00129339	-0.00692542	-0.01565526
0.116666	0.11286081	0.02994260	0.09504666	-0.00070680	-0.00644952	-0.01067084	0.09571808	0.00930929	0.08584611	-0.00050239	-0.00410813	-0.01483405	0.08760270	-0.00527375	0.07623465	0.00283924	-0.00305944	-0.01874097	0.08947386	0.02835899	0.13202699	0.00091561	-0.01152083	-0.00999365	0.06853200	-0.00268969	0.12037701	0.00280806	-0.01140667	-0.01538182	0.06623387	-0.01489896	0.08790684	0.00196938	-0.00733008	-0.01732200
