Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12529802	0.00487618	0.10887869	0.01063880	0.01081857	0.00385338	0.10782316	-0.02076351	0.09961770	0.02160848	0.00243228	0.01051642	0.09489911	-0.04416979	0.09252170	-0.00783789	0.00327296	0.00171722	0.09042083	0.04211778	0.13386694	-0.00013929	-0.00450274	-0.00272409	0.06811960	-0.00130487	0.12028807	0.01363212	-0.01433032	-0.00686484	0.07159837	-0.04371647	0.10639937	-0.01437137	-0.01415327	0.00728673
0.016667	0.12547679	0.00506863	0.10895330	0.00808734	0.00862983	0.00248709	0.10819495	-0.02069962	0.09980699	0.01680791	0.00185878	0.00838730	0.09478113	-0.04408683	0.09256280	-0.00511365	0.00155949	0.00165560	0.09042311	0.04202588	0.13382176	-0.00119471	-0.00210677	-0.00153602	0.06836948	-0.00160230	0.12017476	0.01384830	-0.00798498	-0.00458995	0.07136212	-0.04397482	0.10653496	-0.01045864	-0.00985515	0.00807303
0.033333	0.12562045	0.00521851	0.10899397	0.00553588	0.00644110	0.00112080	0.10849385	-0.02069043	0.09994203	0.01200733	0.00128528	0.00625818	0.09467956	-0.04408383	0.09258381	-0.00238941	-0.00015399	0.00159398	0.09040538	0.04199711	0.13378975	-0.00225012	0.00028920	-0.00034794	0.06857864	-0.00170779	0.12008995	0.01406448	-0.00163964	-0.00231505	0.07117452	-0.04413945	0.10665163	-0.00654592	-0.00555702	0.00885933
0.050000	0.12572241	0.00529462	0.10899705	0.00513727	0.00614564	0.00082791	0.10865667	-0.02069271	0.10002314	0.01082685	0.00166096	0.00544990	0.09462968	-0.04411369	0.09258208	0.00065759	-0.00074871	0.00234467	0.09035675	0.04202502	0.13378970	-0.00230865	0.00088116	0.00022099	0.06879226	-0.00167395	0.12005265	0.01468266	-0.00070416	-0.00112087	0.07106002	-0.04419424	0.10679422	-0.00370482	-0.00448611	0.00930183
0.066666	0.12572031	0.00536126	0.10898492	0.00515083	0.00460078	-0.00048291	0.10874848	-0.02066148	0.10009654	0.00866390	0.00091900	0.00322816	0.09465379	-0.04413490	0.09263404	0.00515366	-0.00330969	0.00241545	0.09029896	0.04207195	0.13381056	-0.00223645	0.00215500	0.00076674	0.06904610	-0.00156626	0.12006991	0.01386525	0.00183014	0.00010245	0.07105372	-0.04419985	0.10696220	0.00051074	-0.00203884	0.00852540
0.083333	0.12575507	0.00543943	0.10898749	0.00596935	0.00308032	-0.00182581	0.10883529	-0.02061379	0.10014314	0.00863693	0.00003019	0.00128385	0.09480123	-0.04415524	0.09269875	0.00936281	-0.00539908	0.00231725	0.09024483	0.04212588	0.13384748	-0.00123974	0.00173122	0.00052572	0.06934146	-0.00152645	0.12012495	0.01212117	-0.00012879	0.00004746	0.07113101	-0.04420102	0.10716578	0.00397233	-0.00155358	0.00638614
0.100000	0.12589297	0.00550798	0.10896352	0.00725145	0.00166086	-0.00283026	0.10898213	-0.02059450	0.10016391	0.00990611	-0.00115660	-0.00040159	0.09501950	-0.04426391	0.09276352	0.01264279	-0.00688107	0.00194763	0.09022246	0.04216956	0.13387346	0.00010002	0.00057105	-0.00024252	0.06956219	-0.00149144	0.12014502	0.00994444	-0.00480701	-0.00082087	0.07123616	-0.04422279	0.10728770	0.00630009	-0.00223587	0.00334544
0.116666	0.12608311	0.00554407	0.10890121	0.00833828	0.00041586	-0.00345768	0.10919867	-0.02064904	0.10012664	0.01129710	-0.00226473	-0.00159711	0.09529479	-0.04445137	0.09277972	0.01424259	-0.00796846	0.00157294	0.09025484	0.04217530	0.13384725	0.00165325	-0.00053738	-0.00105858	0.06967188	-0.00161506	0.12010682	0.00777959	-0.00927830	-0.00164197	0.07136926	-0.04427410	0.10728472	0.00753890	-0.00306404	0.00055690
