Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.13123240	-0.01480145	0.10511228	-0.00549289	-0.01116823	-0.00787027	0.10862058	-0.03382348	0.09588424	-0.00457777	-0.01055062	-0.00901289	0.09530416	-0.05168105	0.08941032	0.00905689	-0.01022745	-0.00789135	0.10897154	-0.00662338	0.14723672	0.00820156	-0.02158994	-0.00856179	0.07326024	-0.04479882	0.13788787	0.03027421	-0.04221270	0.00010230	0.07317474	-0.06366000	0.09525590	0.01405502	-0.03975206	-0.00401539
0.016667	0.13117619	-0.01498629	0.10493406	-0.00754777	-0.00843105	-0.00990253	0.10855281	-0.03402647	0.09570690	-0.00491606	-0.00725518	-0.01223182	0.09548724	-0.05186628	0.08923870	0.00485728	-0.00787991	-0.01122800	0.10915707	-0.00703025	0.14707999	0.00066899	-0.01730554	-0.01044412	0.07379202	-0.04554756	0.13788223	0.02224968	-0.03641862	-0.00445517	0.07344130	-0.06433319	0.09516447	0.00813741	-0.03501302	-0.00954043
0.033333	0.13102601	-0.01514638	0.10480873	-0.00960264	-0.00569388	-0.01193480	0.10846490	-0.03414863	0.09553002	-0.00525436	-0.00395974	-0.01545074	0.09556311	-0.05200285	0.08909179	0.00065767	-0.00553238	-0.01456464	0.10916676	-0.00730214	0.14691564	-0.00686358	-0.01302114	-0.01232644	0.07419395	-0.04615496	0.13781524	0.01422515	-0.03062454	-0.00901263	0.07358087	-0.06493852	0.09504019	0.00221980	-0.03027399	-0.01506547
0.050000	0.13082200	-0.01522376	0.10467277	-0.00973512	-0.00459253	-0.01585076	0.10837314	-0.03416046	0.09531070	-0.00550764	-0.00452099	-0.01914278	0.09552085	-0.05206553	0.08889530	-0.00022438	-0.00592934	-0.01864757	0.10898365	-0.00745369	0.14673458	-0.00849127	-0.01402978	-0.01474632	0.07435295	-0.04658353	0.13768226	0.01246785	-0.03101687	-0.01349447	0.07356156	-0.06538796	0.09481104	0.00093773	-0.02922110	-0.02025281
0.066666	0.13064745	-0.01525453	0.10438315	-0.01167756	-0.00246165	-0.01832425	0.10827215	-0.03416754	0.09495071	-0.00648169	-0.00387134	-0.02192897	0.09545498	-0.05210287	0.08854415	-0.00348472	-0.00525922	-0.02167449	0.10869022	-0.00759168	0.14647597	-0.01355050	-0.01257141	-0.01675523	0.07441031	-0.04697896	0.13742916	0.00708244	-0.02819080	-0.01867078	0.07347146	-0.06581581	0.09441781	-0.00308250	-0.02618625	-0.02548425
0.083333	0.13048863	-0.01526027	0.10393523	-0.01209927	-0.00080591	-0.01928862	0.10819174	-0.03423307	0.09445515	-0.00724400	-0.00382714	-0.02231666	0.09540538	-0.05219004	0.08802520	-0.00511559	-0.00448011	-0.02253616	0.10846734	-0.00782402	0.14611696	-0.01644189	-0.01096143	-0.01721784	0.07448888	-0.04746371	0.13699870	0.00325513	-0.02569784	-0.02094463	0.07340117	-0.06619590	0.09383149	-0.00524743	-0.02374588	-0.02731166
0.100000	0.13026826	-0.01527674	0.10349993	-0.01126629	0.00010717	-0.01892466	0.10804942	-0.03435627	0.09397081	-0.00712077	-0.00355148	-0.02131243	0.09531143	-0.05232966	0.08754311	-0.00511741	-0.00373676	-0.02186739	0.10819508	-0.00812829	0.14575401	-0.01680884	-0.00836585	-0.01685715	0.07458533	-0.04800028	0.13651617	0.00179679	-0.02276158	-0.02140463	0.07333079	-0.06663632	0.09322349	-0.00486964	-0.02119371	-0.02701397
0.116666	0.13001990	-0.01527652	0.10322849	-0.00960518	0.00018040	-0.01785762	0.10789368	-0.03447448	0.09366904	-0.00556385	-0.00326624	-0.02011441	0.09519288	-0.05241192	0.08722854	-0.00361835	-0.00333087	-0.02074526	0.10791740	-0.00828834	0.14548564	-0.01496906	-0.00542361	-0.01643642	0.07461420	-0.04839981	0.13613528	0.00284356	-0.01941234	-0.02126143	0.07321928	-0.06700819	0.09281310	-0.00264210	-0.01883093	-0.02608321
