Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12910862	-0.01104948	0.11702466	0.00284099	-0.01486364	0.00064850	0.11600568	-0.04140452	0.10128804	-0.00164673	-0.00191853	-0.00695697	0.09199018	-0.05013854	0.09351303	-0.00154112	-0.01668099	-0.01305228	0.09161991	-0.00774329	0.15693782	-0.00225921	-0.00817582	0.00721994	0.05025631	-0.03531561	0.13369013	0.01109945	-0.00150556	-0.00801879	0.07252573	-0.04512592	0.09967954	-0.01427790	-0.02057257	0.00497161
0.016667	0.12912929	-0.01128090	0.11704835	0.00484409	-0.01470127	-0.00044659	0.11597478	-0.04144024	0.10118912	-0.00143007	-0.00259728	-0.00880327	0.09194852	-0.05040473	0.09329998	0.00043653	-0.01660383	-0.01414558	0.09154503	-0.00790425	0.15707098	-0.00069358	-0.01086928	0.00681731	0.05042442	-0.03531529	0.13357589	0.01226993	-0.00802509	-0.01072307	0.07227207	-0.04547149	0.09977374	-0.00844072	-0.01942855	0.00068799
0.033333	0.12922648	-0.01154405	0.11703811	0.00684719	-0.01453891	-0.00154168	0.11595398	-0.04147977	0.10104215	-0.00121341	-0.00327603	-0.01064957	0.09195944	-0.05070443	0.09307179	0.00241418	-0.01652668	-0.01523888	0.09155902	-0.00805522	0.15718010	0.00087206	-0.01356273	0.00641468	0.05064283	-0.03544615	0.13338915	0.01344040	-0.01454462	-0.01342734	0.07212035	-0.04580754	0.09979375	-0.00260354	-0.01828452	-0.00359563
0.050000	0.12937358	-0.01178291	0.11698663	0.00598142	-0.01440836	-0.00057742	0.11595026	-0.04151565	0.10083546	-0.00137434	-0.00420309	-0.00979040	0.09204459	-0.05097090	0.09280264	0.00244626	-0.01736575	-0.01502069	0.09162197	-0.00825308	0.15726411	-0.00041824	-0.01618919	0.00740509	0.05089502	-0.03571196	0.13314115	0.01368055	-0.01661950	-0.01396088	0.07209874	-0.04609963	0.09971891	-0.00017773	-0.01857677	-0.00561277
0.066666	0.12951247	-0.01204027	0.11695109	0.00535542	-0.01456248	0.00068356	0.11590534	-0.04161530	0.10061823	-0.00175052	-0.00530005	-0.00899170	0.09208090	-0.05124138	0.09252012	0.00297440	-0.01817845	-0.01514035	0.09163802	-0.00857216	0.15737231	-0.00100855	-0.01854171	0.00810969	0.05110795	-0.03612656	0.13286720	0.01404887	-0.02000860	-0.01528955	0.07220500	-0.04636310	0.09954646	0.00296355	-0.01834918	-0.00886332
0.083333	0.12961268	-0.01223374	0.11694875	0.00308276	-0.01450326	0.00296028	0.11589525	-0.04170822	0.10046310	-0.00317720	-0.00628887	-0.00702313	0.09215844	-0.05153150	0.09226745	0.00106432	-0.01809241	-0.01461799	0.09159537	-0.00897759	0.15752529	-0.00331407	-0.01937565	0.00911262	0.05135544	-0.03652749	0.13259171	0.01173013	-0.02029315	-0.01496373	0.07232847	-0.04667605	0.09935832	0.00225377	-0.01756586	-0.01018055
0.100000	0.12961520	-0.01250349	0.11704248	0.00090935	-0.01396833	0.00490895	0.11584776	-0.04184077	0.10039131	-0.00450505	-0.00651439	-0.00524814	0.09218653	-0.05190539	0.09204032	-0.00169714	-0.01761147	-0.01345893	0.09150242	-0.00935725	0.15771604	-0.00612440	-0.01843277	0.00991751	0.05159783	-0.03688015	0.13234118	0.00789577	-0.01775659	-0.01342891	0.07243458	-0.04700855	0.09914488	-0.00094615	-0.01646512	-0.00991293
0.116666	0.12959833	-0.01274350	0.11717970	0.00023089	-0.01357082	0.00535606	0.11576686	-0.04195835	0.10036587	-0.00407735	-0.00564006	-0.00561836	0.09216378	-0.05221359	0.09182270	-0.00288748	-0.01790605	-0.01313088	0.09139670	-0.00965376	0.15789191	-0.00786483	-0.01625521	0.00983495	0.05174950	-0.03714326	0.13211292	0.00517026	-0.01407614	-0.01207208	0.07236312	-0.04731505	0.09898878	-0.00377116	-0.01564541	-0.00939600
