Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.12173837	0.03914217	0.07849425	-0.01623834	0.00143534	-0.01490007	0.10867777	0.01285180	0.07216746	-0.01350945	0.00288699	-0.02117840	0.09098402	-0.00174004	0.06791904	-0.00262951	-0.00476192	-0.01485082	0.10041787	0.04209187	0.11450184	0.00090342	0.00811463	-0.00317470	0.08351666	0.00564625	0.10754176	-0.00441266	-0.00037094	-0.00013500	0.07168052	-0.01660306	0.07721800	0.00456570	0.01207879	-0.01271987	0.10982780	0.11685603	0.09192935	-0.00106391	-0.00770017	0.00172791
0.016667	0.12147620	0.03917740	0.07824325	-0.01537225	0.00033606	-0.01269986	0.10844953	0.01290916	0.07181288	-0.01108897	0.00154239	-0.01981222	0.09094888	-0.00180015	0.06770025	0.00076868	-0.00699002	-0.01523098	0.10042396	0.04222630	0.11444445	0.00114687	0.00798843	-0.00151411	0.08342840	0.00566157	0.10752270	-0.00413732	-0.00118899	0.00178457	0.07172184	-0.01640924	0.07701996	0.00584187	0.01323010	-0.01246584	0.10981092	0.11673298	0.09195433	-0.00084356	-0.00802811	0.00235231
0.033333	0.12120156	0.03917097	0.07802070	-0.01450615	-0.00076322	-0.01049966	0.10826511	0.01293787	0.07146358	-0.00866849	0.00019778	-0.01844603	0.09096061	-0.00192827	0.06740128	0.00416687	-0.00921813	-0.01561115	0.10044497	0.04236138	0.11442268	0.00139032	0.00786224	0.00014648	0.08336894	0.00562509	0.10756456	-0.00386199	-0.00200704	0.00370415	0.07186276	-0.01616187	0.07678700	0.00711805	0.01438141	-0.01221181	0.10979515	0.11659747	0.09199633	-0.00062321	-0.00835605	0.00297670
0.050000	0.12095748	0.03915921	0.07785819	-0.01449695	-0.00127677	-0.00995498	0.10810354	0.01291875	0.07118436	-0.00667236	0.00050457	-0.01921471	0.09099177	-0.00211131	0.06714336	0.00921681	-0.01021266	-0.01650742	0.10049094	0.04250045	0.11442149	0.00078760	0.00839730	0.00183084	0.08333083	0.00557699	0.10763782	-0.00415792	-0.00091725	0.00503825	0.07198130	-0.01596190	0.07659601	0.00836715	0.01801997	-0.01195666	0.10978636	0.11645120	0.09204740	-0.00033949	-0.00795788	0.00338824
0.066666	0.12075619	0.03911711	0.07773826	-0.01476942	-0.00186111	-0.00919830	0.10804472	0.01289850	0.07090697	-0.00458537	0.00023808	-0.01947537	0.09116291	-0.00228542	0.06689279	0.01585426	-0.01288982	-0.01791142	0.10050280	0.04261072	0.11446639	0.00116192	0.01014753	0.00439418	0.08324891	0.00552318	0.10773941	-0.00274421	0.00052105	0.00799182	0.07212982	-0.01567424	0.07639138	0.01108301	0.02280983	-0.01047776	0.10977822	0.11630444	0.09211136	0.00044745	-0.00729165	0.00402031
0.083333	0.12053207	0.03907802	0.07761852	-0.01530840	-0.00205080	-0.00937410	0.10800365	0.01290028	0.07058726	-0.00424774	0.00029878	-0.01985293	0.09149116	-0.00250330	0.06661637	0.02037023	-0.01459831	-0.01786187	0.10049879	0.04276138	0.11455344	0.00236345	0.01213004	0.00592938	0.08316229	0.00554165	0.10785950	0.00015151	0.00255766	0.01002632	0.07226881	-0.01529784	0.07621586	0.01287458	0.02579918	-0.00736280	0.10978483	0.11618155	0.09218262	0.00173052	-0.00633399	0.00422368
0.100000	0.12025721	0.03902996	0.07745723	-0.01601494	-0.00207950	-0.01002047	0.10800690	0.01293792	0.07019568	-0.00578897	0.00077957	-0.02006885	0.09200916	-0.00276868	0.06624380	0.02115779	-0.01499464	-0.01671202	0.10049551	0.04298441	0.11471356	0.00405619	0.01302901	0.00605608	0.08312927	0.00562716	0.10807485	0.00378860	0.00365524	0.01077798	0.07255655	-0.01468591	0.07606028	0.01361178	0.02561133	-0.00374609	0.10980970	0.11608954	0.09226860	0.00329157	-0.00570743	0.00401826
0.116666	0.11995193	0.03901728	0.07725252	-0.01633054	-0.00186453	-0.01036179	0.10790036	0.01295594	0.06983398	-0.00858824	0.00122069	-0.01912337	0.09249036	-0.00308716	0.06590556	0.01832258	-0.01381649	-0.01468396	0.10058861	0.04329948	0.11486182	0.00580917	0.01239295	0.00483515	0.08324898	0.00575776	0.10832462	0.00723369	0.00355597	0.00995111	0.07285577	-0.01412854	0.07604020	0.01271644	0.02155777	-0.00036191	0.10988367	0.11603180	0.09234215	0.00469146	-0.00558621	0.00351013
