Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)	wrist joint right X	wrist joint right Y	wrist joint right Z	wrist joint right v(X)	wrist joint right v(Y)	wrist joint right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																										
0.016667	0.10935549	0.03424898	0.08562152	0.00265409	0.00053006	-0.00027742	0.09665675	0.01205483	0.07924893	-0.00017233	-0.00008065	-0.00073854	0.08300006	-0.00444369	0.07195362	0.00533084	-0.00106142	-0.00005465	0.07855091	0.04215759	0.11410858	0.00200865	0.00621947	-0.00057627	0.06062189	0.00811288	0.09954109	0.00001557	-0.00144744	0.00212737	0.05731659	-0.01882174	0.06950834	0.00098048	-0.00268156	0.00089225	0.10608673	0.11853503	0.09152003	0.00057001	0.00753506	-0.00111364
0.033333	0.10939806	0.03426460	0.08561630	0.00416146	0.00102103	-0.00082232	0.09665639	0.01205462	0.07923656	0.00273721	0.00010164	-0.00121438	0.08307999	-0.00446400	0.07195225	0.00751513	-0.00103550	-0.00063569	0.07859077	0.04226232	0.11409611	0.00271575	0.00792462	-0.00027783	0.06062586	0.00808711	0.09957846	0.00063323	-0.00145133	0.00308075	0.05732901	-0.01888828	0.06953090	0.00298218	0.00086708	0.00152663	0.10610239	0.11864837	0.09150824	0.00081137	0.00883791	-0.00144929
0.050000	0.10946408	0.03427407	0.08560267	0.00566883	0.00151201	-0.00136722	0.09668686	0.01205504	0.07921508	0.00564674	0.00028394	-0.00169021	0.08321191	-0.00447189	0.07193747	0.00969943	-0.00100959	-0.00121672	0.07862863	0.04238760	0.11409367	0.00342285	0.00962976	0.00002060	0.06063486	0.00806800	0.09962196	0.00125088	-0.00145523	0.00403413	0.05737102	-0.01886570	0.06954652	0.00498388	0.00441573	0.00216101	0.10611127	0.11880206	0.09147926	0.00105273	0.01014077	-0.00178494
0.066666	0.10956083	0.03429139	0.08558419	0.00647775	0.00228965	-0.00195176	0.09678105	0.01205041	0.07919675	0.00721562	0.00056208	-0.00229658	0.08336412	-0.00450597	0.07193702	0.01088419	-0.00037137	-0.00227873	0.07867876	0.04254338	0.11409607	0.00438331	0.01060634	-0.00003159	0.06064739	0.00803551	0.09969422	0.00201332	-0.00134664	0.00453191	0.05746903	-0.01876997	0.06958036	0.00562324	0.00575716	0.00273866	0.10611821	0.11898458	0.09144276	0.00169416	0.01024422	-0.00165336
0.083333	0.10969254	0.03433603	0.08554587	0.00737007	0.00299028	-0.00261662	0.09695890	0.01207619	0.07914494	0.00900660	0.00056933	-0.00277278	0.08359674	-0.00450547	0.07188179	0.01208504	0.00002079	-0.00324344	0.07875814	0.04275785	0.11410217	0.00559343	0.01163592	-0.00005331	0.06068501	0.00801902	0.09978316	0.00288583	-0.00135022	0.00517344	0.05759433	-0.01861848	0.06963001	0.00681379	0.00835844	0.00337013	0.10615031	0.11917815	0.09140832	0.00228700	0.01072772	-0.00170697
0.100000	0.10984377	0.03440437	0.08548965	0.00746693	0.00332254	-0.00307651	0.09716304	0.01208640	0.07909017	0.00977434	0.00036680	-0.00319084	0.08382896	-0.00450808	0.07181779	0.01228006	0.00007262	-0.00396138	0.07887072	0.04298410	0.11410535	0.00670223	0.01196121	-0.00003688	0.06075642	0.00799662	0.09988773	0.00377144	-0.00119429	0.00551427	0.05773403	-0.01845825	0.06971430	0.00734515	0.00976575	0.00409813	0.10620233	0.11936155	0.09138594	0.00293293	0.01064048	-0.00161127
0.116666	0.10998695	0.03448861	0.08542167	0.00700130	0.00285159	-0.00333128	0.09735081	0.01211034	0.07901519	0.00983600	-0.00045883	-0.00355707	0.08405997	-0.00446636	0.07170992	0.01217419	-0.00057389	-0.00427110	0.07900711	0.04320048	0.11409402	0.00739101	0.01148828	0.00036609	0.06082975	0.00797729	0.09998820	0.00492757	-0.00091907	0.00578849	0.05785517	-0.01827450	0.06978273	0.00784156	0.01069014	0.00504507	0.10626929	0.11953246	0.09136447	0.00347526	0.01018636	-0.00138902
