Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09159427	0.03926008	0.09306958	-0.00314770	-0.00457903	0.00104420	0.06617010	0.03982533	0.07769644	-0.00419335	-0.00018038	-0.00109584	0.04818578	0.03595753	0.06790114	-0.00451000	0.00348182	0.00144926	0.08127514	0.07624665	0.12587687	-0.01366211	-0.00687032	0.00040040	0.05064333	0.07075360	0.10185282	-0.00955481	-0.00196115	-0.00170928	0.02802195	0.05669995	0.07102389	-0.01156372	-0.00654141	-0.00671486
0.033333	0.09153482	0.03919617	0.09309180	-0.00232236	-0.00456056	0.00013769	0.06610652	0.03984889	0.07766999	-0.00355953	-0.00060506	-0.00063792	0.04811095	0.03604133	0.06793641	-0.00352734	0.00409933	-0.00021815	0.08108447	0.07614435	0.12588508	-0.01295177	-0.00831108	0.00061870	0.05051798	0.07076081	0.10183729	-0.00904255	-0.00481011	-0.00130959	0.02790027	0.05661392	0.07091069	-0.01279519	-0.00653277	-0.00398421
0.050000	0.09148698	0.03909550	0.09311020	-0.00149701	-0.00454208	-0.00076883	0.06604850	0.03982221	0.07766128	-0.00292571	-0.00102975	-0.00018001	0.04803846	0.03607894	0.06794050	-0.00254468	0.00471683	-0.00188556	0.08082900	0.07600453	0.12589432	-0.01224143	-0.00975184	0.00083700	0.05032725	0.07063726	0.10180993	-0.00853028	-0.00765908	-0.00090991	0.02760479	0.05646666	0.07084562	-0.01402667	-0.00652413	-0.00125357
0.066666	0.09149982	0.03904815	0.09305378	-0.00183292	-0.00461979	-0.00006072	0.06596807	0.03977187	0.07767399	-0.00188366	0.00051914	-0.00063114	0.04801460	0.03613663	0.06787559	-0.00206078	0.00580952	-0.00172608	0.08059148	0.07581130	0.12590978	-0.01021229	-0.00983000	0.00098661	0.05015942	0.07052001	0.10175230	-0.00715162	-0.00802077	0.00029296	0.02737114	0.05638208	0.07079023	-0.01215357	-0.00696477	0.00032898
0.083333	0.09146843	0.03894039	0.09304550	-0.00112109	-0.00407493	-0.00027523	0.06596407	0.03975749	0.07767416	-0.00133403	0.00146527	-0.00092514	0.04799123	0.03625647	0.06781568	-0.00055760	0.00619917	-0.00228894	0.08043699	0.07564121	0.12592143	-0.00846546	-0.01066808	0.00140407	0.05006158	0.07029460	0.10179351	-0.00620839	-0.00809684	0.00100166	0.02707906	0.05624836	0.07088497	-0.01006563	-0.00731592	0.00133846
0.100000	0.09143198	0.03888200	0.09305501	-0.00092328	-0.00348961	-0.00019182	0.06597436	0.03982874	0.07765119	-0.00083477	0.00237075	-0.00150752	0.04797120	0.03641032	0.06778464	0.00029007	0.00588857	-0.00201796	0.08035943	0.07545978	0.12595527	-0.00630739	-0.01027149	0.00191257	0.05001021	0.07015059	0.10183806	-0.00505980	-0.00747516	0.00269056	0.02698555	0.05615984	0.07096730	-0.00624261	-0.00792488	0.00215684
0.116666	0.09140950	0.03881756	0.09308153	-0.00117209	-0.00277468	0.00000387	0.06597850	0.03992390	0.07761025	-0.00078477	0.00251672	-0.00196264	0.04800041	0.03654057	0.06775694	-0.00003865	0.00447445	-0.00156683	0.08029646	0.07528391	0.12597699	-0.00479257	-0.00899587	0.00254237	0.04995237	0.07004161	0.10189512	-0.00476483	-0.00717717	0.00443669	0.02692883	0.05599341	0.07100613	-0.00229284	-0.00819040	0.00282929
