Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.08441549	0.04574280	0.09425978	0.00056774	0.00229674	-0.00026234	0.06306394	0.04828360	0.07346263	-0.00463551	-0.01719379	0.00052337	0.04660014	0.04256220	0.06170550	-0.00473300	-0.03126126	0.00479678	0.06029278	0.07288060	0.12597980	0.00250171	0.01066100	0.00238881	0.03432466	0.07139493	0.09642697	-0.00332904	0.01059894	-0.00061963	0.02364158	0.05700760	0.05886031	0.01360253	-0.00640095	0.00827338
0.016667	0.08442999	0.04579354	0.09426537	0.00206106	0.00190404	0.00009410	0.06300572	0.04800811	0.07346359	-0.00181497	-0.02646043	0.00169494	0.04654121	0.04211041	0.06178122	-0.00272234	-0.04563830	0.00755548	0.06033968	0.07304776	0.12601596	0.00180346	0.01624062	0.00383826	0.03426804	0.07158467	0.09640285	-0.00463756	0.01630276	-0.00023000	0.02386185	0.05692540	0.05896945	0.02795191	-0.00285288	0.00564361
0.033333	0.08445243	0.04581788	0.09425750	0.00355439	0.00151134	0.00045054	0.06294668	0.04764363	0.07348035	0.00100557	-0.03572707	0.00286651	0.04646690	0.04140579	0.06187878	-0.00071168	-0.06001534	0.01031418	0.06036234	0.07328415	0.12607680	0.00110520	0.02182023	0.00528770	0.03419631	0.07179467	0.09642099	-0.00594607	0.02200657	0.00015963	0.02426497	0.05686011	0.05908526	0.04230130	0.00069520	0.00301385
0.050000	0.08450191	0.04582385	0.09425454	0.00432854	0.00219884	0.00103925	0.06295343	0.04696755	0.07354661	0.00298762	-0.03610151	0.00253827	0.04646079	0.04027978	0.06207088	0.00086004	-0.05968272	0.01042987	0.06037660	0.07367836	0.12616898	0.00081791	0.02357131	0.00528107	0.03409077	0.07216544	0.09643045	-0.00666863	0.02411871	-0.00013892	0.02497478	0.05680465	0.05918405	0.04736120	0.00473807	-0.00030985
0.066666	0.08462110	0.04585328	0.09427737	0.00490876	0.00257743	0.00105169	0.06304747	0.04610508	0.07364246	0.00480475	-0.03888004	0.00310758	0.04647794	0.03884646	0.06235036	0.00286385	-0.06247277	0.01121728	0.06039309	0.07421891	0.12629716	0.00022804	0.02717748	0.00479186	0.03397059	0.07275200	0.09641525	-0.00785876	0.02726227	-0.00073966	0.02612334	0.05696475	0.05914307	0.05340935	0.00864679	-0.00331791
0.083333	0.08473434	0.04590921	0.09432775	0.00527865	0.00338194	0.00016019	0.06322306	0.04539603	0.07365948	0.00591795	-0.03945931	0.00327115	0.04660676	0.03779063	0.06252564	0.00473224	-0.06010020	0.01077248	0.06037844	0.07468469	0.12641081	-0.00023652	0.02855290	0.00341633	0.03380952	0.07325394	0.09642629	-0.00881918	0.02833408	-0.00179563	0.02724354	0.05722572	0.05896544	0.05493924	0.01131172	-0.00534635
0.100000	0.08482576	0.04599088	0.09435611	0.00536086	0.00386139	-0.00142828	0.06333648	0.04485800	0.07370354	0.00634535	-0.03718549	0.00223388	0.04668535	0.03692277	0.06270292	0.00596501	-0.05358963	0.00891428	0.06038544	0.07519432	0.12644829	-0.00035212	0.02630606	0.00173718	0.03366382	0.07375088	0.09637135	-0.00985705	0.02551234	-0.00152030	0.02813603	0.05749115	0.05882114	0.05293958	0.01173009	-0.00531482
0.116666	0.08486851	0.04605756	0.09431928	0.00502056	0.00341011	-0.00290775	0.06339847	0.04436544	0.07374853	0.00550839	-0.03454580	0.00178971	0.04679579	0.03629982	0.06279770	0.00552979	-0.04780773	0.00822057	0.06035792	0.07561230	0.12642166	0.00061032	0.02206327	0.00037648	0.03349422	0.07411795	0.09632277	-0.01137202	0.02088004	0.00081838	0.02878440	0.05770187	0.05870913	0.04905419	0.01046692	-0.00197911
