Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09121181	0.02349462	0.08222502	-0.00576841	0.00002583	-0.00076633	0.06520031	0.02151912	0.06730044	0.00131555	0.00165348	-0.00191570	0.04523262	0.01722190	0.05713036	0.00165016	0.00197140	-0.00200269	0.08031530	0.05921571	0.12099037	0.00270878	0.00483530	0.00331876	0.04679736	0.05917459	0.09839244	-0.00044722	0.00858526	0.00481443	0.03364436	0.04078064	0.06345847	0.00167117	0.00708117	-0.00136536
0.033333	0.09105716	0.02347932	0.08222869	-0.00022978	0.00064714	-0.00203335	0.06521212	0.02155614	0.06725735	0.00160017	0.00119459	-0.00172020	0.04526687	0.01726508	0.05710596	0.00230973	0.00035612	-0.00266221	0.08035610	0.05928023	0.12105779	0.00239388	0.00282438	0.00291624	0.04677788	0.05932617	0.09850132	0.00065469	0.00410894	0.00418493	0.03366964	0.04090516	0.06343175	0.00201926	0.00450557	-0.00109636
0.050000	0.09108189	0.02349676	0.08218791	0.00530886	0.00126846	-0.00330036	0.06524753	0.02157523	0.06723694	0.00188478	0.00073571	-0.00152469	0.04529341	0.01726835	0.05705552	0.00296929	-0.00125916	-0.00332174	0.08038374	0.05934087	0.12109135	0.00207898	0.00081346	0.00251372	0.04679636	0.05941007	0.09853274	0.00175659	-0.00036739	0.00355543	0.03370127	0.04099480	0.06341055	0.00236736	0.00192997	-0.00082735
0.066666	0.09123460	0.02354489	0.08211271	0.00459867	0.00041954	-0.00291498	0.06528851	0.02155346	0.06723104	0.00172895	0.00126467	-0.00194278	0.04534289	0.01723502	0.05698957	0.00357864	-0.00043850	-0.00335935	0.08045678	0.05938215	0.12113243	0.00124351	-0.00094360	0.00208073	0.04684499	0.05936968	0.09858872	0.00157890	-0.00111774	0.00296750	0.03374966	0.04099366	0.06340826	0.00207686	0.00157970	-0.00122160
0.083333	0.09143528	0.02356538	0.08203187	0.00510926	0.00018787	-0.00317690	0.06531978	0.02159077	0.06718972	0.00202034	0.00241920	-0.00209187	0.04541225	0.01717852	0.05692668	0.00420306	0.00239845	-0.00357281	0.08046355	0.05933030	0.12116591	0.00141081	-0.00180308	0.00092917	0.04687932	0.05927726	0.09864451	0.00163915	-0.00121728	0.00128974	0.03379341	0.04097990	0.06340062	0.00166309	0.00117256	-0.00179116
0.100000	0.09153072	0.02354671	0.08199154	0.00292880	-0.00032640	-0.00297339	0.06533772	0.02162091	0.06714324	0.00161566	0.00490887	-0.00200243	0.04549959	0.01715967	0.05686807	0.00396853	0.00693308	-0.00276364	0.08043635	0.05920479	0.12120140	0.00123259	-0.00143877	-0.00019841	0.04692011	0.05915521	0.09870081	0.00080308	0.00141111	-0.00022028	0.03382520	0.04096333	0.06336426	0.00048161	0.00228037	-0.00254289
0.116666	0.09150658	0.02350603	0.08196808	0.00001658	-0.00007063	-0.00281614	0.06536911	0.02168505	0.06709567	0.00042312	0.00782574	-0.00151870	0.04559390	0.01730910	0.05680891	0.00287102	0.01220077	-0.00208805	0.08046103	0.05915644	0.12117823	-0.00007689	-0.00303473	-0.00073564	0.04691732	0.05919098	0.09866457	-0.00053819	0.00487911	-0.00185747	0.03382799	0.04099485	0.06331620	-0.00177248	0.00413021	-0.00351795
