Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.07906402	0.03141968	0.10005735	0.00212093	-0.00214937	0.00318957	0.06055035	0.03754771	0.07474889	0.00319618	-0.00462370	-0.00054993	0.04648511	0.03796049	0.05832394	0.00124475	0.00739753	0.00092151	0.04938242	0.06247672	0.12558334	0.00060234	0.00145903	0.00671315	0.02294789	0.06846140	0.09407745	-0.00465966	0.00020500	0.00120365	0.03350536	0.05725554	0.05874771	0.00037059	-0.00283367	0.00054827
0.016667	0.07911153	0.03140174	0.10011019	0.00212901	-0.00138023	0.00138201	0.06059792	0.03747855	0.07474624	0.00312892	-0.00486845	-0.00154004	0.04652007	0.03809333	0.05833100	0.00183743	0.00545351	0.00006516	0.04940718	0.06250239	0.12570740	-0.00000302	0.00128177	0.00488477	0.02285780	0.06848247	0.09409850	-0.00352170	-0.00076354	0.00072375	0.03351326	0.05719071	0.05875714	0.00063055	-0.00228670	-0.00021413
0.033333	0.07914073	0.03136159	0.10014059	0.00213710	-0.00061108	-0.00042554	0.06065436	0.03738977	0.07471668	0.00306166	-0.00511320	-0.00253015	0.04654457	0.03818423	0.05833589	0.00243011	0.00350950	-0.00079120	0.04939370	0.06252033	0.12578703	-0.00060838	0.00110450	0.00305639	0.02281171	0.06846130	0.09410368	-0.00238374	-0.00173208	0.00024386	0.03352198	0.05716255	0.05875245	0.00089050	-0.00173974	-0.00097653
0.050000	0.07915957	0.03132714	0.10013602	0.00366559	0.00104150	-0.00202124	0.06071256	0.03729259	0.07467461	0.00408567	-0.00519000	-0.00423675	0.04656145	0.03821034	0.05834241	0.00556959	0.00210986	-0.00409808	0.04937232	0.06255690	0.12581520	0.00028035	0.00034787	0.00252971	0.02278368	0.06841239	0.09411274	-0.00070630	-0.00379948	-0.00086602	0.03353376	0.05716100	0.05873280	0.00212545	-0.00331371	-0.00264016
0.066666	0.07919904	0.03135818	0.10007296	0.00642090	0.00232141	-0.00583979	0.06075807	0.03721854	0.07460137	0.00893727	-0.00589658	-0.00998739	0.04662057	0.03826296	0.05829734	0.01343453	-0.00138956	-0.01213025	0.04935597	0.06254089	0.12583779	0.00288491	-0.00302292	0.00108950	0.02275142	0.06836221	0.09411550	0.00524605	-0.01211946	-0.00384425	0.03355752	0.05712678	0.05871275	0.00577204	-0.00663805	-0.00755019
0.083333	0.07930825	0.03143899	0.09998037	0.01024150	0.00402419	-0.01256590	0.06082632	0.03713041	0.07449815	0.01705525	-0.00621519	-0.02014272	0.04680925	0.03823624	0.05814658	0.02526591	-0.00603652	-0.02516872	0.04937869	0.06254196	0.12585013	0.00785745	-0.01045263	0.00018001	0.02278445	0.06829145	0.09405733	0.01418892	-0.03008601	-0.00826027	0.03361734	0.05703232	0.05861557	0.01109226	-0.01484061	-0.01498416
0.100000	0.07951148	0.03155120	0.09979468	0.01384588	0.00500262	-0.02033011	0.06109757	0.03701881	0.07418931	0.02647077	-0.00645970	-0.03173871	0.04724374	0.03812210	0.05770310	0.03781492	-0.01146025	-0.03916041	0.04950527	0.06242614	0.12584734	0.01354454	-0.01814207	-0.00098050	0.02300579	0.06785454	0.09392790	0.02499046	-0.05061743	-0.01386283	0.03381491	0.05680446	0.05836979	0.01716637	-0.02448101	-0.02311621
0.116666	0.07983661	0.03160486	0.09941079	0.01625559	0.00451161	-0.02931320	0.06172907	0.03687334	0.07349852	0.03647891	-0.00748168	-0.04463162	0.04816084	0.03789144	0.05681769	0.04979211	-0.01714287	-0.05388622	0.04983434	0.06199738	0.12583654	0.01890348	-0.02558387	-0.00396015	0.02361975	0.06683801	0.09359270	0.03689855	-0.06901459	-0.02293372	0.03422768	0.05632786	0.05781562	0.02418841	-0.03458933	-0.03220493
