Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.08310735	0.03300742	0.08540007	-0.00229367	-0.00000034	-0.00855058	0.06452969	0.03550599	0.06154714	-0.00108891	0.00186310	-0.01076673	0.05246794	0.03238111	0.04549952	0.00125615	0.00257124	-0.01263851	0.05719292	0.05651783	0.11882546	-0.00509681	0.00046583	-0.00839967	0.03601819	0.05643019	0.08517433	-0.00359749	-0.00948524	-0.01629977	0.03517924	0.04932629	0.04728993	0.00173910	-0.00821445	-0.00800080
0.033333	0.08306646	0.03299608	0.08523418	-0.00274279	0.00080198	-0.00446455	0.06450627	0.03551748	0.06135128	-0.00199937	0.00202988	-0.00731486	0.05251324	0.03245584	0.04527164	-0.00117448	0.00158139	-0.00835098	0.05709603	0.05646019	0.11867800	-0.00368917	0.00368761	-0.00587540	0.03593864	0.05626526	0.08485875	-0.00256666	-0.00683284	-0.01122710	0.03520255	0.04917014	0.04715503	0.00122980	-0.00663827	-0.00613424
0.050000	0.08303992	0.03302087	0.08517943	-0.00319192	0.00160430	-0.00037853	0.06448683	0.03557399	0.06125414	-0.00290984	0.00219666	-0.00386299	0.05245480	0.03245038	0.04514484	-0.00360511	0.00059154	-0.00406345	0.05704375	0.05661150	0.11857827	-0.00228153	0.00690938	-0.00335114	0.03589181	0.05616060	0.08472294	-0.00153583	-0.00418044	-0.00615443	0.03522680	0.04907435	0.04706147	0.00072049	-0.00506209	-0.00426767
0.066666	0.08296485	0.03305824	0.08518552	-0.00197225	0.00120808	0.00176557	0.06443147	0.03562123	0.06117572	-0.00281793	0.00084972	-0.00076209	0.05243125	0.03246061	0.04506859	-0.00453677	0.00035336	-0.00124332	0.05701877	0.05669240	0.11854845	-0.00148481	0.00827426	-0.00191488	0.03589037	0.05608140	0.08461832	-0.00207952	-0.00190283	-0.00280817	0.03524600	0.04901770	0.04697626	0.00038464	-0.00464143	-0.00241839
0.083333	0.08290105	0.03308813	0.08525705	0.00010699	0.00080925	0.00564045	0.06436096	0.03564956	0.06118830	-0.00269127	-0.00042627	0.00408644	0.05227670	0.03242116	0.04512117	-0.00632181	-0.00106827	0.00427492	0.05699824	0.05692185	0.11851787	0.00069812	0.01030090	0.00141226	0.03592418	0.05607470	0.08462611	-0.00092043	0.00213406	0.00336801	0.03524655	0.04893661	0.04694458	0.00023900	-0.00244253	0.00010656
0.100000	0.08288977	0.03311910	0.08540028	0.00265558	-0.00030775	0.00911038	0.06428889	0.03563467	0.06130496	-0.00224323	-0.00121205	0.00906177	0.05214596	0.03246940	0.04521978	-0.00793244	-0.00127217	0.01091516	0.05700806	0.05707718	0.11857046	0.00244654	0.01184656	0.00469917	0.03581812	0.05614544	0.08471253	0.00072439	0.00775942	0.00944410	0.03521655	0.04888966	0.04699717	-0.00015291	0.00112996	0.00339223
0.116666	0.08297952	0.03308089	0.08555906	0.00511402	-0.00042513	0.01240221	0.06428150	0.03552981	0.06150336	-0.00226569	-0.00052922	0.01389634	0.05206514	0.03240712	0.04540141	-0.00980554	0.00064545	0.01782011	0.05706010	0.05728798	0.11865140	0.00335182	0.01370037	0.00787854	0.03582527	0.05627433	0.08490849	0.00091538	0.01407160	0.01575763	0.03523293	0.04887252	0.04706151	-0.00127899	0.00592122	0.00740883
