Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.13909775	0.08748581	0.09525608	-0.03776931	0.03337803	-0.12381868	0.11697861	0.08640005	0.07699051	-0.06392042	0.03095773	-0.12750867	0.09764656	0.08535197	0.06980649	-0.07168023	0.00538660	-0.12875850	0.12715462	0.13539305	0.10861093	-0.07207527	0.05165366	-0.11370999	0.09113529	0.12821242	0.08324476	-0.05395516	0.03877722	-0.14343333	0.06765778	0.11880796	0.06013757	-0.06031634	0.05976362	-0.13680294
0.033333	0.13846259	0.08808710	0.09309593	-0.03991903	0.02144122	-0.10187920	0.11584669	0.08696328	0.07480087	-0.05214660	0.02205008	-0.10874791	0.09637087	0.08536942	0.06759454	-0.05772942	-0.00102595	-0.11007718	0.12611204	0.13649756	0.10656386	-0.06819946	0.03275482	-0.09028956	0.09005727	0.12894835	0.08080532	-0.04708257	0.02771448	-0.11136241	0.06668648	0.11998577	0.05770649	-0.05878152	0.03802002	-0.10809357
0.050000	0.13792758	0.08851470	0.09145720	-0.04206875	0.00950441	-0.07993972	0.11506994	0.08734431	0.07303247	-0.04037277	0.01314243	-0.08998717	0.09551925	0.08554101	0.06577912	-0.04377859	-0.00743850	-0.09139585	0.12483991	0.13689078	0.10515913	-0.06432366	0.01385598	-0.06686912	0.08957411	0.12940893	0.07881033	-0.04020998	0.01665174	-0.07929149	0.06574347	0.12055720	0.05595027	-0.05724669	0.01627642	-0.07938419
0.066666	0.13701594	0.08850168	0.09014075	-0.03427266	0.00838097	-0.06835932	0.11428959	0.08744709	0.07151242	-0.03208650	0.00866897	-0.07622526	0.09470812	0.08528578	0.06426163	-0.03380938	-0.01001794	-0.08012751	0.12356912	0.13683876	0.10411619	-0.05289866	0.01288911	-0.05597185	0.08882075	0.12952909	0.07766175	-0.03130110	0.01511870	-0.07003436	0.06469751	0.12061338	0.05473927	-0.04743897	0.01340208	-0.06854867
0.083333	0.13633183	0.08841327	0.08935068	-0.02798449	0.00114087	-0.04996823	0.11401717	0.08752053	0.07049169	-0.02216795	-0.00514498	-0.05566895	0.09436647	0.08504067	0.06324451	-0.02179289	-0.01848739	-0.06207338	0.12273093	0.13680418	0.10355631	-0.04373333	0.00101097	-0.03652170	0.08824193	0.12958239	0.07714134	-0.02200400	0.00606398	-0.04887668	0.06370676	0.12041210	0.05413872	-0.03653902	-0.00117202	-0.04885429
0.100000	0.13593741	0.08842674	0.08877785	-0.02084383	-0.00329853	-0.03691811	0.11380257	0.08749715	0.06978141	-0.01573670	-0.01796581	-0.04054153	0.09421949	0.08469307	0.06238042	-0.01460715	-0.02610631	-0.04915935	0.12235946	0.13693312	0.10310464	-0.03243545	-0.00367583	-0.02474087	0.08792436	0.12977096	0.07668018	-0.01841165	-0.00247539	-0.03321218	0.06328285	0.12043033	0.05353365	-0.02458362	-0.01541248	-0.03887142
0.116666	0.13590771	0.08844821	0.08828294	-0.01259660	-0.00742491	-0.02917853	0.11369060	0.08712576	0.06942105	-0.01092792	-0.02847064	-0.03195459	0.09418243	0.08424527	0.06177546	-0.00947751	-0.03186242	-0.04278016	0.12206759	0.13693866	0.10286926	-0.02266204	-0.00878718	-0.01713275	0.08805016	0.12977381	0.07587395	-0.01297773	-0.01394724	-0.02629417	0.06320465	0.12039540	0.05299914	-0.00906575	-0.03423973	-0.03581477
