Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.15162170	0.09292444	0.07305481	-0.00312136	0.01514605	0.02766691	0.12483054	0.09000748	0.05496445	0.01054902	0.00453880	0.01349324	0.10410313	0.08897033	0.04498004	0.00882707	0.00409396	0.00070032	0.13770434	0.14479950	0.08946981	-0.01755498	0.02139703	0.00476195	0.09538786	0.13813311	0.06830998	-0.02363706	0.00623303	-0.00424174	0.07429696	0.11779253	0.04134091	-0.00675808	0.00134029	-0.00623065
0.033333	0.15152189	0.09323423	0.07353570	-0.00293882	0.01446834	0.02675000	0.12502445	0.09014155	0.05519046	0.00677529	0.00222177	0.01586824	0.10424774	0.08904367	0.04500529	0.00907976	0.00107624	0.00161447	0.13731588	0.14511484	0.08960082	-0.01638076	0.02197811	0.00431189	0.09494539	0.13818814	0.06827504	-0.02229014	0.00731710	-0.00517423	0.07417638	0.11777791	0.04124816	-0.00693242	0.00356065	-0.00806197
0.050000	0.15150267	0.09339604	0.07397577	-0.00275628	0.01379063	0.02583309	0.12513281	0.09012177	0.05543622	0.00300155	-0.00009526	0.01824323	0.10439069	0.08908067	0.04501119	0.00933245	-0.00194148	0.00252863	0.13711582	0.14548530	0.08962624	-0.01520655	0.02255918	0.00386184	0.09462440	0.13834757	0.06815184	-0.02094322	0.00840116	-0.00610671	0.07406140	0.11784449	0.04111495	-0.00710676	0.00578100	-0.00989329
0.066666	0.15150699	0.09362273	0.07439070	-0.00762116	0.01418596	0.02750709	0.12513442	0.09004966	0.05576192	0.00196573	0.00112679	0.01861336	0.10458248	0.08902046	0.04504466	0.00886489	-0.00187357	0.00349864	0.13694522	0.14596939	0.08964983	-0.02157637	0.01913123	0.00651269	0.09427166	0.13852581	0.06803130	-0.02154597	0.00738326	-0.00575806	0.07396994	0.11800423	0.04091578	-0.00885684	0.00433577	-0.00992753
0.083333	0.15146549	0.09385608	0.07477537	-0.01355065	0.01530452	0.03054762	0.12515970	0.09008724	0.05611391	-0.00099980	0.00236579	0.02078473	0.10470492	0.08891592	0.04512809	0.00791445	-0.00221477	0.00591016	0.13671035	0.14629149	0.08972102	-0.02914850	0.01852661	0.00935961	0.09399498	0.13869040	0.06791934	-0.02265481	0.00892084	-0.00666167	0.07382470	0.11813693	0.04074110	-0.01157918	0.00524065	-0.01132759
0.100000	0.15117824	0.09413960	0.07529694	-0.01811839	0.01955774	0.03368760	0.12508193	0.09011141	0.05648556	-0.00206281	0.00717706	0.02278149	0.10484841	0.08883789	0.04523174	0.00541868	-0.00211109	0.00920065	0.13610910	0.14648868	0.08993974	-0.03638245	0.02068885	0.01160544	0.09355961	0.13872582	0.06785627	-0.02445562	0.01189386	-0.00822082	0.07363833	0.11815411	0.04053883	-0.01452411	0.00736176	-0.01280432
0.116666	0.15066347	0.09441049	0.07591450	-0.01946696	0.02439386	0.03630288	0.12507173	0.09024481	0.05680424	-0.00266050	0.01159460	0.02423361	0.10496329	0.08886455	0.04537018	0.00265327	-0.00197631	0.01242143	0.13527082	0.14667265	0.09022655	-0.04095742	0.02585690	0.01194806	0.09316457	0.13887940	0.06774355	-0.02638231	0.01577287	-0.01058132	0.07333330	0.11818375	0.04037070	-0.01698747	0.01162616	-0.01494801
