Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11374041	0.02287562	0.09483511	-0.00648583	0.01316499	0.00830315	0.09920493	0.00994954	0.09094791	-0.01125806	0.01024792	-0.00047323	0.08927789	-0.00718935	0.08040149	-0.00347753	0.02051993	0.00453913	0.08594040	0.05295302	0.13743827	-0.00668718	0.00686641	0.01225216	0.05455657	0.02085549	0.11140464	-0.01790801	0.02476837	0.00113596	0.06342798	0.00614870	0.08944579	-0.00762220	0.00549000	0.00024371
0.016667	0.11362303	0.02310612	0.09499232	-0.00325778	0.00970656	0.00582757	0.09898037	0.01012100	0.09093121	-0.00654305	0.00850247	-0.00024520	0.08918280	-0.00681785	0.08047427	-0.00124544	0.01533681	0.00415766	0.08582789	0.05308046	0.13765797	-0.00672835	0.00455296	0.00933949	0.05423531	0.02127747	0.11142826	-0.01188737	0.01998376	-0.00255079	0.06328756	0.00625616	0.08945674	-0.00145779	0.00193363	-0.00126891
0.033333	0.11355872	0.02327413	0.09508288	-0.00002973	0.00624814	0.00335199	0.09887789	0.01027688	0.09093257	-0.00182804	0.00675702	-0.00001717	0.08918044	-0.00655797	0.08055319	0.00098665	0.01015368	0.00377619	0.08572187	0.05315002	0.13781871	-0.00676951	0.00223950	0.00642682	0.05402521	0.02163186	0.11141087	-0.00586674	0.01519916	-0.00623754	0.06323804	0.00629285	0.08944888	0.00470662	-0.00162275	-0.00278154
0.050000	0.11357807	0.02335361	0.09511560	0.00004668	0.00513609	0.00329656	0.09890065	0.01037848	0.09095849	-0.00217234	0.00655042	0.00011582	0.08923905	-0.00643988	0.08061278	-0.00097994	0.00989505	0.00414597	0.08559944	0.05317990	0.13790227	-0.00666230	0.00168002	0.00655601	0.05395705	0.02185971	0.11126846	-0.00500631	0.01453317	-0.00614128	0.06334805	0.00624326	0.08937513	0.00351963	-0.00099466	-0.00179530
0.066666	0.11365887	0.02338636	0.09512087	0.00020512	0.00292394	0.00274335	0.09897031	0.01043887	0.09092850	-0.00167136	0.00602456	0.00123822	0.08930172	-0.00638557	0.08065868	-0.00255187	0.00817929	0.00459334	0.08549102	0.05316054	0.13793066	-0.00712409	0.00082489	0.00612753	0.05402749	0.02198352	0.11108586	-0.00341564	0.01320796	-0.00671885	0.06359533	0.00612478	0.08929092	0.00161186	-0.00095999	-0.00151355
0.083333	0.11371309	0.02339475	0.09514773	-0.00071265	0.00196550	0.00318555	0.09896594	0.01052172	0.09093305	-0.00319635	0.00564484	0.00210975	0.08924101	-0.00628085	0.08072793	-0.00475546	0.00802932	0.00458909	0.08538337	0.05314479	0.13801621	-0.00778063	0.00083477	0.00642056	0.05403105	0.02214119	0.11091827	-0.00376217	0.01316012	-0.00714029	0.06374640	0.00606264	0.08926801	-0.00277602	-0.00004021	-0.00159708
0.100000	0.11364843	0.02342927	0.09522764	-0.00180592	0.00162362	0.00370549	0.09885632	0.01063817	0.09098563	-0.00481749	0.00518473	0.00277185	0.08905217	-0.00609091	0.08084106	-0.00619175	0.00821673	0.00402601	0.08526237	0.05316937	0.13817090	-0.00798031	0.00079092	0.00679078	0.05392304	0.02241449	0.11088712	-0.00420715	0.01365694	-0.00798005	0.06351379	0.00617746	0.08932605	-0.00721416	0.00125924	-0.00134219
0.116666	0.11354325	0.02346477	0.09532574	-0.00235029	0.00136032	0.00383162	0.09868048	0.01076622	0.09108116	-0.00544323	0.00435320	0.00325513	0.08887433	-0.00588961	0.08094110	-0.00645912	0.00788772	0.00314438	0.08509602	0.05321668	0.13834225	-0.00712286	0.00029674	0.00706377	0.05372710	0.02272455	0.11083415	-0.00311380	0.01371024	-0.00812172	0.06322324	0.00623126	0.08931959	-0.01006123	0.00247385	-0.00024371
