Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11711360	0.02073280	0.09760273	-0.01186640	0.00551530	-0.03967491	0.10018970	0.00841117	0.09364206	-0.00063367	0.00556934	-0.02679209	0.08759420	-0.00626614	0.08301948	-0.00257817	-0.00517663	-0.01701846	0.08972225	0.05019163	0.14054273	-0.01100716	0.02420295	-0.02010711	0.05388052	0.01960815	0.11572501	-0.08230355	0.04428433	-0.01156227	0.05987692	0.00241273	0.09372203	-0.01236879	0.06497318	-0.01123228
0.016667	0.11690430	0.02081537	0.09693354	-0.00872928	0.00479413	-0.03764652	0.10019249	0.00850412	0.09320129	0.00185744	0.00368710	-0.02789039	0.08753711	-0.00635170	0.08273879	0.00214086	-0.00679142	-0.01735061	0.08963139	0.05061003	0.14025947	-0.01046557	0.01726612	-0.02396876	0.05254012	0.02032840	0.11576264	-0.06821074	0.04104293	-0.02173335	0.05971491	0.00355910	0.09370553	-0.01189788	0.04915820	-0.02090432
0.033333	0.11675682	0.02090304	0.09630539	-0.00559217	0.00407296	-0.03561813	0.10021847	0.00856693	0.09274158	0.00434855	0.00180486	-0.02898869	0.08757582	-0.00646760	0.08244183	0.00685989	-0.00840621	-0.01768276	0.08939367	0.05091428	0.13983627	-0.00992399	0.01032928	-0.02783041	0.05132136	0.02103302	0.11526136	-0.05411794	0.03780153	-0.03190444	0.05949062	0.00438725	0.09325264	-0.01142696	0.03334324	-0.03057637
0.050000	0.11669455	0.02097932	0.09571666	-0.00356515	0.00280352	-0.03467752	0.10024100	0.00860917	0.09222893	0.00817853	-0.00028917	-0.02912906	0.08770437	-0.00659634	0.08214079	0.01060077	-0.01058161	-0.01912363	0.08909075	0.05105848	0.13928694	-0.00338161	0.00612932	-0.02636361	0.05039958	0.02169241	0.11442874	-0.04287713	0.03255368	-0.02443819	0.05919765	0.00484146	0.09250728	-0.00637666	0.02585948	-0.02733923
0.066666	0.11664388	0.02103247	0.09518092	0.00123755	0.00061373	-0.03265502	0.10041641	0.00857897	0.09174806	0.01303831	-0.00379435	-0.02967932	0.08791631	-0.00678082	0.08186476	0.01665930	-0.01379828	-0.02122787	0.08902899	0.05106143	0.13879347	0.00186608	-0.00257836	-0.02604920	0.04989262	0.02221924	0.11382509	-0.02525930	0.02304182	-0.02378592	0.05912155	0.00505612	0.09193864	-0.00082249	0.00976938	-0.03094298
0.083333	0.11667667	0.02101967	0.09464342	0.00550712	-0.00218708	-0.02990556	0.10068818	0.00850372	0.09124348	0.01690115	-0.00735063	-0.02837517	0.08823948	-0.00702818	0.08150900	0.02031908	-0.01678026	-0.02163765	0.08923741	0.05098315	0.13836052	0.00854142	-0.01110677	-0.02246389	0.04968661	0.02258833	0.11367712	-0.00782705	0.01108981	-0.01661695	0.05914024	0.00513261	0.09155726	0.00612867	-0.00388984	-0.02856318
0.100000	0.11680169	0.02097274	0.09413581	0.00849083	-0.00522434	-0.02659600	0.10107924	0.00833257	0.09074439	0.01846965	-0.01024041	-0.02545121	0.08869813	-0.00737622	0.08105014	0.02094650	-0.01904296	-0.02011672	0.08954459	0.05075130	0.13804688	0.01499391	-0.01872802	-0.01725941	0.04971574	0.02266996	0.11365674	0.00695021	-0.00116452	-0.00747304	0.05941511	0.00499436	0.09121883	0.01154748	-0.01432915	-0.02277007
0.116666	0.11705720	0.02083164	0.09368020	0.00971083	-0.00778763	-0.02383826	0.10147952	0.00810315	0.09029549	0.01784116	-0.01242796	-0.02235381	0.08913647	-0.00773841	0.08063243	0.01887985	-0.02026595	-0.01769878	0.08981916	0.05033861	0.13778089	0.01904942	-0.02542921	-0.01181555	0.04993936	0.02246648	0.11353522	0.01751035	-0.01235632	-0.00042170	0.05968097	0.00462233	0.09070598	0.01368135	-0.02061074	-0.01717027
