Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11602545	0.01456044	0.09757458	0.00478989	-0.00621565	0.00855509	0.09978389	0.00342025	0.09238524	-0.01824025	0.01716073	-0.00259944	0.08709966	-0.01033057	0.08044124	-0.02726312	0.04709171	-0.00356266	0.08692400	0.03922357	0.14452852	0.01106088	0.00404972	0.00204944	0.05647322	0.01149429	0.11278910	-0.01056092	0.00433186	0.00269042	0.06205080	-0.00366671	0.09029057	-0.01419140	-0.00205917	0.00089106
0.016667	0.11607779	0.01450164	0.09768494	0.00540490	-0.00158240	0.01169135	0.09943566	0.00370692	0.09232917	-0.01311404	0.02588470	0.00482777	0.08673313	-0.00959337	0.08044480	-0.03042285	0.05797690	-0.00028744	0.08714873	0.03931744	0.14459577	0.00926036	0.00289445	-0.00308589	0.05634502	0.01156116	0.11285777	-0.00695768	0.00439459	-0.00032812	0.06188097	-0.00370795	0.09034130	-0.01345681	-0.00769997	0.00126064
0.033333	0.11615369	0.01442811	0.09786635	0.00601991	0.00305085	0.01482761	0.09923086	0.00410053	0.09237896	-0.00798784	0.03460866	0.01225499	0.08616494	-0.00862963	0.08037201	-0.03358258	0.06886210	0.00298777	0.08730397	0.03935859	0.14452405	0.00745985	0.00173918	-0.00822123	0.05619309	0.01163154	0.11285374	-0.00335443	0.00445732	-0.00334666	0.06160436	-0.00380833	0.09033195	-0.01272221	-0.01334078	0.00163023
0.050000	0.11628506	0.01443221	0.09814618	0.00395035	0.00938921	0.01257197	0.09913955	0.00473925	0.09262851	-0.00807151	0.03999052	0.01358671	0.08548094	-0.00739309	0.08035657	-0.03177048	0.07352059	0.00744510	0.08736642	0.03933191	0.14436175	0.01171091	0.00383354	-0.01054135	0.05606665	0.01172842	0.11275349	0.00340979	0.00484146	-0.00293081	0.06129431	-0.00402516	0.09032901	-0.00811379	-0.01494529	0.00375503
0.066666	0.11648602	0.01461607	0.09854943	0.00840108	0.01470942	0.01133770	0.09914385	0.00544839	0.09300895	-0.00651858	0.04881078	0.01482604	0.08494921	-0.00604339	0.08054371	-0.03074662	0.08173174	0.01082127	0.08742028	0.03936874	0.14411826	0.01613094	0.00720085	-0.01535869	0.05612852	0.01178847	0.11263674	0.01089195	0.00823649	-0.00380607	0.06118078	-0.00440871	0.09037013	-0.00386955	-0.01355578	0.00512155
0.083333	0.11639010	0.01504715	0.09865541	0.01519217	0.01887303	0.00850945	0.09902960	0.00642305	0.09338832	-0.00683657	0.05438323	0.01189449	0.08450963	-0.00457786	0.08089953	-0.02370024	0.08269038	0.01389252	0.08776011	0.03948638	0.14383054	0.02033961	0.01499590	-0.01890942	0.05646109	0.01186133	0.11257742	0.01618369	0.01551059	-0.00450345	0.06122702	-0.00481534	0.09054013	0.00048820	-0.00484570	0.00505338
0.100000	0.11650827	0.01556003	0.09870122	0.01471037	0.02536261	0.00205920	0.09886032	0.00742404	0.09355958	-0.00847142	0.05678125	0.00578894	0.08404183	-0.00305524	0.08120557	-0.01411209	0.07718105	0.01492193	0.08828292	0.03974294	0.14349411	0.02270897	0.02629974	-0.02260142	0.05694142	0.01207851	0.11256221	0.01653899	0.02620854	-0.00691405	0.06135400	-0.00495264	0.09070083	0.00136760	0.01029789	0.00197117
0.116666	0.11716940	0.01579987	0.09869593	0.01020991	0.03034924	-0.00623422	0.09867851	0.00844715	0.09351825	-0.01065940	0.05664209	-0.00209776	0.08386733	-0.00171331	0.08139881	-0.00594242	0.06808948	0.01254239	0.08884965	0.04024241	0.14308703	0.02125152	0.03729077	-0.02629037	0.05735246	0.01258859	0.11251079	0.01160788	0.03870484	-0.01197067	0.06147837	-0.00463777	0.09078419	-0.00146449	0.02763689	-0.00455180
