Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.11964180	0.01273992	0.09751865	0.00266970	-0.00757652	0.00081111	0.10366239	0.00346182	0.09120650	-0.01429202	-0.00377231	-0.00399509	0.09154723	-0.00790590	0.07891755	-0.00948559	-0.00662441	-0.00119679	0.09576575	0.00675648	0.14394538	-0.00669925	-0.00318902	0.00195862	0.05709624	-0.01139369	0.10966314	-0.01402482	0.01823455	-0.01028851	0.06648428	-0.00882645	0.08730237	0.00010930	0.01662774	0.00464538
0.016667	0.11961073	0.01265375	0.09751970	0.00308634	-0.00720405	-0.00150495	0.10332331	0.00342896	0.09111106	-0.00923041	-0.00295248	-0.00369252	0.09136725	-0.00803083	0.07889416	-0.00694158	-0.00347462	-0.00260600	0.09568444	0.00668558	0.14398992	-0.00633361	-0.00149106	0.00065759	0.05693927	-0.01112953	0.10950390	-0.01273451	0.01525708	-0.00839110	0.06659583	-0.00854555	0.08744539	-0.00097767	0.01357471	0.00244708
0.033333	0.11975423	0.01249859	0.09752591	0.00350298	-0.00683159	-0.00382101	0.10322630	0.00335258	0.09106106	-0.00416880	-0.00213265	-0.00338995	0.09126032	-0.00808802	0.07885383	-0.00439757	-0.00032483	-0.00401521	0.09554068	0.00666869	0.14399098	-0.00596798	0.00020689	-0.00064343	0.05665568	-0.01082470	0.10933657	-0.01144419	0.01227961	-0.00649369	0.06649759	-0.00836352	0.08739898	-0.00206464	0.01052168	0.00024878
0.050000	0.11981276	0.01236116	0.09745282	0.00185580	-0.00411585	-0.00430433	0.10327221	0.00329708	0.09106016	-0.00678114	-0.00048451	-0.00479894	0.09122101	-0.00807239	0.07879809	-0.00473222	0.00041795	-0.00462478	0.09542384	0.00669339	0.14397088	-0.00555931	0.00003143	-0.00099942	0.05635232	-0.01058119	0.10922740	-0.00788019	0.00959275	-0.00556467	0.06641948	-0.00811046	0.08745170	0.00093002	0.00463104	-0.00216552
0.066666	0.11990386	0.01224550	0.09732535	0.00125155	-0.00252582	-0.00465399	0.10328931	0.00327657	0.09097829	-0.00585409	0.00056591	-0.00396276	0.09118338	-0.00801145	0.07868980	-0.00453467	0.00169491	-0.00395374	0.09535845	0.00672975	0.14393939	-0.00602997	0.00018111	-0.00147641	0.05631531	-0.01049653	0.10918618	-0.00667122	0.00745366	-0.00366741	0.06626128	-0.00802383	0.08732124	0.00055000	-0.00106694	-0.00473781
0.083333	0.11980598	0.01230233	0.09718598	0.00060167	-0.00210729	-0.00415092	0.10306074	0.00337740	0.09082556	-0.00635865	0.00122099	-0.00231241	0.09113335	-0.00794278	0.07855846	-0.00521893	0.00138066	-0.00181229	0.09531485	0.00673591	0.14389884	-0.00579013	-0.00056944	-0.00084453	0.05635723	-0.01049337	0.10915198	-0.00509691	0.00609086	-0.00118442	0.06658736	-0.00815342	0.08733131	-0.00286785	-0.00259888	-0.00500372
0.100000	0.11977292	0.01238407	0.09714537	0.00069969	-0.00213673	-0.00290712	0.10284675	0.00342070	0.09073819	-0.00600944	0.00140607	-0.00032824	0.09099394	-0.00792385	0.07851631	-0.00529515	0.00040382	0.00069764	0.09519214	0.00671092	0.14387289	-0.00496889	-0.00130466	0.00003807	0.05632058	-0.01041579	0.10910720	-0.00558785	0.00635483	0.00076305	0.06657661	-0.00843665	0.08705877	-0.00965394	0.00179643	-0.00284505
0.116666	0.11980399	0.01231842	0.09714600	0.00117075	-0.00267456	-0.00139472	0.10270644	0.00344368	0.09079751	-0.00366928	0.00078352	0.00208088	0.09086125	-0.00794791	0.07860895	-0.00464128	-0.00063804	0.00286737	0.09504246	0.00665471	0.14388636	-0.00418944	-0.00146395	0.00042297	0.05615846	-0.01027318	0.10913503	-0.00795060	0.00742333	0.00169665	0.06652590	-0.00854372	0.08705210	-0.01782886	0.00997955	0.00055973
