Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000	0.09696854	0.04704259	0.06291687	0.00002161	-0.00116393	-0.00062693	0.07679381	0.05292801	0.05635531	0.00563076	0.00884030	-0.00588136	0.06169336	0.04051977	0.04545982	-0.00021311	0.01381297	-0.00718922	0.09623247	0.07741771	0.09795523	-0.00092499	-0.00240215	-0.00072275	0.06131375	0.07565412	0.07457753	-0.00093041	0.00170425	0.00326583	0.03632237	0.05880680	0.04960191	-0.00821821	-0.00191250	-0.00526591
0.016667	0.09699737	0.04701619	0.06291449	-0.00180312	-0.00130121	0.00042424	0.07688189	0.05306291	0.05625826	0.00472339	0.00701266	-0.00390855	0.06167914	0.04075110	0.04532482	-0.00041239	0.01049866	-0.00415509	0.09622435	0.07737845	0.09795579	-0.00135542	-0.00242115	-0.00086792	0.06129798	0.07568508	0.07462799	-0.00173428	0.00033729	0.00262299	0.03615118	0.05876623	0.04950150	-0.00425791	-0.00089642	-0.00314066
0.033333	0.09695132	0.04699816	0.06291255	-0.00362785	-0.00143849	0.00147541	0.07696833	0.05319892	0.05618921	0.00381602	0.00518503	-0.00193574	0.06168296	0.04094097	0.04525600	-0.00061168	0.00718434	-0.00112096	0.09619579	0.07733383	0.09793097	-0.00178584	-0.00244015	-0.00101310	0.06127200	0.07569981	0.07467683	-0.00253814	-0.00102967	0.00198015	0.03609585	0.05875567	0.04945200	-0.00029761	0.00011966	-0.00101541
0.050000	0.09685613	0.04698289	0.06292072	-0.00370459	-0.00231928	0.00273508	0.07703979	0.05330968	0.05614799	0.00290294	0.00401990	-0.00050286	0.06169431	0.04106593	0.04525778	-0.00155504	0.00570758	-0.00022911	0.09616408	0.07730909	0.09789900	-0.00172854	-0.00255254	-0.00058983	0.06122582	0.07567193	0.07471742	-0.00290419	-0.00069365	0.00122879	0.03613307	0.05875798	0.04945743	-0.00012206	0.00008395	-0.00036763
0.066666	0.09676886	0.04695624	0.06299044	-0.00502227	-0.00310869	0.00348852	0.07707248	0.05330931	0.05617435	0.00207134	0.00354949	0.00102295	0.06164827	0.04107085	0.04530818	-0.00224856	0.00361882	0.00159594	0.09611975	0.07724595	0.09789050	-0.00186347	-0.00230798	-0.00043709	0.06117018	0.07561586	0.07472505	-0.00326069	0.00025481	0.00027772	0.03619974	0.05879793	0.04947327	0.00073472	0.00008246	0.00073418
0.083333	0.09671786	0.04688636	0.06308369	-0.00504172	-0.00353520	0.00348286	0.07708066	0.05331585	0.05623407	0.00200187	0.00363953	0.00181352	0.06160411	0.04109257	0.04535756	-0.00293643	0.00250221	0.00231124	0.09609598	0.07720827	0.09790298	-0.00176881	-0.00214443	0.00015065	0.06109318	0.07559180	0.07471738	-0.00362504	0.00138749	-0.00012662	0.03624044	0.05880094	0.04950856	-0.00084062	-0.00052439	0.00093082
0.100000	0.09661246	0.04678705	0.06319088	-0.00423116	-0.00338342	0.00284762	0.07708292	0.05336341	0.05629398	0.00266404	0.00406623	0.00199550	0.06151288	0.04112440	0.04539996	-0.00296225	0.00262340	0.00238349	0.09607062	0.07716972	0.09790661	-0.00143298	-0.00191432	0.00080645	0.06103588	0.07564977	0.07469016	-0.00402536	0.00187223	0.00031762	0.03621053	0.05878232	0.04953689	-0.00272355	-0.00128653	0.00111722
0.116666	0.09652677	0.04671874	0.06319799	-0.00304115	-0.00272212	0.00162595	0.07713120	0.05350515	0.05630634	0.00357559	0.00473537	0.00150268	0.06147697	0.04119413	0.04542308	-0.00256672	0.00308276	0.00259264	0.09604417	0.07715723	0.09791617	-0.00103165	-0.00186414	0.00107732	0.06099069	0.07578152	0.07467463	-0.00417705	0.00115805	0.00128709	0.03610683	0.05873986	0.04952015	-0.00339424	-0.00133306	0.00112646
