Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09822507	0.05332502	0.06863443	-0.00401599	-0.01004413	0.00050284	0.07658782	0.06057265	0.05626186	-0.00617641	-0.02005669	-0.00252738	0.05823958	0.04857606	0.04598686	-0.01208506	-0.03348392	-0.00245339	0.09581494	0.09301752	0.09316329	-0.00203092	0.00518376	-0.00288253	0.05954575	0.08510048	0.07033098	-0.00348793	-0.00353047	-0.00036303	0.03861690	0.06679083	0.04830119	0.01344591	-0.00341581	-0.00445994
0.033333	0.09815814	0.05312762	0.06866266	-0.00343950	-0.00904344	-0.00033729	0.07646156	0.06018686	0.05623585	-0.00622566	-0.01957406	-0.00207861	0.05803353	0.04796155	0.04594846	-0.01071133	-0.02992664	-0.00464225	0.09577691	0.09311417	0.09310436	-0.00302264	0.00367419	-0.00187197	0.05947810	0.08506519	0.07034020	-0.00410704	-0.00359753	-0.00054851	0.03887581	0.06670038	0.04823911	0.01340752	-0.00401998	-0.00369040
0.050000	0.09810345	0.05300205	0.06864986	-0.00286301	-0.00804275	-0.00117742	0.07638358	0.05993503	0.05618156	-0.00627490	-0.01909143	-0.00162984	0.05784538	0.04754274	0.04588469	-0.00933761	-0.02636937	-0.00683111	0.09574758	0.09318241	0.09308494	-0.00401435	0.00216463	-0.00086140	0.05943434	0.08498120	0.07031127	-0.00472615	-0.00366458	-0.00073400	0.03902535	0.06666083	0.04815701	0.01336913	-0.00462415	-0.00292086
0.066666	0.09804524	0.05286769	0.06861025	-0.00221939	-0.00855775	-0.00008971	0.07626893	0.05960319	0.05615814	-0.00676147	-0.01903463	-0.00080573	0.05769367	0.04704106	0.04577566	-0.00885634	-0.02388986	-0.00650874	0.09565284	0.09319424	0.09306455	-0.00364514	0.00273609	-0.00040766	0.05935863	0.08491759	0.07029348	-0.00420457	-0.00220207	-0.00059355	0.03931365	0.06665123	0.04808995	0.01157789	-0.00723767	-0.00240381
0.083333	0.09802020	0.05279548	0.06855871	-0.00161324	-0.00838361	0.00068743	0.07619956	0.05930319	0.05612546	-0.00721927	-0.01865607	0.00006801	0.05760052	0.04677115	0.04556495	-0.00720731	-0.02041432	-0.00603568	0.09557869	0.09319159	0.09308736	-0.00354213	0.00304827	0.00012051	0.05922744	0.08483832	0.07028754	-0.00338014	-0.00000212	-0.00058729	0.03948735	0.06648091	0.04810360	0.00991347	-0.00732201	-0.00269517
0.100000	0.09800804	0.05259442	0.06860718	-0.00146848	-0.00776242	0.00158031	0.07601967	0.05893930	0.05616752	-0.00761851	-0.01833197	0.00093483	0.05745242	0.04640240	0.04544142	-0.00536790	-0.01681379	-0.00536368	0.09550223	0.09324539	0.09309114	-0.00293554	0.00393228	0.00021260	0.05916907	0.08486616	0.07028930	-0.00256489	0.00258242	-0.00009634	0.03968587	0.06628748	0.04807813	0.00791968	-0.00614605	-0.00301906
0.116666	0.09800322	0.05244388	0.06867362	-0.00163377	-0.00714622	0.00216936	0.07590248	0.05865371	0.05619777	-0.00784769	-0.01719115	0.00139779	0.05736765	0.04617215	0.04541980	-0.00421624	-0.01391647	-0.00415962	0.09548143	0.09334376	0.09310744	-0.00219927	0.00462784	0.00021000	0.05916355	0.08495326	0.07028221	-0.00177414	0.00459133	0.00027090	0.03973351	0.06605040	0.04804317	0.00550669	-0.00354116	-0.00394283
