Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09315144	0.04649309	0.06814826	-0.00230511	-0.01574107	-0.00178792	0.07368093	0.05832542	0.06385271	-0.00592622	-0.02055096	0.00463752	0.05643728	0.04765768	0.05674502	-0.00824364	-0.02802966	0.00850023	0.09217135	0.07726505	0.09636602	0.00814259	0.00322883	0.00306231	0.05376407	0.07988883	0.07474932	0.00328846	0.00258618	0.00579684	0.02912091	0.06293975	0.05097198	0.01913810	-0.00786267	-0.00386292
0.033333	0.09312439	0.04621115	0.06809999	-0.00072688	-0.01423432	-0.00310735	0.07362407	0.05799783	0.06390136	-0.00777687	-0.02245934	0.00296408	0.05635951	0.04726094	0.05681619	-0.01067211	-0.02950229	0.00577638	0.09231610	0.07729336	0.09642220	0.00693331	0.00593575	0.00435369	0.05381837	0.07993025	0.07482484	0.00372516	0.00362614	0.00589440	0.02945766	0.06279365	0.05085227	0.02402135	-0.00169896	-0.00310735
0.050000	0.09309536	0.04599009	0.06807259	0.00085134	-0.01272756	-0.00442678	0.07346547	0.05760840	0.06398042	-0.00962753	-0.02436772	0.00129063	0.05612182	0.04667270	0.05699256	-0.01310058	-0.03097493	0.00305253	0.09243777	0.07742552	0.09649181	0.00572404	0.00864267	0.00564507	0.05389701	0.07998965	0.07495153	0.00416186	0.00466609	0.00599197	0.02981393	0.06276423	0.05086002	0.02890460	0.00446474	-0.00235179
0.066666	0.09310130	0.04580335	0.06801825	0.00155949	-0.01273587	-0.00577370	0.07327502	0.05724785	0.06402793	-0.00850212	-0.02576671	-0.00106808	0.05588233	0.04618975	0.05709768	-0.01302788	-0.03114748	-0.00155258	0.09250673	0.07755147	0.09657321	0.00649611	0.01069680	0.00692706	0.05394578	0.08007463	0.07506147	0.00598388	0.00558509	0.00559582	0.03026090	0.06286417	0.05083718	0.03063198	0.00706217	-0.00325817
0.083333	0.09316351	0.04559541	0.06788428	0.00205354	-0.01171705	-0.00673606	0.07306303	0.05670442	0.06399513	-0.00840142	-0.02626545	-0.00345284	0.05560675	0.04559028	0.05703641	-0.01377016	-0.03094516	-0.00549630	0.09258035	0.07777916	0.09670244	0.00683672	0.01290278	0.00782072	0.05401597	0.08016511	0.07514185	0.00788137	0.00700037	0.00531255	0.03095467	0.06305378	0.05082055	0.03076259	0.01051348	-0.00338328
0.100000	0.09325674	0.04540668	0.06772235	0.00186329	-0.01071046	-0.00756405	0.07297904	0.05628043	0.06385323	-0.00780235	-0.02444828	-0.00574170	0.05542864	0.04513888	0.05678445	-0.01260355	-0.02803711	-0.00894043	0.09269589	0.07801650	0.09688304	0.00735848	0.01255666	0.00790383	0.05417816	0.08029786	0.07521836	0.00896532	0.00793106	0.00503594	0.03157908	0.06335673	0.05067871	0.02856127	0.01091630	-0.00383384
0.116666	0.09327001	0.04519302	0.06757238	0.00109308	-0.00940202	-0.00793401	0.07289622	0.05577626	0.06372105	-0.00723842	-0.02024845	-0.00718503	0.05519149	0.04460799	0.05652926	-0.01082872	-0.02360044	-0.01045535	0.09287067	0.07831864	0.09704891	0.00765748	0.01038444	0.00744666	0.05440443	0.08046096	0.07528979	0.00928218	0.00866566	0.00540672	0.03205471	0.06355356	0.05061448	0.02397302	0.00973962	-0.00310506
