Time	thumb base joint right X	thumb base joint right Y	thumb base joint right Z	thumb base joint right v(X)	thumb base joint right v(Y)	thumb base joint right v(Z)	thumb end joint right X	thumb end joint right Y	thumb end joint right Z	thumb end joint right v(X)	thumb end joint right v(Y)	thumb end joint right v(Z)	thumb tip right X	thumb tip right Y	thumb tip right Z	thumb tip right v(X)	thumb tip right v(Y)	thumb tip right v(Z)	forefinger base joint right X	forefinger base joint right Y	forefinger base joint right Z	forefinger base joint right v(X)	forefinger base joint right v(Y)	forefinger base joint right v(Z)	forefinger middle joint right X	forefinger middle joint right Y	forefinger middle joint right Z	forefinger middle joint right v(X)	forefinger middle joint right v(Y)	forefinger middle joint right v(Z)	forefinger tip right X	forefinger tip right Y	forefinger tip right Z	forefinger tip right v(X)	forefinger tip right v(Y)	forefinger tip right v(Z)
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660	0.01666660
0.000000																																				
0.016667	0.09144130	0.05221961	0.07025387	-0.00133422	0.00541814	0.00016570	0.07149898	0.05651480	0.05862391	0.00444161	0.00476500	-0.00387163	0.05475971	0.04429886	0.04882951	-0.00218718	-0.00202837	0.00389535	0.09111807	0.09182832	0.09728840	0.00025399	0.00233454	-0.00088144	0.05535775	0.08551219	0.07293151	0.00229674	0.00369252	0.00142508	0.03846807	0.06291806	0.04944765	0.00080938	0.00076294	-0.00042526
0.033333	0.09140630	0.05228780	0.07025256	0.00027314	0.00455486	0.00038423	0.07154249	0.05657554	0.05856161	0.00461834	0.00415610	-0.00332182	0.05469702	0.04425948	0.04889428	0.00076667	-0.00172601	0.00292205	0.09109685	0.09186196	0.09728720	0.00164934	0.00212164	-0.00144862	0.05538967	0.08554410	0.07297905	0.00277576	0.00310579	0.00024788	0.03848390	0.06291217	0.04945047	-0.00109267	0.00044637	-0.00186548
0.050000	0.09141450	0.05239643	0.07025609	0.00188050	0.00369157	0.00060275	0.07165477	0.05666559	0.05849982	0.00479506	0.00354720	-0.00277200	0.05471919	0.04423486	0.04894957	0.00372052	-0.00142364	0.00194876	0.09114870	0.09189980	0.09724830	0.00304469	0.00190873	-0.00201580	0.05543423	0.08562845	0.07296191	0.00325478	0.00251905	-0.00092931	0.03847484	0.06294042	0.04941794	-0.00299472	0.00012979	-0.00330571
0.066666	0.09146206	0.05246138	0.07027895	0.00196607	0.00282171	-0.00004474	0.07175430	0.05672960	0.05847169	0.00334000	0.00210524	-0.00237131	0.05481430	0.04422949	0.04896127	0.00346962	-0.00176861	0.00184498	0.09121438	0.09194771	0.09721565	0.00250214	0.00114765	-0.00182447	0.05551174	0.08568913	0.07293221	0.00285351	0.00135944	-0.00075858	0.03841385	0.06295016	0.04935021	-0.00343486	-0.00063330	-0.00291879
0.083333	0.09152787	0.05249196	0.07029194	0.00257825	0.00198466	-0.00057642	0.07181407	0.05678116	0.05840890	0.00135489	0.00020603	-0.00129117	0.05493611	0.04418392	0.04899991	0.00377260	-0.00186181	0.00132759	0.09128724	0.09195738	0.09716101	0.00231300	0.00062604	-0.00176479	0.05555800	0.08570471	0.07289416	0.00301994	0.00098732	-0.00128467	0.03831758	0.06294388	0.04926110	-0.00399258	-0.00118800	-0.00247288
0.100000	0.09157517	0.05248382	0.07027405	0.00252501	0.00058582	-0.00043005	0.07182450	0.05674716	0.05840342	-0.00119478	-0.00128875	-0.00049250	0.05501313	0.04416407	0.04899266	0.00258566	-0.00163897	0.00078274	0.09132610	0.09195718	0.09714077	0.00171520	0.00030130	-0.00160177	0.05560104	0.08565147	0.07289200	0.00288780	0.00101321	-0.00140060	0.03821979	0.06288401	0.04920178	-0.00337365	-0.00144173	-0.00150039
0.116666	0.09160542	0.05249294	0.07022718	0.00220832	-0.00098974	0.00044346	0.07175664	0.05668334	0.05840015	-0.00300021	-0.00211262	-0.00011157	0.05502096	0.04410406	0.04903197	0.00096588	-0.00131086	0.00012832	0.09130707	0.09192853	0.09713023	0.00095331	-0.00006489	-0.00143052	0.05563098	0.08564787	0.07288197	0.00267995	0.00112895	-0.00131213	0.03816447	0.06284513	0.04921736	-0.00224370	-0.00059687	-0.00090698
